EntryID,roothog_id,taxonomyID,umap_x,umap_y
Q8IY34,801468,9606,-0.24528755,8.171456
Q15942,801468,9606,9.873747,4.8693514
P48415,801468,559292,9.350821,5.340658
Q96BZ8,801468,9606,9.77584,4.8606033
Q3UGZ4,801468,10090,9.776617,4.7660165
Q8WXX5,801468,9606,9.701756,4.84041
Q80TN5,801468,10090,8.6328745,6.1390667
Q16560,801468,9606,9.3607645,5.674625
A0A384MR00,801468,9606,9.9098835,4.7214403
O22100,801468,3702,10.559323,5.7570405
O76324,801468,7227,10.321654,5.9048886
P46871,801468,7668,9.045413,5.7976317
P0C605,801468,10090,0.7218627,5.790153
Q03114,801468,10116,10.725082,6.1372576
Q9VJ86,801468,7227,8.819797,5.783981
O35492,801468,10090,10.062483,5.939207
Q54BF0,801468,44689,4.9611373,6.420729
P07213,801468,559292,8.653736,5.8789134
Q9LE82,801468,3702,8.574536,5.8922763
Q8VYK9,801468,3702,10.294192,5.8683467
P31689,801468,9606,9.216272,6.4321136
Q8WU68,801468,9606,9.602064,6.1163125
Q9HGM5,801468,284812,7.801349,6.719392
P43034,801468,9606,14.685091,3.851415
Q8VCA0,801468,10090,-0.46633542,8.171446
P40371,801468,284812,11.44298,-0.0039155027
Q9M077,801468,3702,10.632365,6.2051735
Q9V428,801468,7227,10.733908,5.879315
K7EJD8,801468,9606,10.868429,5.1440234
Q64FQ2,801468,3702,10.026957,5.9234004
Q9LFX9,801468,3702,0.52853376,8.447757
Q8MXI4,801468,6239,10.548687,6.168281
Q7ZVY8,801468,7955,9.072592,6.4507833
Q9R1A8,801468,10090,10.498301,5.039759
Q09603,801468,6239,7.595524,9.189911
B7SW26,801468,7955,9.352869,6.048487
Q5A1E4,801468,237561,8.914946,5.686173
G5EBX0,801468,6239,8.93817,5.469523
P39946,801468,559292,8.439212,5.7971783
H3BVF8,801468,9606,9.773059,5.842699
Q8IEG4,801468,36329,4.9528537,6.437755
Q02630,801468,559292,9.660795,5.3332167
P25635,801468,559292,8.337519,5.5960035
C9J8G5,801468,9606,9.322871,5.5691476
Q7K306,801468,7227,10.66583,6.196406
Q24534,801468,7227,9.648297,6.0283394
A0A178UKR9,801468,3702,10.4945965,6.0614524
Q8GYN9,801468,3702,8.048568,6.683229
Q93VK1,801468,3702,8.098494,5.3548336
Q4QA88,801468,5664,9.697379,6.113847
Q7K0W4,801468,7227,9.199117,6.391047
Q9NR30,801468,9606,9.201163,5.8911347
Q8W034,801468,3702,9.599447,5.9509263
P42818,801468,3702,10.27146,6.0533385
O14301,801468,284812,8.352684,5.5714273
Q7TPR4,801468,10090,10.239325,4.777742
P53141,801468,559292,8.650367,5.879014
Q9VUW9,801468,7227,8.658863,6.180546
P51991,801468,9606,9.574152,5.9400387
Q94535,801468,7227,9.650283,6.052672
Q62673,801468,10116,10.683187,5.409695
O55222,801468,10090,10.395786,6.1990957
P82094,801468,9606,9.514683,4.8658752
Q9H254,801468,9606,9.647475,4.7099566
Q9VGR0,801468,7227,9.094991,5.6004868
P41318,801468,559292,14.7349615,3.8363047
Q9C958,801468,3702,11.099165,5.1740427
Q6FQL9,801468,284593,9.403168,5.402286
Q13237,801468,9606,10.683764,5.973473
P48810,801468,7227,9.608313,5.9580803
F6U6E2,801468,9606,7.840849,6.552355
G5E9A6,801468,9606,9.315021,6.090608
Q60779,801468,10090,9.879335,4.681883
P35191,801468,559292,8.94417,5.9022045
O14327,801468,284812,9.655047,6.1413426
P78316,801468,9606,9.783678,4.800698
Q38BR4,801468,185431,9.166115,5.58003
P07909,801468,7227,9.629235,5.9704146
Q16629,801468,9606,9.637316,5.9673514
Q9SZ53,801468,3702,11.348282,-0.15961316
Q9UKI8,801468,9606,10.427695,4.9587264
Q9Z2X8,801468,10090,10.979289,5.143681
Q4WF54,801468,330879,7.678213,9.640254
Q9QXE7,801468,10090,0.7265936,5.7664757
P23437,801468,8355,10.77402,6.086116
O23334,801468,3702,10.745276,5.6453404
A8BZ76,801468,184922,10.538768,6.1119995
O75521,801468,9606,6.637105,9.662083
B5X0T7,801468,8030,9.632707,5.9743934
Q09406,801468,6239,8.614307,5.605782
Q9VSN7,801468,7227,8.369945,5.5671663
Q9VHP3,801468,7227,9.647732,6.1481886
C8VFS8,801468,227321,10.500777,6.077649
Q9ZWB3,801468,3702,10.252968,5.801275
P70318,801468,10090,9.609867,6.0593843
A0A0D9R447,801468,60711,10.225578,6.078143
Q7XJ96,801468,3055,9.684231,4.756
Q9H9A6,801468,9606,11.550471,5.7957864
Q8JZP3,801468,10090,0.6748092,6.343549
Q93VV5,801468,3702,0.54762554,8.236477
O14335,792940,284812,9.380571,5.392856
Q61555,792940,10090,9.153253,6.12326
Q5JV99,792940,9606,9.328583,5.3037243
Q5F1R6,792940,9606,9.203746,5.555855
Q01986,792940,10116,10.577189,5.807809
Q5F2E8,792940,10090,9.799468,4.9349184
Q17936,792940,6239,9.690554,5.9074736
Q14978,792940,9606,9.558269,5.0748954
A1ZAK8,792940,7227,9.690856,5.8442125
G3X7B5,792940,9913,11.068183,5.240847
Q9P6P7,792940,284812,9.5043125,5.585615
O14578,792940,9606,10.370146,4.920155
Q5QPD2,792940,9606,9.307256,5.27339
Q8NAV1,792940,9606,9.534584,5.9137406
Q7YRC6,792940,9913,10.41773,6.2203913
P27448,792940,9606,10.045856,5.8514347
Q8BH43,792940,10090,9.966603,4.982475
B4DKM2,792940,9606,10.666342,5.0974803
P08169,792940,9913,8.961887,6.043939
B7ZC06,792940,9606,9.727396,4.7205763
Q9Y2H1,792940,9606,10.373909,6.128972
Q9Y6W5,792940,9606,10.056618,4.970772
P12270,792940,9606,9.353241,4.943618
F1LML7,792940,10116,10.195268,4.736936
Q9XWK3,792940,6239,9.606953,5.3244452
B6CS38,792940,7955,9.180489,6.1659055
Q9WTK7,792940,10090,11.054208,5.1085606
Q96I24,792940,9606,10.384658,5.0008736
Q8N0X2,792940,9606,9.792883,4.7941914
