EntryID,taxonomyID,roothog_id,umap_x,umap_y
C9K074,9606,0.0,15.705091,10.918987
C9JEN1,9606,780264.0,12.473782,7.2814817
M0R307,9606,802823.0,17.161217,10.316521
E9PQV1,9606,729901.0,13.920792,8.433521
P10911,9606,789596.0,11.734942,10.070786
D6RH20,9606,752383.0,11.35078,10.534994
H0Y4R1,9606,1027312.0,7.99289,13.47023
Q96PU4,9606,778401.0,11.851084,10.3351145
A8MTF4,9606,0.0,13.7474,8.309708
A0A087X1S6,9606,0.0,11.656995,9.817723
Q96AY4,9606,789525.0,11.6754055,9.12369
Q9H5Q4,9606,756021.0,11.322451,9.623914
C9JQU7,9606,780310.0,15.376865,10.706666
P36578,9606,802082.0,9.819715,14.176782
Q5SYW2,9606,0.0,13.440246,8.755219
Q9P016,9606,805527.0,10.341142,9.378207
Q86VD1,9606,729705.0,11.904361,9.554969
Q7Z7B1,9606,803525.0,8.385747,10.454874
A0A024R6G5,9606,,16.008575,11.08255
F8VZP4,9606,0.0,13.7415085,9.873032
Q8TEV9,9606,759288.0,12.083483,9.07616
P22760,9606,794011.0,10.855875,7.193028
F5H1C8,9606,0.0,11.825948,7.8603578
Q6EIG7,9606,732096.0,12.6799965,6.4055467
B1ALM4,9606,0.0,10.32102,8.211783
O14981,9606,803301.0,11.533447,10.296436
Q15761,9606,746380.0,10.165122,5.718907
Q6XLA1,9606,,17.178387,10.41757
K7EKE6,9606,0.0,6.98568,13.527907
C9JT45,9606,804892.0,8.022829,12.57615
A0A2R8YD50,9606,0.0,7.9336705,12.303056
H0Y875,9606,0.0,9.356228,8.451353
Q2M2Z5,9606,736653.0,13.642144,8.804421
Q9Y5G9,9606,763064.0,11.052249,5.9380116
Q9C0I3,9606,746570.0,13.356947,8.777895
A0A348FV93,9606,0.0,12.523499,8.942404
Q70YC4,9606,737959.0,17.286106,10.360763
Q96N19,9606,793177.0,10.623787,7.6423926
Q9BYN8,9606,759282.0,11.153178,12.890212
Q15369,9606,804618.0,5.2174697,8.621362
A2AAZ6,9606,,12.572972,6.7831926
O15033,9606,789350.0,10.103651,9.030271
Q12959,9606,795444.0,9.349017,8.124182
Q9P0E6,9606,802436.0,16.136189,10.883907
O14497,9606,761121.0,13.659416,9.73604
H0Y931,9606,0.0,12.113323,9.838493
Q92618,9606,747291.0,14.2102165,8.764426
A0A0A0MT09,9606,778635.0,15.308203,10.666983
P30046,9606,756325.0,8.289613,12.516504
O95661,9606,727135.0,11.335216,10.7787
Q13153,9606,792940.0,11.180243,10.600859
O76009,9606,736545.0,13.849727,16.762236
Q99758,9606,802754.0,11.040689,8.042062
A0A3B3IRQ9,9606,0.0,10.642731,8.690796
E9PFF5,9606,0.0,11.114702,9.315117
Q5T8R3,9606,793048.0,7.62304,9.16257
J9JIE5,9606,0.0,13.95495,8.766365
A4QPB0,9606,793040.0,9.801135,8.952302
P08861,9606,794303.0,11.84557,5.5057034
Q5VVJ2,9606,785226.0,10.902031,8.450287
Q13432,9606,801589.0,14.483014,10.980846
Q96LR4,9606,748254.0,12.773445,7.061226
H3BLT9,9606,0.0,12.168426,8.029191
O95833,9606,805789.0,10.02777,12.150375
A0A087WTI6,9606,0.0,14.305476,9.288804
Q96DT7,9606,748895.0,13.996414,9.157604
Q9BPZ3,9606,758670.0,7.0020485,7.089279
P10646,9606,739685.0,12.673609,7.2149715
Q9ULD5,9606,732597.0,13.856987,8.639135
Q96T53,9606,747210.0,10.547175,8.374492
B4DHE8,9606,0.0,12.644229,10.281614
A0A0A0MSK4,9606,778536.0,10.140038,7.973888
Q7RTP6,9606,759669.0,10.286438,8.148447
Q9ULV8,9606,795465.0,10.926107,8.032583
A0A5H1ZRP5,9606,0.0,10.552135,10.313492
Q13501,9606,784190.0,12.509692,8.980082
Q86WV2,9606,0.0,10.854311,13.430264
Q8IZF3,9606,737081.0,10.296233,6.5367055
Q99697,9606,761491.0,14.291837,9.051004
P98194,9606,793026.0,7.65522,10.293385
Q05CH4,9606,,11.96728,7.8987646
Q9H6T3,9606,778200.0,11.5555,10.07789
O15090,9606,745846.0,14.12369,9.137141
A0A024R7P2,9606,,10.180082,8.030253
O75078,9606,756321.0,9.724837,7.536171
Q6UWB4,9606,726668.0,11.848203,5.8355765
A0A0A0MRW6,9606,0.0,10.798055,8.03698
P0C5J1,9606,814974.0,10.433744,8.8243265
