EntryID,taxonomyID,taxon_name,umap_x,umap_y,kmeans_cluster
Q9FGQ7,3702,A. thaliana,-3.0743215,-0.3711013,8
Q9XI90,3702,A. thaliana,0.78809154,-3.4203904,15
P0DN99,3702,A. thaliana,-3.4343882,-3.1687734,12
Q9SL95,3702,A. thaliana,-1.2291256,0.83935165,6
Q9LXJ0,3702,A. thaliana,4.354977,-1.338075,1
Q9LYF8,3702,A. thaliana,1.7354318,-3.5663881,12
Q949S7,3702,A. thaliana,-1.2464881,-0.09069994,18
Q9ZWS6,3702,A. thaliana,-0.18030877,0.89314324,9
Q9M2D8,3702,A. thaliana,-0.45840627,-2.277306,13
Q9FF86,3702,A. thaliana,-1.8649591,0.12949091,6
Q93Z08,3702,A. thaliana,8.177044,-2.6033535,17
O50008,3702,A. thaliana,3.0018988,5.6536746,12
Q8VZP7,3702,A. thaliana,1.474663,-2.4807692,2
Q9SSM4,3702,A. thaliana,0.50217587,-1.5188888,3
Q9LUK7,3702,A. thaliana,0.41766635,-5.669486,11
Q9LEU9,3702,A. thaliana,0.4188217,1.6747065,7
Q9SF36,3702,A. thaliana,-2.9819949,1.5275507,16
Q9LNN3,3702,A. thaliana,1.8243376,12.947031,17
Q6NQE2,3702,A. thaliana,3.5015182,-0.50571334,0
F4JRS4,3702,A. thaliana,1.814454,-0.45315024,16
Q9M1C7,3702,A. thaliana,-1.6033022,0.018276405,6
F4ISV6,3702,A. thaliana,2.8473334,-0.2742853,16
Q8L7S6,3702,A. thaliana,2.0125704,-1.9646199,8
F4I0R0,3702,A. thaliana,-1.7698718,-4.675253,10
Q9C958,3702,A. thaliana,-1.7297727,1.6913872,0
Q94C12,3702,A. thaliana,-0.35814333,-0.10443973,18
Q8GWP4,3702,A. thaliana,1.2442026,-0.20703913,3
Q9LD18,3702,A. thaliana,-0.50801754,-1.896513,19
Q9STG5,3702,A. thaliana,1.7417138,-4.053101,12
A0A1P8B554,3702,A. thaliana,-4.7844715,-0.8131647,13
Q84WK5,3702,A. thaliana,-1.0853474,1.5659099,0
Q9LTF7,3702,A. thaliana,-3.366322,-4.1611786,12
Q39160,3702,A. thaliana,-1.3539623,1.8625871,0
Q9STK8,3702,A. thaliana,-2.9355288,-2.4126894,13
Q9S9U6,3702,A. thaliana,-0.11370897,-1.872563,8
Q9M1P5,3702,A. thaliana,1.8247305,12.950111,17
Q9ZV65,3702,A. thaliana,0.31724998,-3.45925,15
Q9SJQ1,3702,A. thaliana,3.9088104,-1.8690583,1
Q8RXH2,3702,A. thaliana,-2.3241272,0.72253245,0
Q9FK23,3702,A. thaliana,1.9937918,1.5991201,16
Q8LPN5,3702,A. thaliana,-1.3734641,1.4012066,14
F4K2T3,3702,A. thaliana,-3.451655,-0.17904083,9
P46416,3702,A. thaliana,2.2866375,0.9307107,9
Q9LUB6,3702,A. thaliana,-3.4199035,-3.1161916,19
F4IPE3,3702,A. thaliana,-2.1879065,-1.2514752,16
Q9SK55,3702,A. thaliana,-0.99303234,-0.24120484,18
