"atlas","method","panel","group","score","n_cells"
"hbca","AUCell","minimal8","Amygdala excitatory",0.498237102321582,200
"hbca","AUCell","minimal8","Cerebellar inhibitory",0.319717755803955,200
"hbca","AUCell","minimal8","CGE interneuron",0.427405631986242,200
"hbca","AUCell","minimal8","Deep-layer corticothalamic and 6b",0.485557179707653,200
"hbca","AUCell","minimal8","Deep-layer intratelencephalic",0.420030954428203,200
"hbca","AUCell","minimal8","Deep-layer near-projecting",0.481683791917455,200
"hbca","AUCell","minimal8","Eccentric medium spiny neuron",0.4480432072227,200
"hbca","AUCell","minimal8","Hippocampal CA1-3",0.494052235597592,200
"hbca","AUCell","minimal8","Hippocampal CA4",0.523654987102322,200
"hbca","AUCell","minimal8","Hippocampal dentate gyrus",0.433952063628547,200
"hbca","AUCell","minimal8","LAMP5-LHX6 and Chandelier",0.436604901117799,200
"hbca","AUCell","minimal8","Lower rhombic lip",0.435021496130696,200
"hbca","AUCell","minimal8","Mammillary body",0.398326956147893,200
"hbca","AUCell","minimal8","Medium spiny neuron",0.415753009458298,200
"hbca","AUCell","minimal8","MGE interneuron",0.41363736027515,200
"hbca","AUCell","minimal8","Midbrain-derived inhibitory",0.431685726569218,200
"hbca","AUCell","minimal8","Miscellaneous",0.374158211521926,200
"hbca","AUCell","minimal8","Splatter",0.385526870163371,200
"hbca","AUCell","minimal8","Thalamic excitatory",0.408599957007739,200
"hbca","AUCell","minimal8","Upper rhombic lip",0.377977858985383,200
"hbca","AUCell","minimal8","Upper-layer intratelencephalic",0.443841143594153,200
"hbca","UCell","minimal8","Amygdala excitatory",0.371395436308927,200
"hbca","UCell","minimal8","Cerebellar inhibitory",0.226068204613842,200
"hbca","UCell","minimal8","CGE interneuron",0.301047308592444,200
"hbca","UCell","minimal8","Deep-layer corticothalamic and 6b",0.335431084921431,200
"hbca","UCell","minimal8","Deep-layer intratelencephalic",0.289993104312939,200
"hbca","UCell","minimal8","Deep-layer near-projecting",0.34865220661986,200
"hbca","UCell","minimal8","Eccentric medium spiny neuron",0.313209002006018,200
"hbca","UCell","minimal8","Hippocampal CA1-3",0.359606527917085,200
"hbca","UCell","minimal8","Hippocampal CA4",0.406566156803745,200
"hbca","UCell","minimal8","Hippocampal dentate gyrus",0.327651705115346,200
"hbca","UCell","minimal8","LAMP5-LHX6 and Chandelier",0.320215020060181,200
"hbca","UCell","minimal8","Lower rhombic lip",0.308009236041458,200
"hbca","UCell","minimal8","Mammillary body",0.27777436476095,200
"hbca","UCell","minimal8","Medium spiny neuron",0.32766612337011,200
"hbca","UCell","minimal8","MGE interneuron",0.296204237713139,200
"hbca","UCell","minimal8","Midbrain-derived inhibitory",0.315104480106988,200
"hbca","UCell","minimal8","Miscellaneous",0.258949348044132,200
"hbca","UCell","minimal8","Splatter",0.263755015045135,200
"hbca","UCell","minimal8","Thalamic excitatory",0.296022233366767,200
"hbca","UCell","minimal8","Upper rhombic lip",0.28463202106319,200
"hbca","UCell","minimal8","Upper-layer intratelencephalic",0.315536400869274,200
"hbca","ssGSEA","minimal8","Amygdala excitatory",2.8015563070007,200
"hbca","ssGSEA","minimal8","Cerebellar inhibitory",2.54692835119046,200
"hbca","ssGSEA","minimal8","CGE interneuron",2.68934284919619,200
"hbca","ssGSEA","minimal8","Deep-layer corticothalamic and 6b",2.80993148603471,200
"hbca","ssGSEA","minimal8","Deep-layer intratelencephalic",2.73046499838327,200
"hbca","ssGSEA","minimal8","Deep-layer near-projecting",2.75262591486892,200
"hbca","ssGSEA","minimal8","Eccentric medium spiny neuron",2.72998551357484,200
"hbca","ssGSEA","minimal8","Hippocampal CA1-3",2.77939773036765,200
"hbca","ssGSEA","minimal8","Hippocampal CA4",2.82149725331136,200
"hbca","ssGSEA","minimal8","Hippocampal dentate gyrus",2.67602895069101,200
"hbca","ssGSEA","minimal8","LAMP5-LHX6 and Chandelier",2.69617576620692,200
"hbca","ssGSEA","minimal8","Lower rhombic lip",2.71749406815828,200
"hbca","ssGSEA","minimal8","Mammillary body",2.6302251732224,200
"hbca","ssGSEA","minimal8","Medium spiny neuron",2.5865613071751,200
"hbca","ssGSEA","minimal8","MGE interneuron",2.6701757310417,200
"hbca","ssGSEA","minimal8","Midbrain-derived inhibitory",2.66316357531167,200
"hbca","ssGSEA","minimal8","Miscellaneous",2.63567410374505,200
"hbca","ssGSEA","minimal8","Splatter",2.63795147235364,200
"hbca","ssGSEA","minimal8","Thalamic excitatory",2.70741724765669,200
"hbca","ssGSEA","minimal8","Upper rhombic lip",2.55475753008115,200
"hbca","ssGSEA","minimal8","Upper-layer intratelencephalic",2.7271330701589,200
"hbca","SCSE","minimal8","Amygdala excitatory",0.00199453637810657,200
"hbca","SCSE","minimal8","Cerebellar inhibitory",0.00153862169510307,200
"hbca","SCSE","minimal8","CGE interneuron",0.00182322607771335,200
"hbca","SCSE","minimal8","Deep-layer corticothalamic and 6b",0.0018848425103181,200
"hbca","SCSE","minimal8","Deep-layer intratelencephalic",0.00162923340670873,200
"hbca","SCSE","minimal8","Deep-layer near-projecting",0.00183542549463296,200
"hbca","SCSE","minimal8","Eccentric medium spiny neuron",0.00182341746481508,200
"hbca","SCSE","minimal8","Hippocampal CA1-3",0.00185464670898416,200
"hbca","SCSE","minimal8","Hippocampal CA4",0.00203936861006565,200
"hbca","SCSE","minimal8","Hippocampal dentate gyrus",0.0018711399313445,200
"hbca","SCSE","minimal8","LAMP5-LHX6 and Chandelier",0.00187834650807281,200
"hbca","SCSE","minimal8","Lower rhombic lip",0.00164449061209744,200
"hbca","SCSE","minimal8","Mammillary body",0.00151965946368182,200
"hbca","SCSE","minimal8","Medium spiny neuron",0.00164440154996105,200
"hbca","SCSE","minimal8","MGE interneuron",0.00177028873757528,200
"hbca","SCSE","minimal8","Midbrain-derived inhibitory",0.00185983743541999,200
"hbca","SCSE","minimal8","Miscellaneous",0.00153559207423178,200
"hbca","SCSE","minimal8","Splatter",0.0015688300764262,200
"hbca","SCSE","minimal8","Thalamic excitatory",0.00163143682687642,200
"hbca","SCSE","minimal8","Upper rhombic lip",0.00236104174631993,200
"hbca","SCSE","minimal8","Upper-layer intratelencephalic",0.00172074752685681,200
"hbca","JASMINE","minimal8","Amygdala excitatory",0.529579042446152,200
"hbca","JASMINE","minimal8","Cerebellar inhibitory",0.408460449778635,200
"hbca","JASMINE","minimal8","CGE interneuron",0.488190121768146,200
"hbca","JASMINE","minimal8","Deep-layer corticothalamic and 6b",0.523248630745637,200
"hbca","JASMINE","minimal8","Deep-layer intratelencephalic",0.488949815761407,200
