"atlas","method","panel","group","score","n_cells"
"hbca","AddModuleScore","minimal8","Amygdala excitatory",0.369670566429479,200
"hbca","AddModuleScore","minimal8","Cerebellar inhibitory",0.168182749484903,200
"hbca","AddModuleScore","minimal8","CGE interneuron",0.300721682322972,200
"hbca","AddModuleScore","minimal8","Deep-layer corticothalamic and 6b",0.323360339540054,200
"hbca","AddModuleScore","minimal8","Deep-layer intratelencephalic",0.209809414901491,200
"hbca","AddModuleScore","minimal8","Deep-layer near-projecting",0.32706143522264,200
"hbca","AddModuleScore","minimal8","Eccentric medium spiny neuron",0.277002274051571,200
"hbca","AddModuleScore","minimal8","Hippocampal CA1-3",0.307270830839981,200
"hbca","AddModuleScore","minimal8","Hippocampal CA4",0.39438440439745,200
"hbca","AddModuleScore","minimal8","Hippocampal dentate gyrus",0.284914439477626,200
"hbca","AddModuleScore","minimal8","LAMP5-LHX6 and Chandelier",0.308617132143961,200
"hbca","AddModuleScore","minimal8","Lower rhombic lip",0.23228103855349,200
"hbca","AddModuleScore","minimal8","Mammillary body",0.144771867038134,200
"hbca","AddModuleScore","minimal8","Medium spiny neuron",0.214597842817125,200
"hbca","AddModuleScore","minimal8","MGE interneuron",0.244526961201801,200
"hbca","AddModuleScore","minimal8","Midbrain-derived inhibitory",0.27249846106823,200
"hbca","AddModuleScore","minimal8","Miscellaneous",0.179177465522683,200
"hbca","AddModuleScore","minimal8","Splatter",0.174822823686835,200
"hbca","AddModuleScore","minimal8","Thalamic excitatory",0.216089329518181,200
"hbca","AddModuleScore","minimal8","Upper rhombic lip",0.427206159149759,200
"hbca","AddModuleScore","minimal8","Upper-layer intratelencephalic",0.26214369946187,200
"hbca","AddModuleScore","full61","Amygdala excitatory",0.180458403412667,200
"hbca","AddModuleScore","full61","Cerebellar inhibitory",0.151327698345391,200
"hbca","AddModuleScore","full61","CGE interneuron",0.160703242937988,200
"hbca","AddModuleScore","full61","Deep-layer corticothalamic and 6b",0.195057595797355,200
"hbca","AddModuleScore","full61","Deep-layer intratelencephalic",0.170513597570717,200
"hbca","AddModuleScore","full61","Deep-layer near-projecting",0.153033145925823,200
"hbca","AddModuleScore","full61","Eccentric medium spiny neuron",0.215459814278289,200
"hbca","AddModuleScore","full61","Hippocampal CA1-3",0.221765113143904,200
"hbca","AddModuleScore","full61","Hippocampal CA4",0.195624466821171,200
"hbca","AddModuleScore","full61","Hippocampal dentate gyrus",0.1643549197752,200
"hbca","AddModuleScore","full61","LAMP5-LHX6 and Chandelier",0.184461404610073,200
"hbca","AddModuleScore","full61","Lower rhombic lip",0.178750491362192,200
"hbca","AddModuleScore","full61","Mammillary body",0.0735439463675687,200
"hbca","AddModuleScore","full61","Medium spiny neuron",0.137333896546683,200
"hbca","AddModuleScore","full61","MGE interneuron",0.166677592624102,200
"hbca","AddModuleScore","full61","Midbrain-derived inhibitory",0.221210425613263,200
"hbca","AddModuleScore","full61","Miscellaneous",0.167426325278186,200
"hbca","AddModuleScore","full61","Splatter",0.146894839551977,200
"hbca","AddModuleScore","full61","Thalamic excitatory",0.158209403447783,200
"hbca","AddModuleScore","full61","Upper rhombic lip",0.146516955283323,200
"hbca","AddModuleScore","full61","Upper-layer intratelencephalic",0.204698155966897,200
"hbca","scPS","minimal8","Amygdala excitatory",0.230917710503459,200
"hbca","scPS","minimal8","Cerebellar inhibitory",0.161169434275721,200
"hbca","scPS","minimal8","CGE interneuron",0.211864873687582,200
"hbca","scPS","minimal8","Deep-layer corticothalamic and 6b",0.220923981237531,200
"hbca","scPS","minimal8","Deep-layer intratelencephalic",0.19919651400266,200
"hbca","scPS","minimal8","Deep-layer near-projecting",0.224592356136186,200
"hbca","scPS","minimal8","Eccentric medium spiny neuron",0.198915924563076,200
"hbca","scPS","minimal8","Hippocampal CA1-3",0.225100393816782,200
"hbca","scPS","minimal8","Hippocampal CA4",0.235978422640694,200
"hbca","scPS","minimal8","Hippocampal dentate gyrus",0.214122679651864,200
"hbca","scPS","minimal8","LAMP5-LHX6 and Chandelier",0.20991072443483,200
"hbca","scPS","minimal8","Lower rhombic lip",0.201577660438037,200
"hbca","scPS","minimal8","Mammillary body",0.188131778087437,200
