"atlas","method","panel","group","score","n_cells"
"tabula","AddModuleScore","minimal8","acinar cell",0.00374157617244952,200
"tabula","AddModuleScore","minimal8","acinar cell of salivary gland",-0.0189793946951177,200
"tabula","AddModuleScore","minimal8","activated CD4-positive, alpha-beta T cell",-0.0129993395603199,200
"tabula","AddModuleScore","minimal8","activated CD8-positive, alpha-beta T cell",0.0021840860636502,200
"tabula","AddModuleScore","minimal8","adventitial cell",-0.0245690178369507,200
"tabula","AddModuleScore","minimal8","alveolar adventitial fibroblast",0.0137267006481659,200
"tabula","AddModuleScore","minimal8","B cell",-0.034960390742894,200
"tabula","AddModuleScore","minimal8","basal cell",-0.00571728650782139,200
"tabula","AddModuleScore","minimal8","basal cell of prostate epithelium",-0.00966377013521843,200
"tabula","AddModuleScore","minimal8","basophil",0.00970769319524046,200
"tabula","AddModuleScore","minimal8","BEST4+ enterocyte",0.0927638224268937,200
"tabula","AddModuleScore","minimal8","bladder urothelial cell",-0.0075115115027203,200
"tabula","AddModuleScore","minimal8","blood vessel smooth muscle cell",0.0588458549071275,200
"tabula","AddModuleScore","minimal8","capillary endothelial cell",0.00958255580835892,200
"tabula","AddModuleScore","minimal8","cardiac endothelial cell",0.0199672521804373,200
"tabula","AddModuleScore","minimal8","CD4-positive, alpha-beta T cell",-0.0258397344569045,200
"tabula","AddModuleScore","minimal8","CD4-positive, alpha-beta thymocyte",-0.0252938363891852,200
"tabula","AddModuleScore","minimal8","CD8-positive, alpha-beta T cell",-0.0135063540060293,200
"tabula","AddModuleScore","minimal8","CD8-positive, alpha-beta thymocyte",-0.0360650772322394,200
"tabula","AddModuleScore","minimal8","classical monocyte",-0.0287103423600322,200
"tabula","AddModuleScore","minimal8","club cell",-0.0253541672863161,200
"tabula","AddModuleScore","minimal8","conjunctival epithelial cell",0.0254134892734924,200
"tabula","AddModuleScore","minimal8","corneal epithelial cell",0.0280201406666969,200
"tabula","AddModuleScore","minimal8","duct epithelial cell",-0.0330805916682103,200
"tabula","AddModuleScore","minimal8","endothelial cell",-0.00618559144238741,200
"tabula","AddModuleScore","minimal8","endothelial cell of artery",-0.00579565957277441,200
"tabula","AddModuleScore","minimal8","endothelial cell of lymphatic vessel",-0.0151808729752527,200
"tabula","AddModuleScore","minimal8","endothelial cell of vascular tree",-0.0170885122856707,200
"tabula","AddModuleScore","minimal8","enterocyte of epithelium of large intestine",-0.00194387799759581,200
"tabula","AddModuleScore","minimal8","enterocyte of epithelium proper of duodenum",0.0407881705257155,200
"tabula","AddModuleScore","minimal8","enterocyte of epithelium proper of ileum",0.0224569221032476,200
"tabula","AddModuleScore","minimal8","enterocyte of epithelium proper of small intestine",0.0101463934464904,200
"tabula","AddModuleScore","minimal8","enteroglial cell",-0.0284892473369113,200
"tabula","AddModuleScore","minimal8","epithelial cell",-0.0259538591093326,200
"tabula","AddModuleScore","minimal8","epithelial cell of uterus",0.0157465409189968,200
"tabula","AddModuleScore","minimal8","erythrocyte",-0.0036892152037517,200
"tabula","AddModuleScore","minimal8","erythroid progenitor cell",-0.0249501049270367,200
"tabula","AddModuleScore","minimal8","eye photoreceptor cell",-0.0595239746705139,200
"tabula","AddModuleScore","minimal8","fibroblast",0.00495090652837179,200
"tabula","AddModuleScore","minimal8","fibroblast of breast",-0.00218357376940241,200
"tabula","AddModuleScore","minimal8","fibroblast of cardiac tissue",0.0305120831893971,200
