"barcode","group","AddModuleScore__minimal8","AddModuleScore__full61","scPS__minimal8","scPS__full61","AUCell__minimal8","AUCell__full61","JASMINE__minimal8","JASMINE__full61","ssGSEA__minimal8","ssGSEA__full61","UCell__minimal8","UCell__full61","SCSE__minimal8","SCSE__full61"
"cell_0","B cell",-0.0412595658548102,-0.0205003191429205,0,0.0233154933767177,0,0.0773606557377049,0,0.369089716982408,20657.3517731608,22681.3815922756,0,0.0530694461493824,0,0.42377227344099
"cell_1","innate lymphoid cell",-0.0233120363047198,-0.0139340434770445,0,0.0301500061224549,0,0.092207650273224,0,0.387840419981064,20476.452894485,22802.3296868736,0,0.0569418250398955,0,0.44931690381936
"cell_2","CD4-positive, alpha-beta T cell",-0.0309036886234483,-0.00595812373668858,0,0.0273311581970816,0,0.0686830601092896,0,0.392879849528848,20783.6184403776,22872.0320887962,0,0.0539622136169358,0,0.500119243092575
"cell_3","innate lymphoid cell",-0.0350873407404572,-0.102779680400748,0,0.0126474158757547,0.082355856600033,0.0392295081967213,0,0.397171553312079,20515.5830596719,21908.7343429311,0,0.0230334006628798,0,0.193594539508805
"cell_4","innate lymphoid cell",0.0142396502861085,-0.0699890415906577,0.00744753086884733,0.0213834497480203,0.0701305137948125,0.0962349726775956,0.219986034324506,0.3323964789061,21382.8838280361,22936.7198630869,0.0139167502507522,0.0413741923244317,0.0109286083801696,0.314797083919218
"cell_5","B cell",-0.0243688304874695,-0.0798902196155703,0,0.0150987213153048,0,0.0813169398907104,0,0.282648301652201,20608.720353807,22948.2167339398,0,0.0349964847280965,0,0.246419703923883
"cell_6","innate lymphoid cell",0.389445741563084,0.12048672016797,0.0955565085294419,0.0496201950266442,0.123368577564844,0.121344262295082,0.576552715757509,0.480726809709295,21616.2783645685,23265.5279217973,0.121698428619191,0.0960283007287215,0.16433174303665,0.863056709957164
"cell_7","innate lymphoid cell",0.263594930414997,0.00396608837028892,0.0722546003087064,0.0426895949000909,0.118701470345283,0.113071038251366,0.525663625545972,0.412759272910495,21034.6643984844,22846.1439652902,0.112253426947509,0.072286265888471,0.0851994324717368,0.499851231626565
"cell_8","vascular associated smooth muscle cell",-0.00686323887550366,0.0120441338466436,0,0.0144221626989776,0,0.0394207650273224,0,0.466755991773552,21088.5336892307,22872.9937674538,0,0.0303652534901628,0,0.637630048025181
"cell_9","intrahepatic cholangiocyte",0.0136599954880854,-0.0389716070716234,0.0218374972546542,0.0492403788296022,0.00664959524202875,0.109185792349727,0.240218552686709,0.421624762978567,21339.1639251612,22777.9945058488,0,0.0457431731187715,0.0183893099372197,0.418358755445956
"cell_10","erythrocyte",-0.00225783254547687,0.0435223365747456,0,0.0109273012554318,0,0.142196721311475,0,0.614142129331927,21185.4214784316,23714.8332073494,0,0.11640571817563,0,2.60129096763945
"cell_11","regular atrial cardiac myocyte",-0.00204685648554808,0.0250095574635329,0,0.007962134673891,0.0496861060631092,0.0805846994535519,0,0.473725917023922,21235.6781123139,23124.9226075687,0,0.0566237766295796,0,1.67030866871777
"cell_12","cardiac endothelial cell",-0.0101326273530052,0.0733997817470059,0,0.0309520985833002,0,0.0710546448087432,0,0.494697060911815,21219.676000033,23068.1799149514,0,0.044928522804629,0,0.860825352577343
