collection,organism,gene,n_expressing,total,group,n_cells,pct_expressing,mean_all,mean_expressing
census_spatial_sequencing,homo_sapiens,ADCY5,66915,102581.0,heart,362184,18.475415810748128,0.2832289664921697,1.5330045580213705
census_spatial_sequencing,homo_sapiens,ADCY5,3578,4783.0,spleen,19968,17.918669871794872,0.2395332532051282,1.3367803242034657
census_spatial_sequencing,homo_sapiens,ADCY5,2730,3091.0,placenta,39936,6.8359375,0.07739883814102565,1.1322344322344322
census_spatial_sequencing,homo_sapiens,ADCY5,582,720.0,small intestine,9984,5.829326923076923,0.07211538461538461,1.2371134020618557
census_spatial_sequencing,homo_sapiens,ADCY5,497,589.0,intestine,9984,4.977964743589744,0.058994391025641024,1.1851106639839035
census_spatial_sequencing,homo_sapiens,ADCY5,2153,2737.0,respiratory system,59904,3.5940838675213675,0.045689770299145296,1.27124941941477
census_spatial_sequencing,homo_sapiens,ADCY5,2396,2807.0,colon,69888,3.428342490842491,0.040164262820512824,1.1715358931552589
census_spatial_sequencing,homo_sapiens,ADCY5,457,488.0,large intestine,19968,2.288661858974359,0.024439102564102564,1.0678336980306347
census_spatial_sequencing,homo_sapiens,ADCY5,5799,6647.0,lung,275274,2.106628304888947,0.024146850047588948,1.1462321089843077
census_spatial_sequencing,homo_sapiens,ADCY5,802,867.0,hindlimb,39936,2.008213141025641,0.021709735576923076,1.0810473815461346
census_spatial_sequencing,homo_sapiens,ADCY5,17389,20574.0,kidney,1037593,1.6758979677002448,0.019828584040177604,1.1831617689343839
census_spatial_sequencing,homo_sapiens,ADCY5,88,111.0,vasculature,6142,1.4327580592640834,0.018072289156626505,1.2613636363636365
census_spatial_sequencing,homo_sapiens,ADCY5,2612,2931.0,breast,165577,1.5775137851271614,0.017701733936476685,1.1221286370597243
census_spatial_sequencing,homo_sapiens,ADCY5,1918,2061.0,endocrine gland,154752,1.2394023986765923,0.013318083126550868,1.0745568300312827
census_spatial_sequencing,homo_sapiens,ADCY5,1742,1808.0,liver,158148,1.1014998608897995,0.011432329210612843,1.0378874856486797
census_spatial_sequencing,homo_sapiens,ADCY5,134,161.0,inguinal part of abdomen,14976,0.8947649572649573,0.010750534188034188,1.2014925373134329
census_spatial_sequencing,homo_sapiens,ADCY5,1201,1320.0,skin of body,124800,0.9623397435897436,0.010576923076923078,1.0990840965861781
census_spatial_sequencing,homo_sapiens,ADCY5,1041,1180.0,exocrine gland,119808,0.8688902243589743,0.00984909188034188,1.133525456292027
census_spatial_sequencing,homo_sapiens,ADCY5,17,22.0,skeletal system,4992,0.3405448717948718,0.004407051282051282,1.2941176470588236
census_spatial_sequencing,homo_sapiens,ADCY5,219,233.0,axilla,66262,0.3305061724668739,0.003516344209350759,1.0639269406392695
census_spatial_sequencing,homo_sapiens,ADCY5,12,12.0,chest wall,9362,0.1281777397991882,0.001281777397991882,1.0
census_spatial_sequencing,homo_sapiens,ADCY5,24,27.0,immune system,26917,0.08916298250176469,0.0010030835531448527,1.125
census_spatial_sequencing,homo_sapiens,ADCY5,151,159.0,lymph node,246056,0.06136814383717528,0.000646194362258998,1.0529801324503312
census_spatial_sequencing,homo_sapiens,ADORA1,8887,12095.0,breast,165577,5.367291350851869,0.07304758511145872,1.3609767075503545
census_spatial_sequencing,homo_sapiens,ADORA1,1197,1499.0,placenta,39936,2.997295673076923,0.03753505608974359,1.2522974101921471
census_spatial_sequencing,homo_sapiens,ADORA1,9556,11584.0,heart,362184,2.6384379210567004,0.031983743069820866,1.2122226873168689
census_spatial_sequencing,homo_sapiens,ADORA1,1272,1519.0,respiratory system,59904,2.1233974358974357,0.025357238247863248,1.194182389937107
census_spatial_sequencing,homo_sapiens,ADORA1,424,450.0,large intestine,19968,2.1233974358974357,0.022536057692307692,1.0613207547169812
census_spatial_sequencing,homo_sapiens,ADORA1,169,175.0,intestine,9984,1.6927083333333333,0.017528044871794872,1.0355029585798816
census_spatial_sequencing,homo_sapiens,ADORA1,1221,1614.0,skin of body,124800,0.9783653846153846,0.012932692307692308,1.3218673218673218
census_spatial_sequencing,homo_sapiens,ADORA1,244,254.0,spleen,19968,1.2219551282051282,0.012720352564102564,1.040983606557377
census_spatial_sequencing,homo_sapiens,ADORA1,1298,1471.0,exocrine gland,119808,1.083400106837607,0.012277978098290598,1.1332819722650231
census_spatial_sequencing,homo_sapiens,ADORA1,108,150.0,inguinal part of abdomen,14976,0.7211538461538461,0.010016025641025642,1.3888888888888888
census_spatial_sequencing,homo_sapiens,ADORA1,522,545.0,colon,69888,0.7469093406593407,0.007798191391941392,1.0440613026819923
census_spatial_sequencing,homo_sapiens,ADORA1,1548,1658.0,lung,275274,0.5623487870267443,0.006023089721513837,1.0710594315245479
census_spatial_sequencing,homo_sapiens,ADORA1,312,325.0,axilla,66262,0.47085810871993,0.004904771965832604,1.0416666666666667
census_spatial_sequencing,homo_sapiens,ADORA1,158,166.0,hindlimb,39936,0.39563301282051283,0.004156650641025641,1.0506329113924051
