atlas,group,n_cells,panel_mean,control_mean,module_score
HBCA neurons,Hippocampal CA4,10654,8.999172172692775,7.056189685434221,1.9429824872585542
HBCA neurons,Hippocampal CA1-3,74979,8.937503156621561,7.018484142777848,1.9190190138437133
HBCA neurons,Eccentric medium spiny neuron,40144,4.461043113643344,3.1098015377885915,1.3512415758547522
HBCA neurons,Upper-layer intratelencephalic,455006,4.855647300777803,3.8699403009431323,0.9857069998346706
HBCA neurons,Midbrain-derived inhibitory,126782,4.141260550251354,3.1606034365383873,0.9806571137129665
HBCA neurons,Medium spiny neuron,152189,4.934303754531278,4.049986120448544,0.8843176340827341
HBCA neurons,Deep-layer corticothalamic and 6b,78396,5.739180612259406,4.953220546722446,0.7859600655369601
HBCA neurons,Miscellaneous,25071,4.596460805410993,4.037445820970272,0.5590149844407204
HBCA neurons,Deep-layer intratelencephalic,228467,5.448416806904065,4.918835274806996,0.5295815320970689
HBCA neurons,Deep-layer near-projecting,18856,4.121435452123775,3.65309964060907,0.46833581151470494
HBCA neurons,Lower rhombic lip,52650,4.384287515762926,3.9337357146930683,0.4505518010698579
HBCA neurons,Amygdala excitatory,109452,5.7260344080764805,5.294030006978034,0.43200440109844607
HBCA neurons,Hippocampal dentate gyrus,67533,3.41782924340814,3.098626159841373,0.3192030835667672
HBCA neurons,CGE interneuron,227671,2.4453416423223877,2.1875694891280353,0.2577721531943524
HBCA neurons,MGE interneuron,222434,3.0801631782616083,2.856432398253446,0.22373078000816227
HBCA neurons,LAMP5-LHX6 and Chandelier,45118,3.029670467023085,2.8068762615357983,0.22279420548728668
HBCA neurons,Splatter,291833,3.2434144769411968,3.1735966034701515,0.06981787347104529
HBCA neurons,Upper rhombic lip,137162,0.7175125691984183,0.653779476890286,0.06373309230813229
HBCA neurons,Thalamic excitatory,85546,5.927370491496666,5.908211436262886,0.019159055233780364
HBCA neurons,Cerebellar inhibitory,14411,1.8778778960971296,1.9761694465214568,-0.09829155042432713
HBCA neurons,Mammillary body,16602,4.357086149999704,5.808592115475932,-1.451505965476228
