atlas,group,n_cells,panel_mean,control_mean,module_score
Tabula Sapiens,platelet,494,0.3911910215188111,0.1835197911194943,0.2076712303993168
Tabula Sapiens,pancreatic PP cell,2,0.43674067542201184,0.2396075513047451,0.19713312411726674
Tabula Sapiens,pancreatic A cell,48,0.47089109603376655,0.2791153171624058,0.19177577887136077
Tabula Sapiens,retinal bipolar neuron,61,0.43105796687577785,0.2835544161670766,0.14750355070870125
Tabula Sapiens,neuro-medullary thymic epithelial cell,135,0.38218780680721864,0.23584874443832177,0.14633906236889688
Tabula Sapiens,enteroendocrine cell,25,0.41352767379557503,0.2912628356943426,0.12226483810123245
Tabula Sapiens,type B pancreatic cell,102,0.3339698742578188,0.21388085078125255,0.12008902347656628
Tabula Sapiens,pancreatic D cell,9,0.3639314555730976,0.2517373331798629,0.11219412239323467
Tabula Sapiens,neutrophil,69539,0.37986226596829265,0.26840149480925585,0.1114607711590368
Tabula Sapiens,mural cell,618,0.4016662945461627,0.29553298949792717,0.10613330504823554
Tabula Sapiens,peritubular myoid cell,67,0.3726654845299685,0.2820896624535935,0.09057582207637499
Tabula Sapiens,pericyte,10888,0.3951639739803003,0.3140075235566511,0.08115645042364916
Tabula Sapiens,neuron,82,0.36599380197357245,0.2860294593929465,0.07996434258062596
Tabula Sapiens,classical monocyte,18200,0.43817979445997396,0.3592867949732164,0.07889299948675754
Tabula Sapiens,enteroendocrine cell of small intestine,264,0.3814669213614204,0.30486921798738115,0.07659770337403926
Tabula Sapiens,monocyte,25753,0.4132861071063311,0.3414112139687343,0.07187489313759682
Tabula Sapiens,hepatic stellate cell,223,0.3463131610126212,0.27603430128824696,0.07027885972437425
Tabula Sapiens,mature NK T cell,5394,0.38733527212095026,0.3200593401536013,0.06727593196734893
Tabula Sapiens,natural killer cell,14231,0.3897884448037225,0.32384935702782536,0.06593908777589713
Tabula Sapiens,granulocyte,769,0.3218905900104568,0.2563312130243896,0.06555937698606717
Tabula Sapiens,cardiac endothelial cell,10092,0.3783578181921222,0.3134813946423916,0.06487642354973061
Tabula Sapiens,smooth muscle cell,18425,0.3710677072163788,0.30711461685676367,0.0639530903596151
Tabula Sapiens,male germ cell,116,0.36641592574513787,0.3033615555831641,0.0630543701619738
Tabula Sapiens,hematopoietic precursor cell,2140,0.4077056793407831,0.34601791419173367,0.061687765149049445
Tabula Sapiens,intermediate monocyte,5478,0.4349080145476364,0.3735609968846438,0.06134701766299261
Tabula Sapiens,fibroblast of cardiac tissue,1947,0.371060061634013,0.3126228250173351,0.05843723661667788
Tabula Sapiens,pancreatic stellate cell,438,0.39345723192365556,0.33620848757227983,0.057248744351375724
Tabula Sapiens,myometrial cell,917,0.3775377632975462,0.3208527337172098,0.05668502958033639
Tabula Sapiens,gamma-delta T cell,1977,0.37720227466555806,0.32128062827779164,0.05592164638776642
Tabula Sapiens,BEST4+ enterocyte,1970,0.3248928339259799,0.2715706194908806,0.05332221443509927
Tabula Sapiens,myofibroblast cell,4436,0.3777301872135095,0.3247040534291229,0.05302613378438659
Tabula Sapiens,non-classical monocyte,1284,0.4074840191125319,0.3544927677143569,0.05299125139817501
Tabula Sapiens,Leydig cell,10,0.32297046946697555,0.27030944810904994,0.05266102135792561
Tabula Sapiens,type L enteroendocrine cell,44,0.36861848110546824,0.3196260909931233,0.04899239011234496
Tabula Sapiens,mononuclear phagocyte,5336,0.39070980126540245,0.342297891754323,0.04841190951107943
Tabula Sapiens,enterochromaffin-like cell,27,0.3095916838593821,0.26464691045836886,0.04494477340101327
Tabula Sapiens,glial cell,20,0.3508084561645252,0.3062854739357285,0.04452298222879669
Tabula Sapiens,basophil,1669,0.33672623871008167,0.2952802427835978,0.04144599592648385
Tabula Sapiens,endothelial cell of artery,3471,0.3629205432785709,0.3218253542273162,0.0410951890512547
Tabula Sapiens,blood vessel smooth muscle cell,6642,0.3392419487487894,0.29972250973634545,0.039519439012443924
Tabula Sapiens,endothelial cell of arteriole,132,0.37529034164552716,0.3359740390336094,0.039316302611917764
Tabula Sapiens,mast cell,6222,0.3092525480348509,0.27034674206391035,0.038905805970940566
Tabula Sapiens,spermatid,4009,0.18726284253896025,0.1487972913265378,0.038465551212422455
Tabula Sapiens,taste receptor cell,32,0.2466208190565593,0.20959753440725026,0.03702328464930904
Tabula Sapiens,capillary endothelial cell,15298,0.33561858643125136,0.2991945138807459,0.03642407255050545
Tabula Sapiens,myoepithelial cell,486,0.33546341563947735,0.2990850948495074,0.03637832078996994
Tabula Sapiens,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,0.3684676959860832,0.3321978636125265,0.03626983237355669
Tabula Sapiens,vascular associated smooth muscle cell,5019,0.32025372219240766,0.2850719032747047,0.035181818917702945
Tabula Sapiens,bronchial smooth muscle cell,220,0.29789898599492426,0.2632098763627483,0.034689109632175974
Tabula Sapiens,myeloid leukocyte,1002,0.35618120040903617,0.3217162113831466,0.03446498902588957
Tabula Sapiens,Langerhans cell,76,0.32005523387451174,0.28806974726980256,0.03198548660470918
Tabula Sapiens,colon macrophage,328,0.3939187471339506,0.3621304874010888,0.03178825973286181
Tabula Sapiens,T follicular helper cell,6,0.1798541722606099,0.1489744421974372,0.03087973006317271
Tabula Sapiens,T cell,6290,0.3121205833435351,0.2814973406345984,0.030623242708936682
Tabula Sapiens,"CD8-positive, alpha-beta T cell",76277,0.3386081271984745,0.30800093331022943,0.030607193888245066
Tabula Sapiens,myeloid cell,81,0.2432434471420027,0.2131356621897531,0.030107784952249583
Tabula Sapiens,pancreatic ductal cell,2721,0.3435628615759318,0.31379562793911303,0.02976723363681877
