group,dimension,size,mean,median,positive_fraction
Amygdala excitatory,cell_type,109452,0.63723916,0.6431874,0.20033439315864487
Deep-layer corticothalamic and 6b,cell_type,78396,0.631792,0.6397883,0.17411602632787387
Hippocampal CA4,cell_type,10654,0.6272789,0.6389307,0.14811338464426507
Upper-layer intratelencephalic,cell_type,455006,0.6262703,0.6341655,0.15572541900546366
Lower rhombic lip,cell_type,52650,0.6225982,0.63800144,0.18987654320987654
Eccentric medium spiny neuron,cell_type,40144,0.61745214,0.6207002,0.15621263451574333
Hippocampal CA1-3,cell_type,74979,0.61658615,0.62500024,0.10593632883874152
LAMP5-LHX6 and Chandelier,cell_type,45118,0.60665715,0.61544645,0.1508710492486369
Thalamic excitatory,cell_type,85546,0.6053945,0.61138153,0.09067636125593248
Midbrain-derived inhibitory,cell_type,126782,0.60504675,0.6099348,0.1386789922859712
Deep-layer intratelencephalic,cell_type,228467,0.6034647,0.6101598,0.08806085780440939
Deep-layer near-projecting,cell_type,18856,0.59597045,0.60244566,0.07483029274501485
MGE interneuron,cell_type,222434,0.5853203,0.5961738,0.08641214922179163
Hippocampal dentate gyrus,cell_type,67533,0.5661112,0.5816174,0.05329246442479973
Medium spiny neuron,cell_type,152189,0.56110805,0.5621598,0.02205809881134642
Cerebellar inhibitory,cell_type,14411,0.5575599,0.5629101,0.039830684893484146
Splatter,cell_type,291833,0.55530167,0.5667774,0.047787604554659684
CGE interneuron,cell_type,227671,0.5519324,0.55895364,0.05470174066965051
Mammillary body,cell_type,16602,0.5396322,0.5452125,0.005963136971449223
Miscellaneous,cell_type,25071,0.522964,0.5801145,0.09883929639822903
Upper rhombic lip,cell_type,137162,0.49428204,0.49105203,0.04717049911783147
Human LP-VPL,tissue,1481,0.68801355,0.6976031,0.47400405131667794
Human HTHso,tissue,9544,0.68744487,0.6947684,0.4529547359597653
Human CoA,tissue,8302,0.6835063,0.6882497,0.41351481570705856
Human CA1R-CA2R,tissue,9696,0.6640462,0.6656542,0.27454620462046203
Human A14,tissue,13475,0.6457794,0.65629506,0.20846011131725417
Human CM,tissue,6035,0.63831156,0.6440229,0.2223695111847556
Human CA2U-CA3U,tissue,11276,0.6366312,0.6378547,0.12140830081589216
Human RN,tissue,1741,0.6352785,0.6423626,0.20964962665134979
Human A35-A36,tissue,21712,0.6329753,0.6371454,0.15760869565217392
Human CA1U,tissue,14753,0.63036597,0.6392607,0.11882329017826883
Human HTHtub,tissue,11007,0.6280214,0.6333577,0.14690651403652222
Human PnRF,tissue,16190,0.6270172,0.64370644,0.21253860407659048
Human A43,tissue,39038,0.622539,0.6288687,0.1426558737640248
Human MD-Re,tissue,8943,0.621823,0.62910724,0.12165939841216594
Human A24,tissue,28504,0.6216731,0.6292787,0.1318060623070446
Human BM,tissue,26284,0.6194526,0.6259562,0.12045350783746767
Human VLN,tissue,14529,0.61924416,0.63123226,0.17028012939637965
Human A1C,tissue,30183,0.61838114,0.6231597,0.14034390219660073
Human A19,tissue,26788,0.61832047,0.62549007,0.15129908914439302
Human La,tissue,24564,0.61808795,0.62128717,0.16971991532323727
Human LEC,tissue,29867,0.6177207,0.62676716,0.11758797334851173
Human PN,tissue,18286,0.6176345,0.6369915,0.20102810893579787
Human VA,tissue,4263,0.6156612,0.61788076,0.09805301430917195
Human FI,tissue,32611,0.6156351,0.622549,0.12876023427677777
Human Idg,tissue,36455,0.6145799,0.62021106,0.10064463036620491
Human A38,tissue,34477,0.614461,0.6224484,0.10752095599965195
Human S1C,tissue,35462,0.6141294,0.62013274,0.11928261237380858
Human MTG,tissue,85167,0.61315465,0.6209553,0.11473927694999236
Human TH-TL,tissue,32254,0.612901,0.6200905,0.11341228994853352
Human HTHpo,tissue,13257,0.61257017,0.61542565,0.11412838500414875
Human SN-RN,tissue,11373,0.61175084,0.6193969,0.1541369911193177
Human A5-A7,tissue,32532,0.6116856,0.61942637,0.12772039837698265
Human A44-A45,tissue,35704,0.61153305,0.6211575,0.15244790499663904
Human MEC,tissue,46882,0.6105613,0.62248945,0.10671473060023036
Human CA1C-CA3C,tissue,32438,0.61048245,0.6198178,0.08955545964609408
Human A25,tissue,35104,0.60935926,0.61834455,0.10474589790337284
Human Pro,tissue,25291,0.6080865,0.6139601,0.12035902099561109
Human Ig,tissue,35320,0.6079703,0.61445403,0.122678369195923
Human MD,tissue,17520,0.6071489,0.61140144,0.07785388127853882
Human M1C,tissue,110256,0.6068849,0.6124333,0.0987701349586417
Human A40,tissue,36003,0.6067792,0.6162245,0.13354442685331777
Human V1C,tissue,30612,0.606369,0.6173476,0.1707826995949301
Human CA3R,tissue,4801,0.60451996,0.61361784,0.0820662362007915
Human Pir,tissue,32186,0.6042476,0.60936487,0.1323246131858572
Human ITG,tissue,26611,0.6037673,0.61091334,0.10018413438051933
Human V2,tissue,29656,0.6013018,0.6126479,0.13005799838144053
Human Pul,tissue,30508,0.6012919,0.6060747,0.09833486298675757
Human STG,tissue,27369,0.5993699,0.60542256,0.1089919251708137
Human DGR-CA4Rpy,tissue,25671,0.59869516,0.60677665,0.07689610844922286
Human A46,tissue,27929,0.59835535,0.6048432,0.10447921515270865
Human TF,tissue,29413,0.5975784,0.605133,0.10651752626389692
Human ANC,tissue,25035,0.5972214,0.60796016,0.10353505092869981
Human CA1R-CA2R-CA3R,tissue,21714,0.59575605,0.6058503,0.09523809523809523
Human CMN,tissue,34365,0.5948568,0.60263354,0.1129637712789175
Human LG,tissue,40261,0.59401625,0.59843266,0.097265343632796
Human AON,tissue,29263,0.5934356,0.6035621,0.11707617127430543
Human BL,tissue,30689,0.5920195,0.5988059,0.15516960474437094
Human CM-Pf,tissue,16021,0.5906821,0.5983401,0.06185631358841521
Human Cla,tissue,27929,0.58948326,0.5937752,0.08346163485982312
Human A13,tissue,32640,0.5870101,0.60271144,0.09666053921568628
Human CEN,tissue,30052,0.5855088,0.5882199,0.06022893651004925
Human CaB,tissue,29891,0.579825,0.57872826,0.023318055602020674
Human PnEN,tissue,25272,0.5781527,0.591864,0.08127572016460906
Human DTg,tissue,18015,0.57648563,0.5861623,0.08920344157646405
Human SpC,tissue,6038,0.57450724,0.59160423,0.1180854587611792
Human VPL,tissue,2324,0.5731212,0.5771427,0.055507745266781414
Human PTR,tissue,23590,0.5724196,0.58083844,0.06201780415430267
Human MN,tissue,17416,0.5723243,0.57143295,0.04937988056959118
Human MG,tissue,10535,0.56983584,0.5728207,0.04859990507831039
Human GPe,tissue,15262,0.569669,0.57238877,0.016511597431529287
Human MoRF-MoEN,tissue,14034,0.56933963,0.5810274,0.0758158757303691
Human ETH,tissue,22279,0.5691041,0.5798574,0.04946362044975089
Human Pu,tissue,30741,0.56886524,0.56996596,0.012719169838326664
Human SEP,tissue,20519,0.56601006,0.5732698,0.06506165017788391
Human CA4C-DGC,tissue,36624,0.5651557,0.587323,0.08073940585408475
Human SI,tissue,33370,0.56420255,0.5645052,0.06344021576266107
Human PB,tissue,15580,0.5637482,0.57497966,0.062002567394094994
Human A23,tissue,32983,0.5618552,0.5763146,0.08983415698996453
Human SN,tissue,8668,0.55973834,0.5699475,0.09875403784033225
Human IC,tissue,28016,0.5562424,0.5751823,0.06778269560251285
Human A32,tissue,22759,0.55570626,0.58894384,0.11419658157212531
Human BNST,tissue,31277,0.55487907,0.55658597,0.04210761901716917
Human PAG,tissue,16607,0.55369055,0.55697817,0.06406936833865237
Human LP,tissue,12564,0.5536548,0.55593616,0.031120662209487424
Human NAC,tissue,27412,0.55183893,0.5516254,0.010944112067707573
Human DGU-CA4Upy,tissue,22019,0.55162084,0.56134474,0.027748762432444708
Human HTHma,tissue,9025,0.55123836,0.55452555,0.03213296398891967
Human SC,tissue,27166,0.5461027,0.5537832,0.050946035485533385
Human Sub,tissue,27795,0.54282725,0.55170685,0.09706781795286921
Human CA1U-CA2U-CA3U,tissue,31180,0.54051983,0.55973494,0.03595253367543297
Human A29-A30,tissue,31651,0.52959085,0.539619,0.057818078417743515
Human PAG-DR,tissue,10688,0.5289625,0.54314405,0.05361152694610778
Human MoAN,tissue,15630,0.5275392,0.54167,0.06461932181701856
Human HTHma-HTHtub,tissue,16517,0.52592134,0.52600724,0.014893745837621843
Human HTHso-HTHtub,tissue,15506,0.5190421,0.537435,0.030891267896298206
Human CbDN,tissue,23393,0.5173961,0.5195585,0.05373402299833283
Human CBL,tissue,24810,0.51419985,0.51322466,0.05957275292220879
Human CBV,tissue,54741,0.51166356,0.5145815,0.05010869366653879
Human IO,tissue,10519,0.50423515,0.5041733,0.057895237189846946
Human PnAN,tissue,13698,0.49491283,0.49306816,0.03774273616586363
Human STH,tissue,603,0.48497665,0.49575073,0.024875621890547265
Human HTHpo-HTHso,tissue,18008,0.48106343,0.4877569,0.03004220346512661
Human MoSR,tissue,7169,0.47350538,0.47663516,0.033616961919375084
Human GPi,tissue,1726,0.36337394,0.3539968,0.01216685979142526
Human A35r,tissue,44,0.23397951,0.20565239,0.0
