dimension,group,cells,median,mean,p95,top_5pct_fraction,top_1pct_fraction,top_5pct_enrichment,top_1pct_enrichment
cell_type,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,0.24410428,0.24320197,0.3921338677406311,0.02177673755978427,0.0015264068383026355,0.43553475119568535,0.15264068383026355
cell_type,B cell,114495,0.22863282,0.22759227,0.37404289543628694,0.01225381021005284,0.0009607406436962313,0.2450762042010568,0.09607406436962312
cell_type,"CD8-positive, alpha-beta T cell",76277,0.2670298,0.26981193,0.4437697589397429,0.0706766128715078,0.013621406190594806,1.4135322574301559,1.3621406190594807
cell_type,"CD4-positive, alpha-beta T cell",97130,0.23866045,0.23980679,0.4040174439549446,0.031123236899001337,0.004046123751673016,0.6224647379800267,0.4046123751673016
cell_type,plasma cell,27349,0.13543254,0.14069,0.27651884555816647,0.0017185271856375005,0.0004022084902555852,0.03437054371275001,0.04022084902555852
cell_type,innate lymphoid cell,971,0.12226761,0.18014969,0.4976627379655838,0.1101956745623069,0.046343975283213185,2.203913491246138,4.634397528321318
cell_type,endothelial cell,33703,0.28410295,0.2806126,0.4228237122297286,0.046227338812568616,0.004005578138444649,0.9245467762513723,0.40055781384446487
cell_type,natural killer cell,14231,0.32687145,0.3269302,0.5283223986625671,0.21249385145105756,0.07610146862483311,4.249877029021151,7.610146862483311
cell_type,erythrocyte,14611,0.005262336,0.023976086,0.1362992599606514,6.844158510711108e-05,0.0,0.0013688317021422216,0.0
cell_type,myeloid dendritic cell,571,0.28143242,0.27283818,0.4521184116601944,0.07180385288966724,0.0035026269702276708,1.4360770577933448,0.3502626970227671
cell_type,"CD8-positive, alpha-beta thymocyte",731,0.2600508,0.25767237,0.4370339512825012,0.06292749658002736,0.006839945280437756,1.258549931600547,0.6839945280437756
cell_type,vascular associated smooth muscle cell,5019,0.2506448,0.25722903,0.42359619140625,0.04602510460251046,0.007571229328551504,0.9205020920502092,0.7571229328551504
cell_type,neutrophil,69539,0.3053916,0.31012648,0.49379934966564176,0.1529357626655546,0.041717597319489784,3.0587152533110915,4.1717597319489785
cell_type,vein endothelial cell,4698,0.26370782,0.25814018,0.38822190612554547,0.015112813963388675,0.0008514261387824606,0.3022562792677735,0.08514261387824607
cell_type,intrahepatic cholangiocyte,665,0.22216229,0.22228307,0.36914663910865786,0.012030075187969926,0.0015037593984962407,0.2406015037593985,0.15037593984962408
cell_type,myeloid cell,81,0.18747431,0.19404829,0.3471720516681671,0.0,0.0,0.0,0.0
cell_type,macrophage,69072,0.30322188,0.30390897,0.46671764254570003,0.1140259439425527,0.020138406300671763,2.2805188788510535,2.0138406300671763
cell_type,regular atrial cardiac myocyte,5816,0.2576396,0.24820343,0.3914916291832924,0.0187414030261348,0.002751031636863824,0.37482806052269596,0.2751031636863824
cell_type,smooth muscle cell,18425,0.29275027,0.2919185,0.4579947710037231,0.09058344640434193,0.02203527815468114,1.8116689280868385,2.203527815468114
cell_type,cardiac endothelial cell,10092,0.29750985,0.29389036,0.4436566025018691,0.07748711850971066,0.008818866428854539,1.549742370194213,0.8818866428854538
cell_type,pericyte,10888,0.30982542,0.31014478,0.479437156021595,0.13629684055841293,0.029481998530492284,2.7259368111682583,2.9481998530492284
cell_type,mesothelial cell,350,0.22200137,0.2219275,0.31755345910787586,0.002857142857142857,0.0,0.05714285714285714,0.0
cell_type,endothelial cell of artery,3471,0.2841888,0.28149617,0.4259822219610214,0.05012964563526361,0.003745318352059925,1.0025929127052722,0.3745318352059925
cell_type,non-classical monocyte,1284,0.3181067,0.30866346,0.44919359833002087,0.08099688473520249,0.014797507788161994,1.6199376947040496,1.4797507788161994
cell_type,classical monocyte,18200,0.3411852,0.33295795,0.47322421371936796,0.14686813186813186,0.021813186813186815,2.937362637362637,2.1813186813186816
cell_type,respiratory tract goblet cell,1040,0.18379052,0.18730898,0.3104649692773819,0.0009615384615384616,0.0,0.019230769230769232,0.0
cell_type,basal cell,33526,0.20288152,0.20638114,0.34613677859306335,0.005040863807194416,0.0003579311579072958,0.10081727614388832,0.03579311579072958
cell_type,pulmonary alveolar type 2 cell,11594,0.22362152,0.22199655,0.32196344137191774,0.0011212696222183888,8.625150940141452e-05,0.022425392444367774,0.008625150940141452
cell_type,mesenchymal stem cell,23499,0.24020801,0.23887411,0.3761597454547882,0.01178773564832546,0.0008936550491510277,0.23575471296650918,0.08936550491510277
cell_type,skeletal muscle satellite stem cell,6170,0.19229734,0.19474289,0.3430395275354385,0.005510534846029173,0.00048622366288492705,0.11021069692058345,0.0486223662884927
cell_type,tendon cell,420,0.2260612,0.22444792,0.38355227559804905,0.02619047619047619,0.002380952380952381,0.5238095238095238,0.2380952380952381
cell_type,T cell,6290,0.24371597,0.2506555,0.44123523980379087,0.06279809220985691,0.014149443561208267,1.255961844197138,1.4149443561208266
cell_type,capillary endothelial cell,15298,0.25999868,0.2626881,0.4216206833720207,0.04458099097921297,0.005033337691201464,0.8916198195842593,0.5033337691201464
cell_type,mature NK T cell,5394,0.35007948,0.3474795,0.5368808269500732,0.2799406748238784,0.09807193177604746,5.598813496477568,9.807193177604747
cell_type,regulatory T cell,2649,0.23321076,0.23429073,0.38213759660720825,0.01925254813137033,0.00037750094375235937,0.38505096262740657,0.03775009437523594
cell_type,keratocyte,1001,0.22591758,0.23042877,0.3518702983856201,0.007992007992007992,0.000999000999000999,0.15984015984015984,0.0999000999000999
cell_type,fast muscle cell,495,0.11343011,0.1358616,0.2824422776699066,0.00202020202020202,0.0,0.0404040404040404,0.0
cell_type,endothelial cell of lymphatic vessel,2438,0.27192923,0.27187347,0.42195049673318863,0.04593929450369155,0.003281378178835111,0.918785890073831,0.3281378178835111
cell_type,slow muscle cell,174,0.08849624,0.10292886,0.23149440065026272,0.005747126436781609,0.0,0.11494252873563218,0.0
cell_type,endothelial cell of vascular tree,875,0.1489849,0.16996509,0.36575849354267115,0.017142857142857144,0.001142857142857143,0.34285714285714286,0.1142857142857143
cell_type,monocyte,25753,0.34214842,0.33150578,0.4822741091251373,0.1668155166388382,0.030132411757853455,3.336310332776764,3.0132411757853452
cell_type,erythroid progenitor cell,971,0.20131093,0.20360838,0.35903237760066986,0.008238928939237899,0.0,0.16477857878475796,0.0
cell_type,hematopoietic stem cell,858,0.2537157,0.25445417,0.44834977239370344,0.07692307692307693,0.011655011655011656,1.5384615384615385,1.1655011655011656
cell_type,epithelial cell of uterus,1417,0.23827605,0.2298017,0.3703442811965943,0.008468595624558928,0.0014114326040931546,0.16937191249117856,0.14114326040931546
cell_type,fibroblast,83338,0.22608349,0.22908011,0.3720007628202437,0.013715231947010968,0.0015119153327413665,0.27430463894021934,0.15119153327413665
cell_type,ciliated epithelial cell,320,0.20317525,0.20222697,0.31649929881095884,0.0,0.0,0.0,0.0
cell_type,epithelial fate stem cell,2,0.20204474,0.20204474,0.21758591532707214,0.0,0.0,0.0,0.0
cell_type,leukocyte,201,0.058719434,0.10229599,0.3237503170967102,0.01990049751243781,0.004975124378109453,0.3980099502487562,0.49751243781094523
