group,dimension,size,mean,median,positive_fraction
pancreatic A cell,cell_type,48,0.4638102,0.47039783,0.8541666666666666
pancreatic PP cell,cell_type,2,0.43995255,0.43995255,0.5
enteroendocrine cell,cell_type,25,0.424235,0.42952654,0.68
type L enteroendocrine cell,cell_type,44,0.3906314,0.4098404,0.6136363636363636
retinal bipolar neuron,cell_type,61,0.37451166,0.3573744,0.3770491803278688
mononuclear phagocyte,cell_type,5336,0.37195772,0.37703887,0.4617691154422789
enteroendocrine cell of small intestine,cell_type,264,0.369502,0.35493845,0.4393939393939394
neuro-medullary thymic epithelial cell,cell_type,135,0.3684539,0.35640946,0.4222222222222222
colon macrophage,cell_type,328,0.36615947,0.36972976,0.4176829268292683
male germ cell,cell_type,116,0.3528705,0.35986745,0.41379310344827586
mature NK T cell,cell_type,5394,0.3474795,0.35007948,0.40433815350389324
tissue-resident macrophage,cell_type,1355,0.34423068,0.34375542,0.3372693726937269
intermediate monocyte,cell_type,5478,0.33632192,0.33708203,0.2891566265060241
classical monocyte,cell_type,18200,0.33295795,0.3411852,0.29829670329670327
monocyte,cell_type,25753,0.33150578,0.34214842,0.3189919621015027
pancreatic D cell,cell_type,9,0.32794,0.30663297,0.3333333333333333
natural killer cell,cell_type,14231,0.3269302,0.32687145,0.3204272363150868
hematopoietic precursor cell,cell_type,2140,0.3235436,0.33622125,0.3130841121495327
mural cell,cell_type,618,0.3234787,0.32369635,0.26375404530744334
myeloid leukocyte,cell_type,1002,0.3192725,0.3210379,0.23852295409181637
Langerhans cell,cell_type,76,0.3151957,0.32056144,0.2236842105263158
common myeloid progenitor,cell_type,456,0.31475192,0.3260284,0.2916666666666667
type B pancreatic cell,cell_type,102,0.31204832,0.26651838,0.27450980392156865
pericyte,cell_type,10888,0.31014478,0.30982542,0.23907053637031594
neutrophil,cell_type,69539,0.31012648,0.3053916,0.2508808007017645
non-classical monocyte,cell_type,1284,0.30866346,0.3181067,0.19003115264797507
pancreatic stellate cell,cell_type,438,0.30774722,0.3008765,0.182648401826484
macrophage,cell_type,69072,0.30390897,0.30322188,0.2184097753069261
endothelial cell of arteriole,cell_type,132,0.30373055,0.32033104,0.20454545454545456
myofibroblast cell,cell_type,4436,0.30344093,0.30672178,0.19724977457168621
peritubular myoid cell,cell_type,67,0.30064115,0.28754184,0.208955223880597
"naive thymus-derived CD8-positive, alpha-beta T cell",cell_type,1056,0.2981105,0.2950986,0.17234848484848486
cardiac endothelial cell,cell_type,10092,0.29389036,0.29750985,0.17201743955608403
smooth muscle cell,cell_type,18425,0.2919185,0.29275027,0.17432835820895523
endothelial cell of venule,cell_type,52,0.28528625,0.28062475,0.11538461538461539
BEST4+ enterocyte,cell_type,1970,0.28510064,0.281728,0.13096446700507614
pancreatic ductal cell,cell_type,2721,0.2821859,0.28414848,0.09775817714075707
granulocyte,cell_type,769,0.28172567,0.29283622,0.21716514954486346
endothelial cell of artery,cell_type,3471,0.28149617,0.2841888,0.12734082397003746
endothelial cell,cell_type,33703,0.2806126,0.28410295,0.12165089161202267
gamma-delta T cell,cell_type,1977,0.28057235,0.27597123,0.12392513909964593
mast cell,cell_type,6222,0.28017405,0.27758145,0.19173899067823852
thymocyte,cell_type,455,0.276655,0.28152785,0.15604395604395604
basophil,cell_type,1669,0.2760707,0.27596402,0.14559616536848413
enterochromaffin-like cell,cell_type,27,0.27322525,0.27355692,0.2222222222222222
myeloid dendritic cell,cell_type,571,0.27283818,0.28143242,0.1628721541155867
endothelial cell of lymphatic vessel,cell_type,2438,0.27187347,0.27192923,0.11484823625922888
spermatogonium,cell_type,64,0.27076787,0.28016806,0.109375
plasmacytoid dendritic cell,cell_type,99,0.27070177,0.26714122,0.18181818181818182
platelet,cell_type,494,0.27016294,0.26725513,0.09109311740890688
"CD8-positive, alpha-beta T cell",cell_type,76277,0.26981193,0.2670298,0.14008154489557795
"activated CD4-positive, alpha-beta T cell",cell_type,572,0.26861838,0.26592517,0.12062937062937062
microglial cell,cell_type,410,0.2681118,0.27307603,0.14146341463414633
bladder urothelial cell,cell_type,27241,0.26800406,0.27115524,0.050255130134723394
pulmonary ionocyte,cell_type,25,0.26682,0.27590486,0.08
blood vessel smooth muscle cell,cell_type,6642,0.26552203,0.261208,0.07783800060222824
myometrial cell,cell_type,917,0.26468214,0.2635813,0.05234460196292257
hepatic stellate cell,cell_type,223,0.2642611,0.25972623,0.1031390134529148
fibroblast of cardiac tissue,cell_type,1947,0.26383528,0.26296854,0.07293271700051361
"activated CD8-positive, alpha-beta T cell",cell_type,1147,0.26303133,0.26197252,0.07497820401046207
retinal blood vessel endothelial cell,cell_type,2091,0.26282376,0.26261267,0.08703969392635102
capillary endothelial cell,cell_type,15298,0.2626881,0.25999868,0.10302000261472088
fibroblast of breast,cell_type,5270,0.26252532,0.2598621,0.08007590132827325
glial cell,cell_type,20,0.26207277,0.23355207,0.1
basal cell of prostate epithelium,cell_type,3495,0.25900826,0.26172164,0.05464949928469242
vein endothelial cell,cell_type,4698,0.25814018,0.26370782,0.0561941251596424
"CD8-positive, alpha-beta thymocyte",cell_type,731,0.25767237,0.2600508,0.13132694938440492
vascular associated smooth muscle cell,cell_type,5019,0.25722903,0.2506448,0.0968320382546324
taste receptor cell,cell_type,32,0.256475,0.24672511,0.09375
hematopoietic stem cell,cell_type,858,0.25445417,0.2537157,0.155011655011655
theca cell,cell_type,1038,0.25370392,0.2525616,0.02023121387283237
Schwann cell,cell_type,318,0.25364736,0.24620056,0.09748427672955975
colon endothelial cell,cell_type,348,0.25104442,0.257311,0.15229885057471265
T cell,cell_type,6290,0.2506555,0.24371597,0.11271860095389508
oocyte,cell_type,18,0.25035825,0.25541052,0.0
regular atrial cardiac myocyte,cell_type,5816,0.24820343,0.2576396,0.06035075653370014
intestinal tuft cell,cell_type,448,0.2473634,0.25371474,0.049107142857142856
alveolar adventitial fibroblast,cell_type,1113,0.24625224,0.24798545,0.0637915543575921
Leydig cell,cell_type,10,0.246209,0.23338878,0.0
radial glial cell,cell_type,13,0.24597701,0.26802444,0.07692307692307693
myoepithelial cell,cell_type,486,0.24435022,0.24171928,0.03292181069958848
ionocyte,cell_type,160,0.24385309,0.24188548,0.0125
"naive thymus-derived CD4-positive, alpha-beta T cell",cell_type,9827,0.24320197,0.24410428,0.06105627353210542
interstitial cell of Cajal,cell_type,71,0.24196722,0.21750073,0.14084507042253522
enterocyte of epithelium proper of jejunum,cell_type,405,0.24164926,0.23912014,0.02962962962962963
"CD4-positive, alpha-beta T cell",cell_type,97130,0.23980679,0.23866045,0.07427159476989602
mesenchymal stem cell,cell_type,23499,0.23887411,0.24020801,0.04017192220945572
spermatocyte,cell_type,3070,0.23798783,0.23352018,0.03713355048859935
luminal epithelial cell of mammary gland,cell_type,15432,0.23720455,0.236372,0.03421461897356143
corneal epithelial cell,cell_type,4187,0.23610705,0.23585492,0.0160019106759016
large intestine goblet cell,cell_type,1557,0.2350695,0.23232752,0.04174694926140013
regulatory T cell,cell_type,2649,0.23429073,0.23321076,0.04718761796904492
glandular secretory epithelial cell,cell_type,235,0.23394965,0.2225098,0.06808510638297872
neuron,cell_type,82,0.23223326,0.22673124,0.04878048780487805
keratocyte,cell_type,1001,0.23042877,0.22591758,0.02197802197802198
small intestine goblet cell,cell_type,2044,0.22999422,0.23101753,0.03228962818003914
epithelial cell of uterus,cell_type,1417,0.2298017,0.23827605,0.03599153140437544
fibroblast,cell_type,83338,0.22908011,0.22608349,0.03778588399049653
enterocyte of epithelium proper of ileum,cell_type,6477,0.22850354,0.2289885,0.009109155473212907
duct epithelial cell,cell_type,3889,0.22819981,0.2329649,0.008742607354075598
B cell,cell_type,114495,0.22759227,0.22863282,0.03822874361325822
club cell,cell_type,1747,0.22577251,0.22570767,0.014882655981682884
"CD4-positive, alpha-beta thymocyte",cell_type,4685,0.22454466,0.22122908,0.0439701173959445
tendon cell,cell_type,420,0.22444792,0.2260612,0.05
conjunctival epithelial cell,cell_type,11087,0.22407907,0.22291017,0.018760710742310813
intrahepatic cholangiocyte,cell_type,665,0.22228307,0.22216229,0.03308270676691729
pulmonary alveolar type 2 cell,cell_type,11594,0.22199655,0.22362152,0.004743833017077799
mesothelial cell,cell_type,350,0.2219275,0.22200137,0.005714285714285714
thymic fibroblast type 2,cell_type,4205,0.22111091,0.2210174,0.012128418549346017
medullary thymic epithelial cell,cell_type,43,0.21878392,0.21930979,0.0
transit amplifying cell of colon,cell_type,237,0.21831949,0.21564011,0.016877637130801686
pulmonary alveolar type 1 cell,cell_type,3116,0.21649805,0.22024888,0.004492939666238768
ovarian surface epithelial cell,cell_type,241,0.21569003,0.21284439,0.008298755186721992
thymic fibroblast type 1,cell_type,3270,0.21559936,0.21260363,0.00856269113149847
enterocyte of epithelium proper of duodenum,cell_type,13495,0.2153021,0.21309935,0.00955909596146721
bronchial smooth muscle cell,cell_type,220,0.21479374,0.2163637,0.08181818181818182
melanocyte,cell_type,234,0.21434331,0.21971639,0.03418803418803419
Mueller cell,cell_type,506,0.2115486,0.19216642,0.09486166007905138
intestinal crypt stem cell of small intestine,cell_type,587,0.2106939,0.21372496,0.015332197614991482
supporting cell of vestibular epithelium,cell_type,270,0.20998527,0.20855975,0.007407407407407408
enteroglial cell,cell_type,990,0.20780781,0.2024166,0.031313131313131314
basal cell,cell_type,33526,0.20638114,0.20288152,0.018284316649764362
ventricular cardiac muscle cell,cell_type,2599,0.20631118,0.20627993,0.032320123124278566
paneth cell of epithelium of small intestine,cell_type,1853,0.20607519,0.21175885,0.0010793308148947653
mesenchymal stem cell of adipose tissue,cell_type,3777,0.20535703,0.20065929,0.016679904686258934
mucus secreting cell,cell_type,270,0.20528652,0.21121752,0.003703703703703704
erythroid progenitor cell,cell_type,971,0.20360838,0.20131093,0.017507723995880537
ciliated epithelial cell,cell_type,320,0.20222697,0.20317525,0.003125
epithelial fate stem cell,cell_type,2,0.20204474,0.20204474,0.0
tuft cell of colon,cell_type,178,0.20164333,0.19795758,0.06179775280898876
lung multiciliated epithelial cell,cell_type,1209,0.20147933,0.20437646,0.0024813895781637717
intestinal crypt stem cell of colon,cell_type,1732,0.20009358,0.20109841,0.004618937644341801
eye photoreceptor cell,cell_type,1536,0.1971097,0.20068662,0.011067708333333334
salivary gland cell,cell_type,850,0.1960715,0.20190983,0.009411764705882352
skeletal muscle satellite stem cell,cell_type,6170,0.19474289,0.19229734,0.016369529983792545
myeloid cell,cell_type,81,0.19404829,0.18747431,0.037037037037037035
myo-medullary thymic epithelial cell,cell_type,77,0.19381729,0.19392118,0.012987012987012988
hematopoietic cell,cell_type,100,0.19298662,0.1817176,0.04
transit amplifying cell of small intestine,cell_type,34,0.19185936,0.19917572,0.029411764705882353
retina horizontal cell,cell_type,5,0.19162466,0.15415037,0.0
respiratory tract goblet cell,cell_type,1040,0.18730898,0.18379052,0.0038461538461538464
