group,n_cells,ADORA1,GNAI1,GNAI2,GNAI3,GNAO1,ADCY1,ADCY5,ADCY6,ADCY8,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKACA,PRKACB,CREB1,KCNJ3,KCNJ6,KCNJ9,KCNJ5,CACNA1B,CACNA1A,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,PRKCB,PRKCD,PRKCE,CALM1,CALM2,CALM3,NFKB1,RELA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PREX1,RAC1,MAPK1,MAPK3,MAP2K1,MAP2K2,MAPK8,MAPK9,MAPK10,MAPK11,MAPK14,AKT1,AKT2,AKT3,VEGFA,NOS1,NOS2,NOS3,GUCY1A1,GUCY1B1,PRKG1,PRKG2
Upper rhombic lip,137162,0.08824601566031408,0.5200857380323997,0.09721351394701157,0.22415100392236917,1.0496420291334334,0.77703008121783,0.03624910689549584,0.06686983275251163,0.4281069100771351,0.46764409967775333,0.3427844446712646,0.4071025502690249,0.1611670870940931,0.1864073139790904,1.5319184613814323,0.4936790073052303,4.249916157536344,0.80627287441128,0.12854872340735773,0.0003936950467330602,1.1589944736880478,5.153759787696301,2.4233971508143655,0.0015237456438372144,0.02281973141249034,3.9733891311004506,0.08966040156894767,0.9223327160583835,0.0041192166926699815,1.718799667546405,3.319622052755136,0.2811128446654321,0.5752322071710824,0.4540762018634899,0.038429010950554815,0.5548985870722212,0.5166591329960193,0.014173021682390166,0.5404485207273152,0.005540893250317144,0.45440428106910075,0.5341129467345183,0.07461979265394206,0.3059812484507371,0.2041017191350374,1.0457634038582115,0.5093393213863898,1.9499132412767384,0.040893250317143234,0.5168778524664266,0.07304501246700981,0.25808897508056167,3.6523745643837215,0.04064536825068168,0.036001224829034284,0.0027267027310771204,0.0008967498286697482,0.03548358874907044,0.131290007436462,0.06705938962686459,0.0022309385981540077
Splatter,291833,0.11922572155993325,1.756144781433217,0.8208358890187196,0.9920262615948162,4.994113071516929,2.0636699756367514,1.2587541504901776,0.4731678734070513,2.9965391165495334,2.1622708878022703,3.1702000801828443,2.104076646575267,2.02095719127035,0.8974002254714168,8.385254580530646,1.4287726199573043,6.075457539072003,3.093968125606083,0.18568496366072376,0.06291611983565944,9.92412098700284,7.7079836755952895,17.35953096462703,0.08501094804220222,0.015059982935445956,7.261207608461003,4.01969619611216,5.0960138161208635,0.04330558915544164,5.44423351711424,10.489300387550415,0.8464429999348942,3.4812444103305658,1.5327978672734064,0.12386193473664733,2.8568050905826277,2.803175103569507,0.16128059540901818,1.3849084921855992,0.20784489759554264,1.6863068946966244,2.578995521411218,0.5197458820626866,1.6550184523340403,0.7458066771064273,4.619354219707847,1.7265148218330346,16.144531290155673,0.18366668608416456,2.0827014079970394,0.31212714120747137,0.6442828604030387,11.5438418547594,0.1962218117896194,1.4529988041105701,0.01758882648638091,0.010989161609550668,1.8875418475635037,2.0316379573249086,21.009385504723593,0.8937645845397881
Lower rhombic lip,52650,0.9028679962013295,1.555346628679962,0.5576068376068376,1.224349477682811,4.662526115859449,3.3636657169990505,0.6283570750237417,0.421329534662868,8.660208926875594,2.163570750237417,3.6586324786324784,2.2248243114909783,1.3398290598290599,0.8658689458689459,8.09627730294397,2.2260018993352326,10.812060778727446,8.441956315289648,0.17699905033238367,0.03040835707502374,10.745185185185186,7.307008547008547,16.386837606837606,0.01580246913580247,0.07433998100664767,7.470940170940171,2.6091547958214627,6.588452041785375,0.007217473884140551,10.835023741690408,18.94858499525166,1.1052421652421653,4.883418803418803,3.8207407407407405,0.14246913580246914,4.3978917378917375,4.168907882241216,0.3735992402659069,1.5134093067426402,0.4258119658119658,1.7893827160493827,2.629933523266857,0.21460588793922128,1.5327825261158594,0.811661918328585,7.417853751187084,2.247844254510921,22.96980056980057,0.199335232668566,2.4631149097815763,0.26151946818613486,0.6949667616334283,20.043342830009497,0.5924596391263058,1.0692117758784425,0.039335232668566,0.04600189933523267,0.9749287749287749,1.2608926875593542,33.73255460588794,2.617283950617284
Mammillary body,16602,0.17142512950246958,3.487953258643537,0.45482471991326345,2.19485604144079,8.499638597759306,6.289724129622937,1.0297554511504639,0.7011805806529334,9.641669678352006,3.970244548849536,4.229490422840621,3.0971569690398746,3.238886881098663,1.1950367425611372,9.687929165160824,2.360016865437899,15.507890615588483,1.8575472834598241,0.2857487049753042,0.012287676183592338,21.521202264787377,8.151849174798217,1.0517407541260089,0.04107938802553909,0.009998795325864354,12.91778099024214,6.835501746777497,8.594627153355017,0.3874834357306349,5.521925069268763,16.052403324900613,1.0814359715696904,4.195398144801831,3.713950126490784,0.1616672690037345,3.6165522226237803,5.14751234790989,0.05764365739067582,0.936212504517528,1.672087700277075,1.9085049993976628,4.012408143597157,0.4772918925430671,2.722864715094567,0.9987350921575714,8.235333092398506,2.678231538368871,30.499578364052525,0.2917118419467534,3.5774003132152754,0.4737381038429105,1.1122153957354535,18.88682086495603,0.8258643536923262,0.14028430309601253,0.02204553668232743,0.023973015299361522,1.2590651728707385,2.580954101915432,3.534212745452355,1.9397060595109024
Thalamic excitatory,85546,1.4529843592920768,1.3905618030065696,0.7313609052439624,2.0710845626914174,7.415834755570103,4.96184508919178,1.3786383933790007,0.4455146938489234,15.093154560119702,4.918125920557361,5.597187478081968,2.8689477006522806,2.5011923409627568,1.4001122203259064,10.359163490987305,2.196069950669815,16.53750029224043,3.1961517779907886,1.0448179926589203,0.044794613424356484,20.678570593598767,19.785951417950578,21.789049166530287,0.03020597105650761,0.019603488181796927,23.684567367264396,0.587403268416992,5.928459542234587,0.16965141561265284,10.070991045753162,27.297313725948612,1.7147032006172118,6.893612793117153,3.4906950646435835,0.1900848666214668,5.3186122086362895,4.843359128422136,0.39493371987001147,2.908376779744231,0.05560750941014191,2.9406050545905127,5.199062492693989,0.5934818694035957,2.730753045145302,1.559605358520562,10.55142262642321,3.017779907885816,43.070348116802656,0.40972108573165317,3.4252799663339024,0.4836111565707339,0.8803216982675988,22.282806910901737,0.3829635517733149,0.09043087929301195,0.01913590349051972,0.009597175788464685,4.527447221377972,2.600764500970238,9.299043789306339,6.038622495499498
Amygdala excitatory,109452,0.7757555823557358,2.4775152578299164,0.6057175748273216,1.5671344516317656,7.908315974125644,7.047098271388371,2.058747213390345,0.6710064685889705,5.567993275591126,2.0493001498373715,3.7603789789131308,2.8580839089281147,3.503015020282864,0.7299912290319044,10.700581076636334,2.3054124182289955,10.907228739538793,6.440942148156269,0.6062474874830976,0.03296422175931002,22.85460293096517,19.23759273471476,51.131527975733654,0.1794667982311881,0.013339180645397068,1.1776943317618682,10.768455578701166,9.67301648211088,0.4013448817746592,17.106311442458793,10.390216716003362,0.4654917223988598,3.3724737784599643,1.8933961919380184,0.13664437378942368,3.0878010452070312,3.0002284106274897,0.24203303731316012,3.778140189306728,0.8505372217958557,1.7425903592442349,6.528651829112305,0.615886415963162,3.1285951832766874,0.6942312611921208,7.759702883455762,2.0114936227752804,34.27738186602346,0.6027939187954537,3.792502649563279,0.27168073676132004,1.4286627928224245,22.531548075868873,0.14505902130614334,0.7444359171143515,0.06119577531703395,0.005427036509154698,2.868389796440449,2.459242407630742,23.747012388992434,1.5378704820377882
Medium spiny neuron,152189,0.47071076096169895,0.8927452049753924,0.3149636307486086,1.128511259026605,6.905715919021743,2.3559849923450447,13.385645480290954,0.09016420372037401,0.11501488281018996,1.6302558003535077,1.728120954865332,0.8741893303721031,5.951573372582775,0.3565697915092418,10.824093725564923,1.560421581060392,0.580449309739863,0.7017392847052021,0.3072363968486553,0.05248079690384982,15.150372234524177,14.16398031395173,77.83344394141496,0.5851079907220627,0.0039030416127315377,0.3923016775194002,2.826439492998837,34.29293181504577,0.34287629197905234,6.43943386184284,8.43391440905716,0.40909001307584647,2.9318413288739658,1.9433796135068895,0.10350288128576966,2.010854923811839,2.715071391493472,0.0381827858780858,3.481605109436293,0.11815571427632746,1.2507671382294383,6.6207807397380884,0.2527449421443074,2.6564797718626183,0.5670777782888382,4.555592059872922,1.3353856060556282,14.243775831367575,0.5299331751966305,2.4681678702140104,0.24284935179283654,1.0406271149688873,10.352528763576869,0.23453074795156023,0.5886956350327553,0.026145122183600655,0.00726070872402079,5.930816287642339,3.1117623481329137,20.39381952703546,0.13981299568299943
Eccentric medium spiny neuron,40144,0.44781287365484257,1.0545785173375848,0.5343015145476285,0.8084147070546034,4.902401355121563,1.183016141889199,5.409002590673575,0.24369768832204064,0.36134914308489435,1.550044838581108,1.6356616181745716,2.414756875249103,3.7315414507772022,0.43321542447190114,12.215723395775209,1.4074581506576325,4.92940414507772,2.46796532483061,0.3012654444001594,0.02697787963332005,9.92041151853328,9.227157233957753,77.97474093264249,0.38409226783579115,0.008170585890793145,3.2972050617776008,8.030739338381826,5.442980271024313,0.19128636907134317,9.911045237146274,11.037788959744919,0.4435532084495815,2.412913511359107,1.1163062973296134,0.08559186927062575,1.8867078517337585,2.0361946990833,0.04309485850936628,2.9607413312076525,0.43157134316460743,1.1725288959744917,4.285173375846951,0.2453417696293344,2.855868872060582,0.5492726185731367,3.5113591072140293,1.1960691510561976,13.126444798724592,0.23824232762056596,2.0129782781984855,0.2291998804304504,0.6454264647269828,9.62422777999203,0.2428258270227182,1.4567058589079314,0.014921283379832603,0.0054055400557991235,6.384316460741331,2.7643732562774015,27.39624850538063,1.2658180550019928
Miscellaneous,25071,0.6055602090064217,1.7778309600733915,0.5009772246819034,1.3461768577240636,5.533963543536356,5.2360496190818075,1.4764070041083324,0.5202823979897092,2.2556738861632963,2.1096087112600217,3.3813968329942963,1.992900163535559,2.822025447728451,0.6538231422759363,9.178493079653784,1.7773523194128675,7.459455147381437,5.091699573212078,0.5660723545131826,0.01978381396832994,13.592876231502533,10.856367915121057,47.69039926608432,0.11443500458697299,0.019504606916357546,0.9859997606796698,12.129751505723744,12.557217502293486,0.227473973914084,14.253599776634358,11.855889274460532,0.5267440469067848,4.1350165529895095,1.7143711858322364,0.14929599936181245,2.770771010330661,2.4670735112281124,0.40939731163495674,6.007418930238123,0.6979777432092856,1.6982569502612581,4.033145865741295,0.39886721710342626,2.368672968768697,0.6071955645965458,5.453831119620278,1.8426069961309879,27.524151409995614,0.5369550476646324,3.0894659167962986,0.281839575605281,0.9473495273423478,21.872202943640062,0.36711738662199356,0.2896174863387978,0.05356786725699015,0.007020063021020303,1.7581269195484823,1.8337521439112918,6.42610984803159,1.5271429141238881
Cerebellar inhibitory,14411,0.07605301505794185,0.6019707168135452,0.14121157449170774,0.5075289709249878,1.9488585108597598,3.421969328984803,1.2392616751092915,0.2720144334189161,3.5792797168829367,1.7227118173617375,1.2276733051141488,1.1923530636319477,0.5567274998265214,0.504406356255638,5.829227673305114,0.9383804038581639,2.922975504822705,0.10193602109499687,0.3740892373881063,0.0020817431128998683,4.350704323086531,11.426063423773506,4.453126084241204,0.002498091735479842,0.03434876136284783,8.558254111442649,0.7139684962875581,2.847963361321213,0.78939698841163,6.0417042536950945,5.00333078898064,0.3774200263687461,1.6225799736312538,0.9394906668517105,0.08701686211921449,1.1609187426271599,1.532579279716883,0.05461106099507321,0.7062660467698286,0.03143432100478801,0.8256193185760877,1.1067934216917632,0.19290819512872112,0.8313788078551106,0.4851849281798626,2.2510582194157243,2.2296162653528553,8.585871903407119,0.1271251127610853,1.0040940947887032,0.1659149260981195,0.590104781070016,6.404274512525155,0.46596350010408716,3.022344042745125,0.007355492332246201,0.0029144403580598152,1.6100895149538548,1.5215460412185136,5.082437027270835,0.14357088335299423
