group,n_cells,ADORA1,GNAI1,GNAI2,GNAI3,GNAO1,ADCY1,ADCY5,ADCY6,ADCY8,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKACA,PRKACB,CREB1,KCNJ3,KCNJ6,KCNJ9,KCNJ5,CACNA1B,CACNA1A,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,PRKCB,PRKCD,PRKCE,CALM1,CALM2,CALM3,NFKB1,RELA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PREX1,RAC1,MAPK1,MAPK3,MAP2K1,MAP2K2,MAPK8,MAPK9,MAPK10,MAPK11,MAPK14,AKT1,AKT2,AKT3,VEGFA,NOS1,NOS2,NOS3,GUCY1A1,GUCY1B1,PRKG1,PRKG2
"naive thymus-derived CD4-positive, alpha-beta T cell",9827,0.00010135072020265473,0.016967938998544447,0.7347706415966931,0.3867729406724617,0.09701171328435051,0.003817955499216027,0.001860442646306493,0.00041750108408458757,0.00037588856161289714,0.24958921141162024,0.14328262392763957,0.5068036870625493,0.017411405222333677,0.09365502114187753,0.4876275490050133,0.5968931832220858,0.000657016473783534,0.0008680367865251406,0.001741492167195578,0.0003000013799406304,0.0013685880654023407,0.01350810572200211,0.1863791039822921,0.10205250789836039,0.014410628371870965,0.0012376509084456012,1.4397937716042217,1.0398330882569229,0.060216694648721716,0.36138155327646804,2.020320750646338,1.2178532980921504,0.4340391383234647,0.838352428904819,0.19675830558853716,0.3649383386542259,0.3039943283203721,0.509449378173058,0.9982302972279816,0.4329084196640951,0.47242479992990055,0.35717137900473106,0.08875729106772258,0.46521878050826165,0.32918324290499074,0.5556609104350975,0.15584060965518906,0.005800207888617864,0.008669839866578403,0.36328924351237346,0.12958964251472346,0.15979666072790724,1.1127840994915157,0.0029107087854816456,0.0036534117186944118,0.0004141661161758704,0.020401128883629664,0.0008789822906543829,0.0002638550295741946,0.020058256570278987,0.011146268828106615
B cell,114495,0.0003357973539796457,0.0019634655299803705,0.6808705014752282,0.38777713836439365,0.005502032371549982,0.004302362540053605,0.0007748989138708786,0.00033208797933691024,0.0005626609707624143,0.3203722349706865,0.06342959856069724,0.3204621700695172,0.005409579995657305,0.06815560463031956,0.4136412121571903,0.674973311812197,0.01327803328680812,0.0010879168849235238,0.0014029860491315124,0.0009187893688618874,0.0019483276671043905,0.03349838600007096,0.0154629621751871,0.05537139014326499,0.00623928456385795,0.002099516152388102,0.07281332776881633,2.0615476521900518,0.13634947810903314,1.0047506338977685,1.3848965583240536,1.1342651937584611,0.1718466283410984,0.7670810116571685,0.13961483311395967,0.4391408501735884,0.21031852851107036,0.3792139403262697,0.34317953678722324,0.5521643318553758,0.45957677344671166,0.48177747339539934,0.05838613024944457,0.506902333856009,0.3266251519921721,0.5723422522544652,0.15958389967902528,0.13708076132213742,0.004094376629203411,0.3276453994477106,0.08697126746630585,0.1813491947229546,1.003681733167933,0.0029465663651201037,0.005143709806194628,0.00043931582946590765,0.0024359011182598037,0.008023208424255699,0.002327626686157829,0.016749963769121842,0.008332865154583374
"CD8-positive, alpha-beta T cell",76277,0.0004411762564671484,0.007481573749426561,0.7648908017304529,0.48378479531223373,0.18538354112263117,0.0032281758959442743,0.0018899848762249248,0.001119075677974902,0.0006361586381460206,0.36049825748177694,0.07982529284456241,0.6483185679845334,0.04201273646403999,0.0937830081312908,0.6819332403915171,0.5595968463933263,0.002282501965843625,0.002349646644677804,0.001223001991841199,0.002199594229696143,0.0018604667325799198,0.024413405754133064,0.9180798978865681,0.09239073970067566,0.01435008353391335,0.0044556440234892235,0.6419685368070487,1.1311001068678959,0.07175050498896088,0.5137996025690084,2.1604180425455906,1.267431737286469,0.3645256543891835,1.0516736850148145,0.18665805779992248,0.30633022005732397,0.233371786780726,0.4598148794596913,1.4246381097021383,0.6448641175317429,0.5562444922166905,0.7324432045374097,0.06408746218424091,0.5954400009586769,0.3870418297578235,0.6334874211037567,0.19106805488497106,0.007711527873525266,0.007035048773728918,0.41081202765188884,0.14929245148951356,0.14637142991426397,1.2540308984851265,0.029869754239687258,0.005725067969656441,0.0003962810334241973,0.008284695077170933,0.005396349434428943,0.002257387628433646,0.02264805135903593,0.008679065319010118
"CD4-positive, alpha-beta T cell",97130,0.0002948947096661364,0.014396797870615171,0.6791240486734917,0.41156066812841036,0.11040017320335825,0.0035170013229792706,0.00222807077820019,0.0004875358844974266,0.000659030038296937,0.28660399158987954,0.10999069787269639,0.516798905944353,0.025351467268064143,0.07960781936700492,0.4580811124990348,0.5431748958789123,0.0006132114759547499,0.001603602302635316,0.0014262147363619322,0.0009050919935237634,0.0012522109023920603,0.013091196935797626,0.3938366569771183,0.07663836444331212,0.011348197306269023,0.0030861144967689385,1.2439683466262998,0.9917374749047668,0.05659183206462988,0.3941365656248391,2.0530821088682694,1.1924941826514723,0.3736588100958445,0.9222712251782405,0.17300851578988855,0.3508289595974789,0.2950661147793228,0.42745924739234786,1.0267548967878102,0.4854739470056239,0.48688099430209514,0.39283895807728686,0.0698709084765987,0.5263230395957738,0.2929110415205459,0.5953666618674714,0.15667776891110818,0.008744003985552345,0.006409239830347778,0.34334892367992637,0.10367855675665023,0.1464498527163177,1.1576471891730156,0.0062249901487887935,0.004356271167819144,0.0004712601566147782,0.015733288388216422,0.0012386323690635347,0.0009447678053746026,0.017838453168936768,0.01132201677147814
plasma cell,27349,0.00033125241450746647,0.0022710853662302197,0.5011615493039622,0.30291475777722104,0.0068849220960736255,0.002273310786466275,0.0012331629693867752,0.0027839076458424893,0.00030876826274948125,0.21432680237894325,0.06772940387856245,0.27298976230492317,0.030611014705265876,0.0897498338801093,0.19214238433185113,0.3079717154127836,0.002200031817523848,0.001798900791991018,0.0009082055182521306,0.001057178356332872,0.0019118192448790905,0.006337768639492646,0.034590167839560516,0.009339144663242515,0.009377709454673096,0.007614026178960247,0.1881141164646388,0.7644918738102284,0.14576165550321482,0.10104395056595562,1.2193358607290257,0.6943294655283329,0.4287395458464832,0.6101872235173704,0.09889603428284627,0.1533372434010527,0.14568001381234802,0.03385463300198148,0.22561622186397354,0.18505309592165448,0.4850673001140924,0.11282185271320763,0.032015823664981326,0.4150604490187884,0.4223569744251961,0.6388415209993967,0.11696358874988859,0.005709378164626766,0.005025157972403674,0.3174701216295043,0.08814638114035676,0.11871263128193672,0.16097008481514408,0.10777061328778446,0.001983773691344119,0.0002868568083456157,0.0013271872140950723,0.0022614317021555966,0.0008340106506819106,0.016497405879767512,0.002096781674335938
innate lymphoid cell,971,0.0011333838550241552,0.10947196705825052,0.36258303468431186,0.31479976547979793,0.011384511706021247,0.0007465952579565078,0.0013314107572995548,0.00362910558953958,0.001199491176251648,0.27674563537542657,0.04336696359819045,0.2031783045995616,0.13029743542263608,0.05153589096422912,0.3465259465572149,0.3396890386862318,0.00226199710559403,0.0005710147681859937,0.00015492155672224616,0.0015341467641286329,0.0020487257552809866,0.007308139737185195,0.472081075367795,0.08452601314941469,0.007577880158114998,0.12681172289391623,0.40640002446120604,0.36920612209489,0.054412871384350574,0.2862982195020336,1.8398169155101207,1.712737300491726,0.17542404323110375,0.8633887608191257,0.11480078490951648,0.17235614096958776,0.09946147347085876,0.2905044550753278,0.6119407443627024,0.38488846041269825,0.31178547793387384,0.2446584642608674,0.04323667005456439,0.2942155176038968,0.1956718962420887,0.26796648946775836,0.08303284645080566,0.04280245795186099,0.0006507953089862356,0.1642686218238147,0.08396401157339864,0.08028036141125476,0.532031875437492,0.04705503475531,0.00036706783867275185,0.0009442895313247225,0.014153919983597666,0.09169722935443804,0.002956690951552622,0.2940005961456456,0.0033862813002785742
endothelial cell,33703,0.001945779531768807,0.2647543340303302,1.2095600247358358,0.586693109547926,0.009394801406129171,0.029982748581415693,0.008684999521233592,0.0720971222960609,0.0013193264561612305,0.562517537443347,0.21517046909249085,0.4447322829952545,0.10880370836592115,0.20730204630742718,0.13199253669143188,0.5099622928307106,0.0032580015486228914,0.006356685850537715,0.000363702348257439,0.017144119853071866,0.004147715566137284,0.030343744601495394,1.5547773314064215,0.004668181704345826,0.0687019962290078,0.9153908399984794,0.353744913851674,0.04375558023554909,0.019961733091260595,0.7917999601702278,1.7188209176251001,1.2331293996454322,0.27767419788181874,0.8798435216727739,0.29796115160023773,0.427361648188774,0.27388900042860614,0.028917823372490485,0.3571088903117165,0.31523995025537876,1.5459432047035873,0.41983796546881025,0.3393651574449511,0.423210685296932,0.2985684335668607,0.5478140717779667,0.13312942717219164,0.045758183906613355,0.14238207833234895,0.3188148378331955,0.18695838203155135,0.13945945633577916,1.5282653314198662,0.14689498913591242,0.01055130334479538,0.0018362477176377522,0.2831426186472875,0.13138958656748612,0.051822873444825016,0.23417029326893657,0.0017783984838563307
natural killer cell,14231,0.0007334914011065987,0.032515054509356774,0.9209526233031103,0.5181802719209494,0.023412196100591632,0.0031275342432380885,0.0011945796376428637,0.0022477089717914045,0.0006923867330268182,0.4770591102692845,0.06229313570351889,0.6421520411947289,0.05650583679615241,0.11494978695037737,0.9344169761985278,0.7034067198561899,0.0012520601983801159,0.001781364367135703,0.000863222025089292,0.001092412451499546,0.0020147431601242292,0.051001056014138645,1.4259512100289422,0.14961858667230649,0.013428830051696875,0.029149954673000987,0.5067440352213038,1.4703498236135022,0.08122407067359001,0.4975163653648944,2.2789312044623093,1.0453276552124324,0.3797281037545675,1.539502780022486,0.19598521412939293,0.37518941871096767,0.13460190208552467,0.6045292777980289,1.3128936169278336,0.9036205346163305,0.6721248019563365,1.2274779544326646,0.07312627334921754,0.509178476318205,0.5261996249591012,0.5908141622355026,0.1868490026518362,0.022013840961168138,0.004332802935834762,0.5422855216632044,0.22036693627413306,0.2162991882199841,1.1921854807918233,0.10131343251562665,0.008276870635864094,0.0002555211792758826,0.012341629938636658,0.042055638104009155,0.018844675526884666,0.09918157188700202,0.01543483046568602
erythrocyte,14611,0.00028737574809630965,0.004610832561074925,0.05026792505750029,0.050386257692493296,0.0017853067478648317,0.0014135491700316347,0.0012355801155333663,0.0012059576228596529,0.00015089640536760943,0.02283631874937173,0.008517682238221046,0.01761644389642255,0.07269576547017097,0.011067498204285632,0.011060758192153627,0.08820272524917683,0.002884949602293255,0.0021046975066746523,0.0,0.00019449260345630255,0.000580767612341093,0.002983264549092977,0.00851051316728958,0.006502250407430868,0.002224035506522286,0.002869824692173486,0.007806827690589763,0.05859879662177783,0.007714040698264954,0.01076119144009692,0.09793099122781397,0.21387005524586036,0.11102745552733974,0.03160930004593741,0.01482313750224407,0.046046292722270066,0.02482582461979998,0.02164867332066348,0.05490260078190501,0.037364696805281816,0.1013887653555781,0.17653927689794396,0.007032918110902888,0.02148599750606784,0.2054215809067093,0.022681509556691022,0.009510653504077989,0.0031225887887589327,0.00028608095946966943,0.08588621685061233,0.011219599793460055,0.03177918083050455,0.0059063533975900005,0.018185194411175623,0.0003554233147226461,7.68761604312476e-05,0.0001289812366980872,0.003965578577078047,0.003323954475561571,0.00967107208494239,0.0010154909376458101
myeloid dendritic cell,571,0.0032365381613295467,0.04058440042669426,1.2153669480893323,0.490070030693415,0.02889722951030564,0.0027917403786487213,0.0017476948255415346,0.010207626374924453,0.0,0.5541294819419313,0.024271806150727014,0.3718785922289312,0.18601141543814265,0.23214465640681012,0.2670144934579078,0.41693957006451127,0.006090098212354029,0.014390876435147902,0.0,0.0046247737107051445,0.0005595680071781479,0.03048232411753693,0.2125902990117382,0.20897247160796317,0.05894302987801841,0.001000585990277773,0.33986929210388933,0.7168683788613555,0.2589626587836003,0.6695689370043433,1.4580677219531164,1.3787652799001717,0.4137436946929023,1.6465308495035522,0.17765882512107622,0.24991622196605034,0.326493805218912,0.20739532435629288,0.5058583378165491,0.6718524258107521,1.4766038270004993,0.5133835363304552,0.06809855295563746,1.1253991836841803,0.2981675209807014,0.351751065295966,0.1370504666543884,0.0349376640052595,2.0735587226634686e-05,0.3809605713692313,0.17056714778606194,0.09800313233076587,0.23946266416492895,0.6345454606826167,0.008471329554576173,2.6467465020833624e-05,0.002084180895376122,0.039954955022514595,0.01226134820076296,0.026138957452857558,0.003222873196292884
