source,cell_type,n_cells,ADORA1_mean_nonzero,ADORA1_pct_expressing,ADORA1_mean
HBCA neurons,Hippocampal CA4,10654,2.5789546966552734,68.4156185470246,1.764407753944397
HBCA neurons,Thalamic excitatory,85546,2.4118480682373047,60.24361162415543,1.45298433303833
HBCA neurons,Deep-layer corticothalamic and 6b,78396,2.0275356769561768,56.191642430736266,1.139305591583252
HBCA neurons,Deep-layer near-projecting,18856,2.013273239135742,62.330292745014845,1.254879117012024
HBCA neurons,Deep-layer intratelencephalic,228467,1.8609964847564697,53.23744785899057,0.9907470345497131
HBCA neurons,Hippocampal CA1-3,74979,1.8603839874267578,52.02390002534043,0.9678443074226379
HBCA neurons,Amygdala excitatory,109452,1.779482364654541,43.59445236267953,0.7757555842399597
HBCA neurons,Miscellaneous,25071,1.7690515518188477,34.230784571816045,0.6055601835250854
HBCA neurons,Lower rhombic lip,52650,1.7333722114562988,52.08736942070276,0.9028679728507996
HBCA neurons,Upper-layer intratelencephalic,455006,1.5437227487564087,35.696452354474445,0.5510542988777161
Tabula Sapiens,glial cell,20,1.4943904876708984,5.0,0.07471952587366104
HBCA neurons,Hippocampal dentate gyrus,67533,1.4776287078857422,34.31951786533991,0.5071150660514832
HBCA neurons,Medium spiny neuron,152189,1.4761080741882324,31.88863846927176,0.47071075439453125
Tabula Sapiens,platelet,494,1.4699372053146362,0.20242914979757085,0.002975581446662545
HBCA neurons,Eccentric medium spiny neuron,40144,1.4551562070846558,30.774212833798327,0.44781288504600525
HBCA non-neuronal,oligodendrocyte precursor cell,105734,1.3344810009002686,23.35010498042257,0.31160271167755127
HBCA non-neuronal,oligodendrocyte,494966,1.3097070455551147,20.163809231341144,0.2640868127346039
HBCA neurons,Splatter,291833,1.2634445428848267,9.436561321029494,0.11922571808099747
HBCA neurons,Cerebellar inhibitory,14411,1.256880760192871,6.05093331482895,0.07605301588773727
HBCA non-neuronal,astrocyte,155025,1.2546954154968262,13.8409933881632,0.17366231977939606
HBCA neurons,Midbrain-derived inhibitory,126782,1.2514605522155762,15.796406429934848,0.19768579304218292
HBCA neurons,Mammillary body,16602,1.2422523498535156,13.799542223828453,0.17142513394355774
Tabula Sapiens,supporting cell of vestibular epithelium,270,1.235987663269043,0.7407407407407408,0.009155464358627796
HBCA non-neuronal,Bergmann glial cell,8041,1.2017241716384888,7.21303320482527,0.08668076246976852
HBCA non-neuronal,central nervous system macrophage,91838,1.1843945980072021,2.958470349964067,0.03503996133804321
HBCA neurons,Upper rhombic lip,137162,1.1813390254974365,7.469998979309138,0.08824601769447327
HBCA neurons,LAMP5-LHX6 and Chandelier,45118,1.1634788513183594,6.141672946495856,0.07145706564188004
HBCA neurons,CGE interneuron,227671,1.145626425743103,7.296054394279465,0.08358552306890488
HBCA non-neuronal,vascular associated smooth muscle cell,1074,1.1428571939468384,0.6517690875232774,0.0074487896636128426
HBCA neurons,MGE interneuron,222434,1.1398783922195435,4.6571117724808255,0.053085409104824066
HBCA non-neuronal,ependymal cell,5882,1.1340782642364502,3.0431825909554573,0.03451206907629967
HBCA non-neuronal,choroid plexus epithelial cell,7689,1.1090909242630005,0.7153075822603719,0.007933411747217178
HBCA non-neuronal,fibroblast,9156,1.0888888835906982,0.49148099606815204,0.005351681727916002
Tabula Sapiens,tracheal goblet cell,232,1.0781681537628174,0.8620689655172413,0.009294552728533745
HBCA non-neuronal,endothelial cell,5165,1.0333333015441895,0.5808325266214909,0.00600193627178669
Tabula Sapiens,neutrophil,69539,1.0313555002212524,0.19844979076489452,0.002046722685918212
Tabula Sapiens,stromal cell of ovary,35003,1.0227084159851074,0.03142587778190441,0.00032139511313289404
Tabula Sapiens,granulocyte,769,1.0213736295700073,0.3901170351105332,0.003984552342444658
Tabula Sapiens,cardiac endothelial cell,10092,1.0105990171432495,0.7827982560443916,0.007910950109362602
HBCA non-neuronal,pericyte,3693,1.0,0.37909558624424583,0.0037909557577222586
Tabula Sapiens,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,0.995973527431488,0.010176045588684237,0.00010135072079719976
Tabula Sapiens,taste receptor cell,32,0.9625496864318848,18.75,0.1804780662059784
Tabula Sapiens,vascular associated smooth muscle cell,5019,0.9515750408172607,0.35863717872086076,0.003412701655179262
Tabula Sapiens,endothelial cell of vascular tree,875,0.9400995373725891,0.5714285714285714,0.00537199666723609
Tabula Sapiens,epithelial cell,1675,0.927163302898407,0.3582089552238806,0.003321181982755661
Tabula Sapiens,mural cell,618,0.9080341458320618,0.48543689320388345,0.004407932516187429
Tabula Sapiens,BEST4+ enterocyte,1970,0.9032372236251831,0.20304568527918782,0.001833984162658453
Tabula Sapiens,"activated CD8-positive, alpha-beta T cell",1147,0.89725261926651,0.08718395815170009,0.0007822603220120072
Tabula Sapiens,T cell,6290,0.8964881896972656,0.14308426073131955,0.0012827335158362985
Tabula Sapiens,tongue muscle cell,202,0.8907046914100647,1.4851485148514851,0.013228287920355797
Tabula Sapiens,vestibular dark cell,49,0.8833373785018921,4.081632653061225,0.0360545851290226
Tabula Sapiens,myeloid leukocyte,1002,0.881340503692627,1.6966067864271457,0.014952884055674076
Tabula Sapiens,natural killer cell,14231,0.8698596358299255,0.08432295692502284,0.000733491440769285
Tabula Sapiens,pulmonary alveolar type 1 cell,3116,0.8608545660972595,0.09627727856225932,0.0008288073004223406
Tabula Sapiens,erythrocyte,14611,0.8397693634033203,0.03422079255355554,0.0002873757330235094
Tabula Sapiens,thymocyte,455,0.8306758403778076,0.43956043956043955,0.0036513223312795162
Tabula Sapiens,regulatory T cell,2649,0.8214395642280579,0.1887504718761797,0.0015504710609093308
Tabula Sapiens,neuro-medullary thymic epithelial cell,135,0.8205773830413818,12.592592592592592,0.10333196818828583
Tabula Sapiens,"activated CD4-positive, alpha-beta T cell",572,0.817937970161438,0.17482517482517482,0.0014299615286290646
Tabula Sapiens,peritubular myoid cell,67,0.8123964071273804,14.925373134328357,0.12125319987535477
Tabula Sapiens,male germ cell,116,0.7930855751037598,4.310344827586207,0.03418472036719322
Tabula Sapiens,eye photoreceptor cell,1536,0.7894669771194458,0.5208333333333333,0.004111807327717543
Tabula Sapiens,"CD4-positive, alpha-beta thymocyte",4685,0.7872863411903381,0.042689434364994665,0.0003360880946274847
Tabula Sapiens,"CD8-positive, alpha-beta T cell",76277,0.7825953364372253,0.05637348086579178,0.0004411762347444892
Tabula Sapiens,fibroblast of breast,5270,0.7724571824073792,1.840607210626186,0.014217901974916458
Tabula Sapiens,mesenchymal stem cell,23499,0.7699084877967834,0.14468700795778544,0.0011139576090499759
Tabula Sapiens,large intestine goblet cell,1557,0.7623229622840881,0.06422607578676942,0.0004896101308986545
Tabula Sapiens,plasmacytoid dendritic cell,99,0.7609837651252747,1.0101010101010102,0.007686704862862825
Tabula Sapiens,alveolar adventitial fibroblast,1113,0.7590458393096924,1.6172506738544474,0.01227567344903946
Tabula Sapiens,blood vessel smooth muscle cell,6642,0.7434357404708862,0.22583559168925021,0.0016789424698799849
Tabula Sapiens,progenitor cell of mammary luminal epithelium,1694,0.7414536476135254,1.1216056670602124,0.008316186256706715
Tabula Sapiens,muscle cell,406,0.7385488748550415,0.24630541871921183,0.001819085911847651
Tabula Sapiens,fast muscle cell,495,0.7381568551063538,2.4242424242424243,0.01789470948278904
Tabula Sapiens,basophil,1669,0.7370206713676453,0.7189934092270821,0.005299129988998175
Tabula Sapiens,Mueller cell,506,0.7361385226249695,11.857707509881422,0.08728915452957153
Tabula Sapiens,mature NK T cell,5394,0.7352191209793091,0.03707823507601038,0.00027260626666247845
Tabula Sapiens,retinal bipolar neuron,61,0.7277916669845581,13.114754098360656,0.0954480841755867
Tabula Sapiens,intrahepatic cholangiocyte,665,0.7110726237297058,7.518796992481203,0.05346410721540451
Tabula Sapiens,non-classical monocyte,1284,0.6860955357551575,0.46728971962616817,0.0032060539815574884
Tabula Sapiens,kidney epithelial cell,9278,0.6860818862915039,1.5843931881871092,0.010870233178138733
Tabula Sapiens,hematopoietic cell,100,0.684364378452301,1.0,0.006843643728643656
Tabula Sapiens,B cell,114495,0.6745108962059021,0.049783833355168346,0.0003357973473612219
Tabula Sapiens,mononuclear phagocyte,5336,0.6562079191207886,0.4122938530734633,0.0027055046521127224
Tabula Sapiens,myoepithelial cell,486,0.6546024084091187,0.411522633744856,0.0026938370428979397
Tabula Sapiens,keratocyte,1001,0.6543170809745789,1.1988011988011988,0.007843961007893085
Tabula Sapiens,spermatocyte,3070,0.6456395387649536,2.0846905537459284,0.013459586538374424
Tabula Sapiens,myofibroblast cell,4436,0.6345185041427612,1.6005410279531107,0.010155728086829185
Tabula Sapiens,retinal blood vessel endothelial cell,2091,0.6293826103210449,0.47824007651841227,0.0030099600553512573
Tabula Sapiens,fibroblast of cardiac tissue,1947,0.6232371926307678,0.6163328197226503,0.0038412155117839575
Tabula Sapiens,conjunctival epithelial cell,11087,0.6227797865867615,0.1262740146117074,0.0007864090148359537
Tabula Sapiens,"CD4-positive, alpha-beta T cell",97130,0.6226764917373657,0.04735920930711418,0.00029489470762200654
Tabula Sapiens,mast cell,6222,0.6197140216827393,0.35358405657344905,0.00219121016561985
Tabula Sapiens,pericyte,10888,0.6170028448104858,0.1928728875826598,0.0011900314129889011
Tabula Sapiens,myeloid dendritic cell,571,0.6160210967063904,0.5253940455341506,0.0032365380320698023
Tabula Sapiens,tissue-resident macrophage,1355,0.6002466082572937,1.4022140221402213,0.008416742086410522
Tabula Sapiens,endothelial cell of lymphatic vessel,2438,0.5846744775772095,0.08203445447087777,0.0004796345310751349
Tabula Sapiens,lung multiciliated epithelial cell,1209,0.5842882394790649,0.0827129859387924,0.0004832822596654296
Tabula Sapiens,fibroblast,83338,0.584162175655365,0.7079603542201637,0.004135636612772942
Tabula Sapiens,monocyte,25753,0.5779348015785217,0.5280938143128956,0.0030520381405949593
Tabula Sapiens,luminal cell of prostate epithelium,10652,0.5735829472541809,0.04693954187007135,0.00026923720724880695
Tabula Sapiens,pancreatic ductal cell,2721,0.5703296661376953,42.92539507533995,0.24481625854969025
Tabula Sapiens,endothelial cell,33703,0.5702487230300903,0.34121591549713676,0.0019457796588540077
Tabula Sapiens,small intestine goblet cell,2044,0.5672719478607178,0.3424657534246575,0.0019427119987085462
Tabula Sapiens,stromal cell,3458,0.5511724948883057,2.2556390977443606,0.01243246253579855
Tabula Sapiens,innate lymphoid cell,971,0.5502578616142273,0.20597322348094746,0.0011333838338032365
Tabula Sapiens,spermatogonium,64,0.5490832924842834,6.25,0.034317709505558014
Tabula Sapiens,respiratory tract goblet cell,1040,0.5418422222137451,0.19230769230769232,0.001042004325427115
Tabula Sapiens,bronchial smooth muscle cell,220,0.5366334915161133,0.9090909090909091,0.004878486506640911
Tabula Sapiens,capillary endothelial cell,15298,0.5336238145828247,0.08497842855275199,0.00045346515253186226
Tabula Sapiens,spermatid,4009,0.5327231884002686,0.1746071339486156,0.000930172624066472
Tabula Sapiens,skeletal muscle satellite stem cell,6170,0.5320773720741272,0.4376012965964344,0.0023283774498850107
Tabula Sapiens,luminal epithelial cell of mammary gland,15432,0.5318507552146912,5.1386728875064795,0.0273300688713789
Tabula Sapiens,thymic fibroblast type 2,4205,0.5300692915916443,0.1902497027348395,0.0010084552923217416
Tabula Sapiens,connective tissue cell,152,0.5281530618667603,0.6578947368421052,0.0034746911842375994
Tabula Sapiens,colon macrophage,328,0.5198144912719727,3.048780487804878,0.015848003327846527
Tabula Sapiens,thymic fibroblast type 1,3270,0.5136459469795227,0.7339449541284404,0.003769878763705492
Tabula Sapiens,classical monocyte,18200,0.5127204656600952,0.20879120879120883,0.001070515369065106
Tabula Sapiens,myo-medullary thymic epithelial cell,77,0.5077624320983887,3.896103896103896,0.01978295110166073
Tabula Sapiens,smooth muscle cell,18425,0.5042404532432556,0.33649932157394846,0.001696765306405723
Tabula Sapiens,intermediate monocyte,5478,0.5002714991569519,0.3103322380430814,0.0015525036724284291
Tabula Sapiens,glandular secretory epithelial cell,235,0.4853166341781616,3.404255319148936,0.01652141474187374
Tabula Sapiens,basal cell,33526,0.48226356506347656,0.14317246316291832,0.0006904685869812965
Tabula Sapiens,retinal pigment epithelial cell,67,0.48118487000465393,4.477611940298507,0.021545590832829475
Tabula Sapiens,ventricular cardiac muscle cell,2599,0.46552637219429016,7.310504040015391,0.034032322466373444
Tabula Sapiens,club cell,1747,0.459089457988739,0.11448196908986834,0.0005255746655166149
Tabula Sapiens,endothelial cell of artery,3471,0.45624271035194397,0.08643042350907519,0.00039433251367881894
Tabula Sapiens,macrophage,69072,0.45378491282463074,2.2657516794069954,0.0102816391736269
