dataset,field,label,n_cells,pct_cells
tabula_sapiens,broad_cell_class,t cell,208196,18.32359635210849
tabula_sapiens,broad_cell_class,lymphocyte of b lineage,141844,12.483871933026936
tabula_sapiens,broad_cell_class,myeloid leukocyte,128294,11.291319095455274
tabula_sapiens,broad_cell_class,fibroblast,100791,8.870744874663137
tabula_sapiens,broad_cell_class,granulocyte,78199,6.882394047621143
tabula_sapiens,broad_cell_class,endothelial cell,63106,5.554039805741503
tabula_sapiens,broad_cell_class,contractile cell,56202,4.946409931896872
tabula_sapiens,broad_cell_class,stem cell,43527,3.8308669639100947
tabula_sapiens,broad_cell_class,stromal cell,39919,3.5133222673817874
tabula_sapiens,broad_cell_class,epithelial cell,35641,3.1368100135713393
tabula_sapiens,broad_cell_class,intestinal epithelial cell,34178,3.00804951162541
tabula_sapiens,broad_cell_class,transitional epithelial cell,27241,2.397515265556434
tabula_sapiens,broad_cell_class,duct epithelial cell,22707,1.9984721241874357
tabula_sapiens,broad_cell_class,glandular epithelial cell,21942,1.931143495350364
tabula_sapiens,broad_cell_class,innate lymphoid cell,15202,1.337947471347928
tabula_sapiens,broad_cell_class,epithelial cell of lung,14710,1.2946459218213406
tabula_sapiens,broad_cell_class,erythroid lineage cell,14613,1.286108827707359
tabula_sapiens,broad_cell_class,endo-epithelial cell,14519,1.277835767431954
tabula_sapiens,broad_cell_class,stratified epithelial cell,12323,1.0845629975937716
tabula_sapiens,broad_cell_class,conjunctival epithelial cell,11087,0.9757810561001498
tabula_sapiens,broad_cell_class,cardiac endothelial cell,10092,0.8882098329721937
tabula_sapiens,broad_cell_class,kidney epithelial cell,9278,0.8165686514383683
tabula_sapiens,broad_cell_class,hepatocyte,7414,0.6525156264026798
tabula_sapiens,broad_cell_class,male germ cell,7259,0.6388738780762142
tabula_sapiens,broad_cell_class,ecto-epithelial cell,4560,0.40133143463666304
tabula_sapiens,broad_cell_class,hematopoietic cell,3016,0.26544201904916137
tabula_sapiens,broad_cell_class,ciliated epithelial cell,2242,0.19732128869635931
tabula_sapiens,broad_cell_class,glial cell,1834,0.16141268664992106
tabula_sapiens,broad_cell_class,neuron,1685,0.14829900600060902
tabula_sapiens,broad_cell_class,meso-epithelial cell,1558,0.13712157350085988
tabula_sapiens,broad_cell_class,adventitial cell,1045,0.09197178710423527
tabula_sapiens,broad_cell_class,secretory cell,756,0.06653652732134151
tabula_sapiens,broad_cell_class,dendritic cell,670,0.05896755728214128
tabula_sapiens,broad_cell_class,melanocyte,234,0.020594639408986655
tabula_sapiens,broad_cell_class,connective tissue cell,152,0.013377714487888768
tabula_sapiens,broad_cell_class,retinal pigment epithelial cell,67,0.005896755728214128
tabula_sapiens,broad_cell_class,vestibular dark cell,49,0.0043125526967536165
tabula_sapiens,broad_cell_class,fat cell,39,0.0034324399014977764
tabula_sapiens,broad_cell_class,female germ cell,18,0.001584203031460512
tabula_sapiens,broad_cell_class,follicle,9,0.000792101515730256
