dataset,obs_column,is_requested_label_field,encoding_type,n_obs,n_categories
tabula_sapiens,broad_cell_class,True,categorical,1136218,40.0
tabula_sapiens,cell_type,True,categorical,1136218,180.0
tabula_sapiens,tissue,True,categorical,1136218,75.0
tabula_sapiens,tissue_in_publication,True,categorical,1136218,28.0
tabula_sapiens,10X_run,False,categorical,1136218,302.0
tabula_sapiens,_index,False,string-array,1136218,
tabula_sapiens,_scvi_batch,False,categorical,1136218,46.0
tabula_sapiens,_scvi_labels,False,array,1136218,
tabula_sapiens,ambient_removal,False,categorical,1136218,2.0
tabula_sapiens,anatomical_position,False,categorical,1136218,66.0
tabula_sapiens,assay,False,categorical,1136218,4.0
tabula_sapiens,assay_ontology_term_id,False,categorical,1136218,4.0
tabula_sapiens,cdna_plate,False,categorical,1136218,243.0
tabula_sapiens,cdna_well,False,categorical,1136218,402.0
tabula_sapiens,cell_type_ontology_term_id,False,categorical,1136218,180.0
tabula_sapiens,compartment,False,categorical,1136218,7.0
tabula_sapiens,development_stage,False,categorical,1136218,19.0
tabula_sapiens,development_stage_ontology_term_id,False,categorical,1136218,19.0
tabula_sapiens,disease,False,categorical,1136218,1.0
tabula_sapiens,disease_ontology_term_id,False,categorical,1136218,1.0
tabula_sapiens,donor_assay,False,categorical,1136218,46.0
tabula_sapiens,donor_id,False,categorical,1136218,24.0
tabula_sapiens,donor_method,False,categorical,1136218,40.0
tabula_sapiens,donor_tissue,False,categorical,1136218,123.0
tabula_sapiens,donor_tissue_assay,False,categorical,1136218,196.0
tabula_sapiens,ethnicity_original,False,categorical,1136218,4.0
tabula_sapiens,free_annotation,False,categorical,1136218,284.0
tabula_sapiens,is_primary_data,False,array,1136218,
tabula_sapiens,library_plate,False,categorical,1136218,242.0
tabula_sapiens,manually_annotated,False,categorical,1136218,2.0
tabula_sapiens,method,False,categorical,1136218,2.0
tabula_sapiens,n_genes_by_counts,False,array,1136218,
tabula_sapiens,notes,False,categorical,1136218,48.0
tabula_sapiens,observation_joinid,False,string-array,1136218,
tabula_sapiens,pct_counts_ercc,False,array,1136218,
tabula_sapiens,pct_counts_mt,False,array,1136218,
tabula_sapiens,published_2022,False,categorical,1136218,2.0
tabula_sapiens,replicate,False,array,1136218,
tabula_sapiens,sample_id,False,categorical,1136218,658.0
tabula_sapiens,sample_number,False,array,1136218,
tabula_sapiens,scvi_leiden_donorassay_full,False,categorical,1136218,58.0
tabula_sapiens,self_reported_ethnicity,False,categorical,1136218,3.0
tabula_sapiens,self_reported_ethnicity_ontology_term_id,False,categorical,1136218,3.0
tabula_sapiens,sex,False,categorical,1136218,2.0
tabula_sapiens,sex_ontology_term_id,False,categorical,1136218,2.0
tabula_sapiens,suspension_type,False,categorical,1136218,1.0
tabula_sapiens,tissue_ontology_term_id,False,categorical,1136218,75.0
tabula_sapiens,tissue_type,False,categorical,1136218,1.0
tabula_sapiens,total_counts,False,array,1136218,
tabula_sapiens,total_counts_ercc,False,array,1136218,
tabula_sapiens,total_counts_mt,False,array,1136218,
hbca_non_neuronal,ROIGroup,True,categorical,888263,10.0
hbca_non_neuronal,ROIGroupCoarse,True,categorical,888263,10.0
hbca_non_neuronal,ROIGroupFine,True,categorical,888263,14.0
hbca_non_neuronal,cell_type,True,categorical,888263,11.0
hbca_non_neuronal,roi,True,categorical,888263,108.0
hbca_non_neuronal,supercluster_term,True,categorical,888263,10.0
hbca_non_neuronal,tissue,True,categorical,888263,10.0
hbca_non_neuronal,CellID,False,string-array,888263,
hbca_non_neuronal,assay,False,categorical,888263,1.0
hbca_non_neuronal,assay_ontology_term_id,False,categorical,888263,1.0
hbca_non_neuronal,cell_cycle_score,False,array,888263,
hbca_non_neuronal,cell_type_ontology_term_id,False,categorical,888263,11.0
hbca_non_neuronal,cluster_id,False,categorical,888263,79.0
hbca_non_neuronal,development_stage,False,categorical,888263,4.0
hbca_non_neuronal,development_stage_ontology_term_id,False,categorical,888263,4.0
hbca_non_neuronal,disease,False,categorical,888263,1.0
hbca_non_neuronal,disease_ontology_term_id,False,categorical,888263,1.0
hbca_non_neuronal,dissection,False,categorical,888263,108.0
hbca_non_neuronal,donor_id,False,categorical,888263,4.0
hbca_non_neuronal,fraction_mitochondrial,False,array,888263,
hbca_non_neuronal,fraction_unspliced,False,array,888263,
hbca_non_neuronal,is_primary_data,False,array,888263,
hbca_non_neuronal,observation_joinid,False,string-array,888263,
hbca_non_neuronal,sample_id,False,categorical,888263,606.0
hbca_non_neuronal,self_reported_ethnicity,False,categorical,888263,1.0
hbca_non_neuronal,self_reported_ethnicity_ontology_term_id,False,categorical,888263,1.0
hbca_non_neuronal,sex,False,categorical,888263,2.0
hbca_non_neuronal,sex_ontology_term_id,False,categorical,888263,2.0
hbca_non_neuronal,subcluster_id,False,categorical,888263,297.0
hbca_non_neuronal,suspension_type,False,categorical,888263,1.0
hbca_non_neuronal,tissue_ontology_term_id,False,categorical,888263,10.0
hbca_non_neuronal,tissue_type,False,categorical,888263,1.0
hbca_non_neuronal,total_UMIs,False,array,888263,
hbca_non_neuronal,total_genes,False,array,888263,
