dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression,score,rank_within_dataset_label_gene
HBCA non-neuronal,roi,Human CEN,human cen,ADORA1,12647,37.16296354866767,0.676998496055603,19.213459748247708,1
HBCA non-neuronal,roi,Human LP-VPL,human lp-vpl,ADORA1,16179,35.144322887693924,0.5228382349014282,14.780853594146881,2
HBCA non-neuronal,roi,Human CM,human cm,ADORA1,6909,29.700390794615718,0.41670283675193787,10.345603231643604,3
HBCA non-neuronal,roi,Human VA,human va,ADORA1,4310,29.76798143851508,0.4146171808242798,10.325290812310982,4
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA1,1569,26.704907584448694,0.35882729291915894,8.188313325634532,5
HBCA non-neuronal,roi,Human MD-Re,human md-re,ADORA1,4439,26.312232484793874,0.3570623993873596,8.033713001531401,6
HBCA non-neuronal,roi,Human CoA,human coa,ADORA1,2476,26.292407108239097,0.35460421442985535,7.97999057609778,7
HBCA non-neuronal,roi,Human Cla,human cla,ADORA1,12236,24.87741091860085,0.3430042564868927,7.336574539017598,8
HBCA non-neuronal,roi,Human PN,human pn,ADORA1,15355,24.69553891240638,0.3409312963485718,7.244791210875283,9
HBCA non-neuronal,roi,Human PAG,human pag,ADORA1,17187,24.914179321580264,0.33007505536079407,7.1064052378465306,10
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA1,2478,23.930589184826474,0.3284907042980194,6.797328047131256,11
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA1,3276,23.748473748473746,0.3144078254699707,6.492505976308187,12
HBCA non-neuronal,roi,Human SN,human sn,ADORA1,50837,22.566241123591084,0.3123708963394165,6.134301962661766,13
HBCA non-neuronal,roi,Human SN-RN,human sn-rn,ADORA1,37737,21.67368895248695,0.2919415831565857,5.551632849792785,14
HBCA non-neuronal,roi,Human TH-TL,human th-tl,ADORA1,8423,21.939926392021842,0.2862400710582733,5.522790428361422,15
HBCA non-neuronal,roi,Human CaB,human cab,ADORA2A,2787,3.803372802296376,0.041980624198913574,0.1564074246141504,1
HBCA non-neuronal,roi,Human Pu,human pu,ADORA2A,3675,3.6734693877551026,0.03891156613826752,0.14022952932683289,2
HBCA non-neuronal,roi,Human VA,human va,ADORA2A,4310,2.2273781902552203,0.0236658938229084,0.052098816477321654,3
HBCA non-neuronal,roi,Human NAC,human nac,ADORA2A,2720,2.1323529411764706,0.02242647111415863,0.04729280649198303,4
HBCA non-neuronal,roi,Human HTHpo,human hthpo,ADORA2A,1722,1.5679442508710801,0.01684088259935379,0.02618568377022354,5
HBCA non-neuronal,roi,Human ANC,human anc,ADORA2A,6272,1.3392857142857142,0.016262754797935486,0.0216052669390166,6
HBCA non-neuronal,roi,Human CM,human cm,ADORA2A,6909,1.3026487190620928,0.014039658010005951,0.018161547808572164,7
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA2A,1185,1.2658227848101267,0.012658228166401386,0.015922509520482898,8
HBCA non-neuronal,roi,Human MD-Re,human md-re,ADORA2A,4439,1.1489074115791844,0.013066005893051624,0.014914405960270037,9
HBCA non-neuronal,roi,Human CEN,human cen,ADORA2A,12647,1.0911678658970507,0.011860520578920841,0.012865672076507342,10
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA2A,3218,1.0876320696084525,0.011187072843313217,0.012099863652595466,11
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA2A,17133,0.9922372030584252,0.011206443421542645,0.011057606931632994,12
HBCA non-neuronal,roi,Human LG,human lg,ADORA2A,8595,1.0122164048865618,0.010587550699710846,0.010660556972452518,13
HBCA non-neuronal,roi,Human SI,human si,ADORA2A,4835,0.9720785935884179,0.010961737483739853,0.010597691341598292,14
HBCA non-neuronal,roi,Human LP-VPL,human lp-vpl,ADORA2A,16179,0.9580320168119166,0.010816490277647972,0.010306901694015339,15
HBCA non-neuronal,roi,Human A32,human a32,ADORA2B,2016,13.640873015873014,0.195932537317276,2.440710214699535,1
HBCA non-neuronal,roi,Human A14,human a14,ADORA2B,877,11.972633979475484,0.1687571257352829,1.8670233000270944,2
HBCA non-neuronal,roi,Human CoA,human coa,ADORA2B,2476,10.09693053311793,0.130048468708992,1.2344560224879848,3
HBCA non-neuronal,roi,Human HTHso,human hthso,ADORA2B,3013,10.255559243279123,0.12612015008926392,1.2181371669380074,4
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA2B,3218,8.91858297078931,0.12336855381727219,1.037514888489407,5
HBCA non-neuronal,roi,Human TH-TL,human th-tl,ADORA2B,8423,8.548023269618902,0.1114804670214653,0.903465203979361,6
HBCA non-neuronal,roi,Human ITG,human itg,ADORA2B,2911,8.07282720714531,0.10889728367328644,0.8344565304107531,7
HBCA non-neuronal,roi,Human AON,human aon,ADORA2B,1967,7.88002033553635,0.10574478656053543,0.7920927326453382,8
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA2B,72,6.944444444444445,0.1111111119389534,0.7316702527978081,9
HBCA non-neuronal,roi,Human Idg,human idg,ADORA2B,3241,7.250848503548288,0.09102129191160202,0.6316520307205866,10
HBCA non-neuronal,roi,Human A46,human a46,ADORA2B,3136,7.079081632653061,0.09215561300516129,0.6240449018722909,11
HBCA non-neuronal,roi,Human A38,human a38,ADORA2B,3165,6.9510268562401265,0.09194312989711761,0.6114039610081929,12
HBCA non-neuronal,roi,Human Ig,human ig,ADORA2B,3617,7.077688692286426,0.08985347300767899,0.6089873996539444,13
HBCA non-neuronal,roi,Human A43,human a43,ADORA2B,3796,7.007376185458377,0.08877766132354736,0.596016973799667,14
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA2B,17133,7.091577657152863,0.08539076894521713,0.5810844253901118,15
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA3,1569,0.12746972594008923,0.0012746972497552633,0.0001623818372154513,1
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA3,1185,0.08438818565400844,0.0008438818622380495,7.118362819682385e-05,2
HBCA non-neuronal,roi,Human HTHso-HTHtub,human hthso-hthtub,ADORA3,1247,0.08019246190858059,0.0008019246160984039,6.428253779883845e-05,3
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA3,32242,0.04342162396873643,0.0004652316856663674,2.0196417670819904e-05,4
HBCA non-neuronal,roi,Human A13,human a13,ADORA3,2279,0.04387889425186486,0.0004387889348436147,1.9249350378698072e-05,5
HBCA non-neuronal,roi,Human A25,human a25,ADORA3,2663,0.03755163349605708,0.0003755163343157619,1.4098604795454668e-05,6
HBCA non-neuronal,roi,Human CEN,human cen,ADORA3,12647,0.031628054083972484,0.00031628055148757994,1.0001756790943599e-05,7
HBCA non-neuronal,roi,Human A38,human a38,ADORA3,3165,0.0315955766192733,0.0003159557527396828,9.981227463889256e-06,8
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA3,3218,0.031075201988812924,0.00031075201695784926,9.65518158950511e-06,9
HBCA non-neuronal,roi,Human Idg,human idg,ADORA3,3241,0.030854674483184203,0.0003085467324126512,9.518640594220077e-06,10
HBCA non-neuronal,roi,Human MD,human md,ADORA3,3396,0.029446407538280327,0.0002944640873465687,8.669633136225743e-06,11
HBCA non-neuronal,roi,Human MN,human mn,ADORA3,10739,0.027935561970388306,0.00027935561956837773,7.802866385679115e-06,12
HBCA non-neuronal,roi,Human Ig,human ig,ADORA3,3617,0.02764722145424385,0.00027647221577353776,7.642632136390798e-06,13
HBCA non-neuronal,roi,Human IO,human io,ADORA3,11015,0.027235587834770765,0.00027235588640905917,7.416762712959602e-06,14
HBCA non-neuronal,roi,Human A43,human a43,ADORA3,3796,0.026343519494204423,0.00026343518402427435,6.938895971257807e-06,15
