dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression,score,rank_within_dataset_label_gene
HBCA non-neuronal,cell_type,oligodendrocyte precursor cell,oligodendrocyte precursor cell,ADORA1,105734,23.35010498042257,0.31160271167755127,6.333712086838214,1
HBCA non-neuronal,cell_type,oligodendrocyte,oligodendrocyte,ADORA1,494966,20.163809231341144,0.2640868127346039,4.725388175702494,2
HBCA non-neuronal,cell_type,astrocyte,astrocyte,ADORA1,155025,13.8409933881632,0.17366231977939606,2.2163450920832606,3
HBCA non-neuronal,cell_type,Bergmann glial cell,bergmann glial cell,ADORA1,8041,7.21303320482527,0.08668076246976852,0.5996041458787107,4
HBCA non-neuronal,cell_type,ependymal cell,ependymal cell,ADORA1,5882,3.0431825909554573,0.03451206907629967,0.10325483447696164,5
HBCA non-neuronal,cell_type,central nervous system macrophage,central nervous system macrophage,ADORA1,91838,2.958470349964067,0.03503996133804321,0.10188982524063883,6
HBCA non-neuronal,cell_type,choroid plexus epithelial cell,choroid plexus epithelial cell,ADORA1,7689,0.7153075822603719,0.007933411747217178,0.005652437548317407,7
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA1,1074,0.6517690875232774,0.0074487896636128426,0.004836898603537078,8
HBCA non-neuronal,cell_type,endothelial cell,endothelial cell,ADORA1,5165,0.5808325266214909,0.00600193627178669,0.0034756997478070863,9
HBCA non-neuronal,cell_type,fibroblast,fibroblast,ADORA1,9156,0.49148099606815204,0.005351681727916002,0.0026232367463978495,10
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA1,3693,0.37909558624424583,0.0037909557577222586,0.0014344174035694826,11
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA2A,3693,25.209856485242348,0.3170863687992096,6.943349107114792,1
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA2A,1074,5.21415270018622,0.05865921825170517,0.29722348845367325,2
HBCA non-neuronal,cell_type,endothelial cell,endothelial cell,ADORA2A,5165,4.859632139399806,0.051500484347343445,0.24404186588965282,3
HBCA non-neuronal,cell_type,fibroblast,fibroblast,ADORA2A,9156,1.9877675840978593,0.0204237662255764,0.04018868124187094,4
HBCA non-neuronal,cell_type,oligodendrocyte precursor cell,oligodendrocyte precursor cell,ADORA2A,105734,0.8824030113303195,0.009126676246523857,0.008016878272607381,5
HBCA non-neuronal,cell_type,Bergmann glial cell,bergmann glial cell,ADORA2A,8041,0.6964307921900261,0.007088670507073402,0.0049193531069717305,6
HBCA non-neuronal,cell_type,oligodendrocyte,oligodendrocyte,ADORA2A,494966,0.4889224714424829,0.005046811420470476,0.002461293880585973,7
HBCA non-neuronal,cell_type,astrocyte,astrocyte,ADORA2A,155025,0.45347524592807614,0.0046766651794314384,0.002115808276201155,8
HBCA non-neuronal,cell_type,ependymal cell,ependymal cell,ADORA2A,5882,0.42502550153009183,0.00493029598146677,0.0020903527173340877,9
HBCA non-neuronal,cell_type,central nervous system macrophage,central nervous system macrophage,ADORA2A,91838,0.3615061303599817,0.0037566148675978184,0.0013554948590602392,10
HBCA non-neuronal,cell_type,choroid plexus epithelial cell,choroid plexus epithelial cell,ADORA2A,7689,0.19508388607101051,0.0019508388359099627,0.000380206480887403,11
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA2B,3693,17.84457080963986,0.22041700780391693,3.5545066342033373,1
HBCA non-neuronal,cell_type,Bergmann glial cell,bergmann glial cell,ADORA2B,8041,17.684367615968164,0.22161422669887543,3.5399350552338915,2
HBCA non-neuronal,cell_type,astrocyte,astrocyte,ADORA2B,155025,10.884696016771489,0.13462990522384644,1.3748081085175377,3
HBCA non-neuronal,cell_type,fibroblast,fibroblast,ADORA2B,9156,4.641764962865881,0.06105286255478859,0.27507879785893463,4
HBCA non-neuronal,cell_type,choroid plexus epithelial cell,choroid plexus epithelial cell,ADORA2B,7689,1.7037326050201589,0.020548835396766663,0.034654869321337795,5
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA2B,1074,1.675977653631285,0.01769087463617325,0.029390300315359892,6
HBCA non-neuronal,cell_type,ependymal cell,ependymal cell,ADORA2B,5882,0.6290377422645359,0.006630397867411375,0.00415700438728943,7
