group_by,group,gene,n_cells,n_expressing,pct_expressing,mean_expression,mean_expression_positive_cells
cell_type,Bergmann glial cell,ADORA1,8041,580,7.21303320482527,0.08668076246976852,1.2017241716384888
cell_type,Bergmann glial cell,ADORA2A,8041,56,0.6964307921900261,0.007088670507073402,1.0178571939468384
cell_type,Bergmann glial cell,ADORA2B,8041,1422,17.684367615968164,0.22161422669887543,1.253164529800415
cell_type,Bergmann glial cell,ADORA3,8041,0,0.0,0.0,0.0
cell_type,astrocyte,ADORA1,155025,21457,13.8409933881632,0.17366231977939606,1.2546954154968262
cell_type,astrocyte,ADORA2A,155025,703,0.45347524592807614,0.0046766651794314384,1.0312944650650024
cell_type,astrocyte,ADORA2B,155025,16874,10.884696016771489,0.13462990522384644,1.2368732690811157
cell_type,astrocyte,ADORA3,155025,0,0.0,0.0,0.0
cell_type,central nervous system macrophage,ADORA1,91838,2717,2.958470349964067,0.03503996133804321,1.1843945980072021
cell_type,central nervous system macrophage,ADORA2A,91838,332,0.3615061303599817,0.0037566148675978184,1.0391566753387451
cell_type,central nervous system macrophage,ADORA2B,91838,123,0.13393148805505348,0.001382869784720242,1.0325202941894531
cell_type,central nervous system macrophage,ADORA3,91838,98,0.1067096408893922,0.0010779851581901312,1.0102040767669678
cell_type,choroid plexus epithelial cell,ADORA1,7689,55,0.7153075822603719,0.007933411747217178,1.1090909242630005
cell_type,choroid plexus epithelial cell,ADORA2A,7689,15,0.19508388607101051,0.0019508388359099627,1.0
cell_type,choroid plexus epithelial cell,ADORA2B,7689,131,1.7037326050201589,0.020548835396766663,1.2061069011688232
cell_type,choroid plexus epithelial cell,ADORA3,7689,0,0.0,0.0,0.0
cell_type,endothelial cell,ADORA1,5165,30,0.5808325266214909,0.00600193627178669,1.0333333015441895
cell_type,endothelial cell,ADORA2A,5165,251,4.859632139399806,0.051500484347343445,1.0597609281539917
cell_type,endothelial cell,ADORA2B,5165,14,0.271055179090029,0.0027105517219752073,1.0
cell_type,endothelial cell,ADORA3,5165,0,0.0,0.0,0.0
cell_type,ependymal cell,ADORA1,5882,179,3.0431825909554573,0.03451206907629967,1.1340782642364502
cell_type,ependymal cell,ADORA2A,5882,25,0.42502550153009183,0.00493029598146677,1.159999966621399
cell_type,ependymal cell,ADORA2B,5882,37,0.6290377422645359,0.006630397867411375,1.0540540218353271
cell_type,ependymal cell,ADORA3,5882,0,0.0,0.0,0.0
cell_type,fibroblast,ADORA1,9156,45,0.49148099606815204,0.005351681727916002,1.0888888835906982
cell_type,fibroblast,ADORA2A,9156,182,1.9877675840978593,0.0204237662255764,1.0274724960327148
cell_type,fibroblast,ADORA2B,9156,425,4.641764962865881,0.06105286255478859,1.3152941465377808
cell_type,fibroblast,ADORA3,9156,0,0.0,0.0,0.0
cell_type,oligodendrocyte,ADORA1,494966,99804,20.163809231341144,0.2640868127346039,1.3097070455551147
cell_type,oligodendrocyte,ADORA2A,494966,2420,0.4889224714424829,0.005046811420470476,1.0322314500808716
cell_type,oligodendrocyte,ADORA2B,494966,1298,0.2622402346827863,0.0026830125134438276,1.0231125354766846
cell_type,oligodendrocyte,ADORA3,494966,2,0.000404068158216928,4.040681687911274e-06,1.0
cell_type,oligodendrocyte precursor cell,ADORA1,105734,24689,23.35010498042257,0.31160271167755127,1.3344810009002686
cell_type,oligodendrocyte precursor cell,ADORA2A,105734,933,0.8824030113303195,0.009126676246523857,1.0342979431152344
cell_type,oligodendrocyte precursor cell,ADORA2B,105734,335,0.31683280685493787,0.0033101935405284166,1.0447760820388794
cell_type,oligodendrocyte precursor cell,ADORA3,105734,0,0.0,0.0,0.0
cell_type,pericyte,ADORA1,3693,14,0.37909558624424583,0.0037909557577222586,1.0
cell_type,pericyte,ADORA2A,3693,931,25.209856485242348,0.3170863687992096,1.2577873468399048
cell_type,pericyte,ADORA2B,3693,659,17.84457080963986,0.22041700780391693,1.235204815864563
cell_type,pericyte,ADORA3,3693,0,0.0,0.0,0.0
cell_type,vascular associated smooth muscle cell,ADORA1,1074,7,0.6517690875232774,0.0074487896636128426,1.1428571939468384
cell_type,vascular associated smooth muscle cell,ADORA2A,1074,56,5.21415270018622,0.05865921825170517,1.125
cell_type,vascular associated smooth muscle cell,ADORA2B,1074,18,1.675977653631285,0.01769087463617325,1.0555555820465088
cell_type,vascular associated smooth muscle cell,ADORA3,1074,0,0.0,0.0,0.0
