group_by,group,gene,n_cells,n_expressing,pct_expressing,mean_expression,mean_expression_positive_cells
supercluster_term,Astrocyte,ADORA1,155025,21457,13.8409933881632,0.17366231977939606,1.2546954154968262
supercluster_term,Astrocyte,ADORA2A,155025,703,0.45347524592807614,0.0046766651794314384,1.0312944650650024
supercluster_term,Astrocyte,ADORA2B,155025,16874,10.884696016771489,0.13462990522384644,1.2368732690811157
supercluster_term,Astrocyte,ADORA3,155025,0,0.0,0.0,0.0
supercluster_term,Bergmann glia,ADORA1,8041,580,7.21303320482527,0.08668076246976852,1.2017241716384888
supercluster_term,Bergmann glia,ADORA2A,8041,56,0.6964307921900261,0.007088670507073402,1.0178571939468384
supercluster_term,Bergmann glia,ADORA2B,8041,1422,17.684367615968164,0.22161422669887543,1.253164529800415
supercluster_term,Bergmann glia,ADORA3,8041,0,0.0,0.0,0.0
supercluster_term,Choroid plexus,ADORA1,7689,55,0.7153075822603719,0.007933411747217178,1.1090909242630005
supercluster_term,Choroid plexus,ADORA2A,7689,15,0.19508388607101051,0.0019508388359099627,1.0
supercluster_term,Choroid plexus,ADORA2B,7689,131,1.7037326050201589,0.020548835396766663,1.2061069011688232
supercluster_term,Choroid plexus,ADORA3,7689,0,0.0,0.0,0.0
supercluster_term,Committed oligodendrocyte precursor,ADORA1,4720,760,16.101694915254235,0.21313560009002686,1.3236842155456543
supercluster_term,Committed oligodendrocyte precursor,ADORA2A,4720,49,1.0381355932203389,0.010805084370076656,1.040816307067871
supercluster_term,Committed oligodendrocyte precursor,ADORA2B,4720,14,0.2966101694915254,0.003601694945245981,1.2142857313156128
supercluster_term,Committed oligodendrocyte precursor,ADORA3,4720,1,0.0211864406779661,0.00021186440426390618,1.0
supercluster_term,Ependymal,ADORA1,5882,179,3.0431825909554573,0.03451206907629967,1.1340782642364502
supercluster_term,Ependymal,ADORA2A,5882,25,0.42502550153009183,0.00493029598146677,1.159999966621399
supercluster_term,Ependymal,ADORA2B,5882,37,0.6290377422645359,0.006630397867411375,1.0540540218353271
supercluster_term,Ependymal,ADORA3,5882,0,0.0,0.0,0.0
supercluster_term,Fibroblast,ADORA1,9156,45,0.49148099606815204,0.005351681727916002,1.0888888835906982
supercluster_term,Fibroblast,ADORA2A,9156,182,1.9877675840978593,0.0204237662255764,1.0274724960327148
supercluster_term,Fibroblast,ADORA2B,9156,425,4.641764962865881,0.06105286255478859,1.3152941465377808
supercluster_term,Fibroblast,ADORA3,9156,0,0.0,0.0,0.0
supercluster_term,Microglia,ADORA1,91838,2717,2.958470349964067,0.03503996133804321,1.1843945980072021
supercluster_term,Microglia,ADORA2A,91838,332,0.3615061303599817,0.0037566148675978184,1.0391566753387451
supercluster_term,Microglia,ADORA2B,91838,123,0.13393148805505348,0.001382869784720242,1.0325202941894531
supercluster_term,Microglia,ADORA3,91838,98,0.1067096408893922,0.0010779851581901312,1.0102040767669678
supercluster_term,Oligodendrocyte,ADORA1,490246,99044,20.20291853477642,0.26457738876342773,1.309599757194519
supercluster_term,Oligodendrocyte,ADORA2A,490246,2371,0.48363474663740247,0.004991371650248766,1.0320539474487305
supercluster_term,Oligodendrocyte,ADORA2B,490246,1284,0.26190932715412263,0.0026741677429527044,1.0210280418395996
supercluster_term,Oligodendrocyte,ADORA3,490246,1,0.00020397922675554722,2.0397922071424546e-06,1.0
supercluster_term,Oligodendrocyte precursor,ADORA1,105734,24689,23.35010498042257,0.31160271167755127,1.3344810009002686
supercluster_term,Oligodendrocyte precursor,ADORA2A,105734,933,0.8824030113303195,0.009126676246523857,1.0342979431152344
supercluster_term,Oligodendrocyte precursor,ADORA2B,105734,335,0.31683280685493787,0.0033101935405284166,1.0447760820388794
supercluster_term,Oligodendrocyte precursor,ADORA3,105734,0,0.0,0.0,0.0
supercluster_term,Vascular,ADORA1,9932,51,0.5134917438582359,0.005336286965757608,1.0392156839370728
supercluster_term,Vascular,ADORA2A,9932,1238,12.464760370519533,0.15102697908878326,1.2116316556930542
supercluster_term,Vascular,ADORA2B,9932,691,6.957309706000806,0.0852799043059349,1.225759744644165
supercluster_term,Vascular,ADORA3,9932,0,0.0,0.0,0.0
