dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,32,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,12.137984,17.924482,none,0.0,0.0,0.0,0.0
Tabula Sapiens,41,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.348549,18.865965,none,0.0,0.0,0.0,0.0
Tabula Sapiens,53,"naive thymus-derived CD4-positive, alpha-beta T cell",t cell,lymph node,Lymph_Node,,,,,18.323462,18.584093,none,0.0,0.0,0.0,0.0
Tabula Sapiens,72,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.359612,18.726067,none,0.0,0.0,0.0,0.0
Tabula Sapiens,117,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.307777,18.606834,none,0.0,0.0,0.0,0.0
Tabula Sapiens,121,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,11.978557,17.964062,none,0.0,0.0,0.0,0.0
Tabula Sapiens,123,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.352991,18.88547,none,0.0,0.0,0.0,0.0
Tabula Sapiens,126,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.37029,18.760927,none,0.0,0.0,0.0,0.0
Tabula Sapiens,129,plasma cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,13.276327,16.346272,none,0.0,0.0,0.0,0.0
Tabula Sapiens,182,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,17.9557,19.146166,none,0.0,0.0,0.0,0.0
Tabula Sapiens,214,"CD8-positive, alpha-beta T cell",t cell,lymph node,Lymph_Node,,,,,17.860027,18.381031,none,0.0,0.0,0.0,0.0
Tabula Sapiens,226,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.280743,18.82261,none,0.0,0.0,0.0,0.0
Tabula Sapiens,285,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,11.890809,17.994688,none,0.0,0.0,0.0,0.0
Tabula Sapiens,320,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,18.188585,18.535467,none,0.0,0.0,0.0,0.0
Tabula Sapiens,331,"CD8-positive, alpha-beta thymocyte",t cell,thymus,Thymus,,,,,17.657906,18.327152,none,0.0,0.0,0.0,0.0
Tabula Sapiens,352,intrahepatic cholangiocyte,duct epithelial cell,liver,Liver,,,,,13.615238,12.834415,none,0.0,0.0,0.0,0.0
Tabula Sapiens,373,intrahepatic cholangiocyte,duct epithelial cell,liver,Liver,,,,,13.589583,12.810407,none,0.5903023,0.0,0.61411595,0.0
Tabula Sapiens,383,myeloid cell,hematopoietic cell,liver,Liver,,,,,18.690828,16.988184,none,0.0,0.0,0.0,0.0
Tabula Sapiens,387,myeloid cell,hematopoietic cell,liver,Liver,,,,,18.445498,17.19084,none,0.0,0.0,0.0,0.0
Tabula Sapiens,389,myeloid cell,hematopoietic cell,liver,Liver,,,,,18.587671,17.03236,none,0.0,0.0,0.0,0.0
Tabula Sapiens,403,myeloid cell,hematopoietic cell,liver,Liver,,,,,18.73867,16.973686,none,0.0,0.0,0.0,0.0
Tabula Sapiens,407,myeloid cell,hematopoietic cell,liver,Liver,,,,,17.958738,16.94602,none,0.0,0.0,0.0,0.0
Tabula Sapiens,412,myeloid cell,hematopoietic cell,liver,Liver,,,,,18.352741,17.214006,none,0.0,0.0,0.0,0.0
Tabula Sapiens,449,erythrocyte,erythroid lineage cell,heart,Heart,,,,,15.300669,14.0674,none,0.0,0.0,0.0,0.0
Tabula Sapiens,457,regular atrial cardiac myocyte,contractile cell,heart,Heart,,,,,15.356002,14.081737,none,0.0,0.0,0.0,0.0
Tabula Sapiens,462,mesothelial cell,meso-epithelial cell,heart,Heart,,,,,14.076029,13.459827,none,0.0,0.0,0.0,0.0
Tabula Sapiens,536,neutrophil,granulocyte,lung,Lung,,,,,14.207602,17.009428,none,0.0,0.0,0.0,0.0
Tabula Sapiens,548,macrophage,myeloid leukocyte,lung,Lung,,,,,18.575945,15.984203,none,0.0,0.0,0.0,0.34119505
Tabula Sapiens,577,non-classical monocyte,myeloid leukocyte,lung,Lung,,,,,18.6363,15.91203,none,0.0,0.0,0.0,0.0
Tabula Sapiens,585,macrophage,myeloid leukocyte,lung,Lung,,,,,17.766771,16.592781,ADORA3,0.0,0.0,0.0,1.9360327
Tabula Sapiens,599,non-classical monocyte,myeloid leukocyte,lung,Lung,,,,,18.326124,15.887011,none,0.0,0.0,0.0,0.0
Tabula Sapiens,614,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.106663,14.421892,none,0.0,0.0,0.0,0.0
Tabula Sapiens,641,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,14.60269,14.109263,none,0.0,0.0,0.0,0.0
Tabula Sapiens,644,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.880709,14.315352,none,0.0,0.0,0.0,0.0
Tabula Sapiens,670,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.119936,14.205494,none,0.0,0.0,0.0,0.0
Tabula Sapiens,690,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.324694,14.13873,none,0.0,0.0,0.0,0.0
Tabula Sapiens,693,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.630617,13.951523,none,0.0,0.0,0.0,0.0
Tabula Sapiens,695,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.699843,13.086861,none,0.0,0.0,0.0,0.0
Tabula Sapiens,696,skeletal muscle satellite stem cell,stem cell,muscle of abdomen,Muscle,,,,,13.23202,13.673904,none,0.0,0.0,0.0,0.0
Tabula Sapiens,700,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.941394,14.150024,none,0.0,0.0,0.0,0.0
Tabula Sapiens,707,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.559487,14.562754,none,0.0,0.0,0.0,0.0
Tabula Sapiens,714,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.44565,13.689244,none,0.0,0.0,0.0,0.0
Tabula Sapiens,760,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,13.780582,14.020524,none,0.0,0.0,0.0,0.0
Tabula Sapiens,777,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.196813,14.468218,none,0.0,0.0,0.0,0.0
Tabula Sapiens,795,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.278838,14.400855,none,0.0,0.0,0.0,0.0
Tabula Sapiens,800,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.283229,14.67639,none,0.0,0.0,0.0,0.0
Tabula Sapiens,801,mesenchymal stem cell,stem cell,muscle of abdomen,Muscle,,,,,13.086964,14.420282,none,0.0,0.0,0.0,0.0
Tabula Sapiens,817,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.03655,14.408351,none,0.0,0.0,0.0,0.0
Tabula Sapiens,830,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,13.16184,14.2840805,none,0.0,0.0,0.0,0.0
Tabula Sapiens,831,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.765656,13.850351,none,0.0,0.0,0.0,0.0
Tabula Sapiens,832,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.665357,14.254408,none,0.0,0.0,0.0,0.0
Tabula Sapiens,835,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,14.260491,13.825426,none,0.0,0.0,0.0,0.0
Tabula Sapiens,836,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.120662,14.300645,none,0.0,0.0,0.0,0.0
Tabula Sapiens,871,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.393284,13.918878,none,0.0,0.0,0.0,0.0
Tabula Sapiens,892,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.226717,14.23779,none,0.0,0.0,0.0,0.0
Tabula Sapiens,898,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.826288,14.274755,none,0.0,0.0,0.0,0.0
Tabula Sapiens,947,natural killer cell,innate lymphoid cell,spleen,Spleen,,,,,17.713762,18.551851,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1013,mature NK T cell,t cell,spleen,Spleen,,,,,17.66419,18.63952,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064,mature NK T cell,t cell,spleen,Spleen,,,,,17.868055,18.63421,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1085,mature NK T cell,t cell,spleen,Spleen,,,,,17.709675,18.52426,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1265,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.040461,14.595166,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1270,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,18.592413,12.636634,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1286,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,13.194568,13.782657,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1293,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.561048,13.233141,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1318,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,13.218439,13.706927,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1334,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.495975,12.78836,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1339,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.63255,14.311065,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1346,capillary endothelial cell,endothelial cell,muscle of abdomen,Muscle,,,,,13.115901,14.458941,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1349,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,12.943152,14.59202,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1352,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,18.695774,12.782422,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1353,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.911189,13.236797,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1360,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.07331,14.563903,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1377,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.089527,12.724493,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1380,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.436523,13.698217,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1401,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.650385,13.265039,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1404,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.571954,13.247267,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1465,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,17.447533,11.625667,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1466,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,13.148409,14.437534,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1468,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.221367,14.403917,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1475,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.6895485,13.289975,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1493,mesenchymal stem cell,stem cell,muscle of abdomen,Muscle,,,,,13.250323,14.321025,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1511,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.719244,13.250372,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1529,skeletal muscle satellite stem cell,stem cell,muscle of abdomen,Muscle,,,,,13.18926,13.632026,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1542,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,13.602836,13.653856,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1546,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,18.588442,12.737313,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1613,"CD4-positive, alpha-beta T cell",t cell,bone marrow,Bone_Marrow,,,,,17.67005,18.493073,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1624,monocyte,myeloid leukocyte,bone marrow,Bone_Marrow,,,,,15.339747,14.180265,none,0.0,0.0,0.0,0.0
