dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1778,epithelial fate stem cell,stem cell,uterus,Uterus,,,,,3.8931196,8.088846,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1802,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,3.2383533,3.890297,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1813,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,2.3467972,4.093733,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1935,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,6.048075,9.754946,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1940,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,4.272397,4.116991,none,0.0,0.0,0.0,0.0
Tabula Sapiens,3308,bronchial smooth muscle cell,contractile cell,lung,Lung,,,,,4.0690293,6.887745,none,0.0,0.0,0.0,0.0
Tabula Sapiens,4563,adventitial cell,adventitial cell,lung,Lung,,,,,-3.6285703,9.005037,none,0.0,0.0,0.0,0.0
Tabula Sapiens,5433,stromal cell,stromal cell,ovary,Ovary,,,,,-0.42675376,9.650315,none,0.0,0.0,0.0,0.0
Tabula Sapiens,7077,endothelial cell of vascular tree,endothelial cell,muscle of pelvic diaphragm,Muscle,,,,,-0.3943798,7.416681,none,0.0,0.0,0.0,0.0
Tabula Sapiens,7642,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,6.265057,9.647609,none,0.0,0.0,0.0,0.0
Tabula Sapiens,8950,enterocyte of epithelium of large intestine,intestinal epithelial cell,large intestine,Large_Intestine,,,,,3.471199,3.591242,none,0.0,0.0,0.0,0.0
Tabula Sapiens,8959,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,3.7176182,8.256293,none,0.0,0.0,0.0,0.0
Tabula Sapiens,9111,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,3.5160735,8.249628,none,0.0,0.0,0.0,0.0
Tabula Sapiens,11482,keratocyte,fibroblast,eye,Eye,,,,,-3.7960193,8.633735,none,0.0,0.0,0.0,0.0
Tabula Sapiens,12444,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,3.8320527,8.106182,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13349,erythroid lineage cell,erythroid lineage cell,lacrimal gland,Eye,,,,,4.205903,3.5959826,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13365,erythroid lineage cell,erythroid lineage cell,lacrimal gland,Eye,,,,,4.182074,2.899632,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13370,adipocyte,fat cell,lacrimal gland,Eye,,,,,2.279171,4.080085,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14167,enterocyte of epithelium proper of small intestine,intestinal epithelial cell,small intestine,Small_Intestine,,,,,3.225796,7.787543,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14248,hematopoietic stem cell,stem cell,bone marrow,Bone_Marrow,,,,,5.858531,8.64667,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14367,common myeloid progenitor,stem cell,bone marrow,Bone_Marrow,,,,,4.9953184,7.507593,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14737,leukocyte,hematopoietic cell,subcutaneous adipose tissue,Fat,,,,,6.4541016,9.387334,none,0.0,0.0,0.0,0.0
Tabula Sapiens,16088,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,6.674608,9.725168,none,0.0,0.0,0.0,0.0
Tabula Sapiens,16262,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,6.506179,9.547879,none,0.0,0.0,0.0,0.0
Tabula Sapiens,17442,stromal cell,stromal cell,ovary,Ovary,,,,,-0.39546427,9.458723,none,0.0,0.0,0.0,0.0
Tabula Sapiens,18482,intermediate monocyte,myeloid leukocyte,lung,Lung,,,,,8.020929,7.147453,none,0.0,0.0,0.0,0.0
Tabula Sapiens,18491,myeloid dendritic cell,dendritic cell,lung,Lung,,,,,7.454293,6.701233,none,0.0,0.0,0.0,0.0
