dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1778,epithelial fate stem cell,stem cell,uterus,Uterus,,,,,1.6099937,8.270159,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1802,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,-1.5510699,6.251932,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1813,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,6.269993,7.75584,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1935,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,-2.5969388,2.8393855,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1940,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,-2.3567622,6.311492,none,0.0,0.0,0.0,0.0
Tabula Sapiens,3308,bronchial smooth muscle cell,contractile cell,lung,Lung,,,,,-2.8715103,4.5825524,none,0.0,0.0,0.0,0.0
Tabula Sapiens,4563,adventitial cell,adventitial cell,lung,Lung,,,,,1.9314475,11.69209,none,0.0,0.0,0.0,0.0
Tabula Sapiens,5433,stromal cell,stromal cell,ovary,Ovary,,,,,5.1127405,9.4577055,none,0.0,0.0,0.0,0.0
Tabula Sapiens,7077,endothelial cell of vascular tree,endothelial cell,muscle of pelvic diaphragm,Muscle,,,,,3.994612,4.8247585,none,0.0,0.0,0.0,0.0
Tabula Sapiens,7642,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,-2.8750134,2.8463073,none,0.0,0.0,0.0,0.0
Tabula Sapiens,8950,enterocyte of epithelium of large intestine,intestinal epithelial cell,large intestine,Large_Intestine,,,,,-1.3463444,6.570014,none,0.0,0.0,0.0,0.0
Tabula Sapiens,8959,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,1.7270172,8.115517,none,0.0,0.0,0.0,0.0
Tabula Sapiens,9111,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,1.4732703,7.8518467,none,0.0,0.0,0.0,0.0
Tabula Sapiens,11482,keratocyte,fibroblast,eye,Eye,,,,,2.2120733,11.866006,none,0.0,0.0,0.0,0.0
Tabula Sapiens,12444,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,1.560326,7.9834747,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13349,erythroid lineage cell,erythroid lineage cell,lacrimal gland,Eye,,,,,-2.0298066,6.4742045,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13365,erythroid lineage cell,erythroid lineage cell,lacrimal gland,Eye,,,,,-1.5444376,6.3698535,none,0.0,0.0,0.0,0.0
Tabula Sapiens,13370,adipocyte,fat cell,lacrimal gland,Eye,,,,,-0.7414958,6.043224,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14167,enterocyte of epithelium proper of small intestine,intestinal epithelial cell,small intestine,Small_Intestine,,,,,1.093362,7.4805293,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14248,hematopoietic stem cell,stem cell,bone marrow,Bone_Marrow,,,,,-2.2575338,3.0637107,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14367,common myeloid progenitor,stem cell,bone marrow,Bone_Marrow,,,,,-2.6685014,3.8590307,none,0.0,0.0,0.0,0.0
Tabula Sapiens,14737,leukocyte,hematopoietic cell,subcutaneous adipose tissue,Fat,,,,,-2.9546134,2.8800094,none,0.0,0.0,0.0,0.0
Tabula Sapiens,16088,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,-3.013051,2.638244,none,0.0,0.0,0.0,0.0
Tabula Sapiens,16262,innate lymphoid cell,innate lymphoid cell,inguinal lymph node,Lymph_Node,,,,,-3.0400238,2.8796244,none,0.0,0.0,0.0,0.0
Tabula Sapiens,17442,stromal cell,stromal cell,ovary,Ovary,,,,,5.043506,9.473184,none,0.0,0.0,0.0,0.0
Tabula Sapiens,18482,intermediate monocyte,myeloid leukocyte,lung,Lung,,,,,1.5388668,2.828878,none,0.0,0.0,0.0,0.0
Tabula Sapiens,18491,myeloid dendritic cell,dendritic cell,lung,Lung,,,,,2.6534715,3.3540695,none,0.0,0.0,0.0,0.0
Tabula Sapiens,19512,tracheal goblet cell,glandular epithelial cell,trachea,Trachea,,,,,0.15127438,7.3589106,none,0.0,0.0,0.0,0.0
Tabula Sapiens,21595,adventitial cell,adventitial cell,parotid gland,Salivary_Gland,,,,,2.3790655,12.131,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24485,enterochromaffin-like cell,glandular epithelial cell,large intestine,Large_Intestine,,,,,-0.4602577,5.9733744,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24509,T follicular helper cell,t cell,thymus,Thymus,,,,,-3.0253682,2.9934082,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24512,T follicular helper cell,t cell,thymus,Thymus,,,,,-2.6654115,1.7671043,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24518,thymocyte,t cell,thymus,Thymus,,,,,-2.1540914,3.2747555,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24530,T follicular helper cell,t cell,thymus,Thymus,,,,,-2.959248,3.047579,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24554,T follicular helper cell,t cell,thymus,Thymus,,,,,-2.7458792,3.2745292,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24596,T follicular helper cell,t cell,thymus,Thymus,,,,,-2.337645,3.4199724,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24598,T follicular helper cell,t cell,thymus,Thymus,,,,,-3.2326097,2.5976844,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24640,adipocyte,fat cell,lacrimal gland,Eye,,,,,1.207144,5.649968,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24657,adipocyte,fat cell,lacrimal gland,Eye,,,,,-0.64926094,5.5069036,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24661,adipocyte,fat cell,lacrimal gland,Eye,,,,,-0.58465266,5.9629226,none,0.0,0.0,0.0,0.0
Tabula Sapiens,24666,microglial cell,myeloid leukocyte,lacrimal gland,Eye,,,,,-2.2745786,6.640391,none,0.0,0.0,0.0,0.0
Tabula Sapiens,25773,stromal cell,stromal cell,ovary,Ovary,,,,,5.066441,9.538121,none,0.0,0.0,0.0,0.0
Tabula Sapiens,26106,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,1.6908189,7.8345623,none,0.0,0.0,0.0,0.0
Tabula Sapiens,26167,paneth cell of colon,intestinal epithelial cell,large intestine,Large_Intestine,,,,,1.7149932,8.018719,none,0.0,0.0,0.0,0.0
Tabula Sapiens,26447,myeloid cell,hematopoietic cell,liver,Liver,,,,,1.6708782,3.402993,ADORA3,0.0,0.0,0.0,2.8794045
Tabula Sapiens,26693,tracheal goblet cell,glandular epithelial cell,trachea,Trachea,,,,,1.5424721,4.6742897,none,0.0,0.0,0.0,0.0
Tabula Sapiens,26839,paneth cell of epithelium of small intestine,intestinal epithelial cell,small intestine,Small_Intestine,,,,,1.2207618,7.751357,none,0.0,0.0,0.0,0.0
Tabula Sapiens,28065,myofibroblast cell,contractile cell,bladder organ,Bladder,,,,,-2.369783,4.715728,none,0.0,0.0,0.0,0.0
Tabula Sapiens,28176,myeloid dendritic cell,dendritic cell,lymph node,Lymph_Node,,,,,1.8281837,2.4134314,none,0.0,0.0,0.0,0.0
Tabula Sapiens,28483,adipocyte,fat cell,lacrimal gland,Eye,,,,,-1.3914309,6.101473,none,0.0,0.0,0.0,0.009116639
Tabula Sapiens,28492,adipocyte,fat cell,lacrimal gland,Eye,,,,,2.0418217,11.981215,none,0.0,0.0,0.0,0.030708954
Tabula Sapiens,29432,classical monocyte,myeloid leukocyte,spleen,Spleen,,,,,1.2396737,2.5297754,none,0.0,0.0,0.0,0.0
Tabula Sapiens,30824,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,2.01996,12.466198,none,0.0,0.0,0.0,0.0
Tabula Sapiens,30845,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,-2.1706088,2.4350197,none,0.0,0.0,0.0,0.0
Tabula Sapiens,31264,enterocyte of epithelium proper of small intestine,intestinal epithelial cell,small intestine,Small_Intestine,,,,,-1.409053,5.7012396,none,0.0,0.0,0.0,0.0
Tabula Sapiens,31630,colon endothelial cell,endothelial cell,large intestine,Large_Intestine,,,,,3.719442,4.650542,none,0.0,0.0,0.0,0.0
Tabula Sapiens,31869,myeloid cell,hematopoietic cell,liver,Liver,,,,,1.3544676,3.1087587,none,0.0,0.0,0.0,0.0
Tabula Sapiens,32023,myeloid dendritic cell,dendritic cell,aorta,Vasculature,,,,,2.05823,2.5624328,none,0.0,0.0,0.0,0.0
Tabula Sapiens,32684,myeloid cell,hematopoietic cell,liver,Liver,,,,,2.1519082,2.7238848,none,0.0,0.0,0.0,0.0
Tabula Sapiens,32960,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,-2.5990183,2.904073,none,0.0,0.0,0.0,0.0
Tabula Sapiens,34245,myeloid cell,hematopoietic cell,liver,Liver,,,,,1.1639348,2.724604,none,0.0,0.0,0.0,0.0
Tabula Sapiens,35941,sebocyte,secretory cell,skin of abdomen,Skin,,,,,1.842409,8.507423,ADORA2B,0.0,0.0,1.7374732,0.0
Tabula Sapiens,36149,unknown,follicle,ovary,Ovary,,,,,-2.7817724,4.44839,none,0.0,0.0,0.0,0.0
