group,gene,n_cells,pct_expressing,mean_expression
B cell,ADORA1,114495,0.049783833355168346,0.00033579731825739145
B cell,ADORA2A,114495,0.3196646141752915,0.0029021420050412416
B cell,ADORA2B,114495,0.42709288615223373,0.003565947525203228
B cell,ADORA3,114495,0.04891043276998995,0.0005118195549584925
BEST4+ enterocyte,ADORA1,1970,0.20304568527918782,0.001833984162658453
BEST4+ enterocyte,ADORA2A,1970,0.10152284263959391,0.0005012715118937194
BEST4+ enterocyte,ADORA2B,1970,4.568527918781726,0.03590299189090729
BEST4+ enterocyte,ADORA3,1970,0.0,0.0
"CD4-positive, alpha-beta T cell",ADORA1,97130,0.04735920930711418,0.00029489470762200654
"CD4-positive, alpha-beta T cell",ADORA2A,97130,0.5415422629465665,0.0052399951964616776
"CD4-positive, alpha-beta T cell",ADORA2B,97130,0.3304849171213837,0.0029156464152038097
"CD4-positive, alpha-beta T cell",ADORA3,97130,0.027797796767219187,0.0001837254239944741
"CD4-positive, alpha-beta thymocyte",ADORA1,4685,0.042689434364994665,0.0003360880946274847
"CD4-positive, alpha-beta thymocyte",ADORA2A,4685,3.073639274279616,0.030512705445289612
"CD4-positive, alpha-beta thymocyte",ADORA2B,4685,0.4055496264674493,0.0029392438009381294
"CD4-positive, alpha-beta thymocyte",ADORA3,4685,0.021344717182497332,0.00018717815692070872
"CD8-positive, alpha-beta T cell",ADORA1,76277,0.05637348086579178,0.0004411762347444892
"CD8-positive, alpha-beta T cell",ADORA2A,76277,0.49687323832872293,0.004807236138731241
"CD8-positive, alpha-beta T cell",ADORA2B,76277,0.3251307733654968,0.002970794914290309
"CD8-positive, alpha-beta T cell",ADORA3,76277,0.4680309923043644,0.0035493348259478807
"CD8-positive, alpha-beta thymocyte",ADORA1,731,0.0,0.0
"CD8-positive, alpha-beta thymocyte",ADORA2A,731,0.8207934336525308,0.006593251600861549
"CD8-positive, alpha-beta thymocyte",ADORA2B,731,0.8207934336525308,0.004184361081570387
"CD8-positive, alpha-beta thymocyte",ADORA3,731,0.0,0.0
Langerhans cell,ADORA1,76,0.0,0.0
Langerhans cell,ADORA2A,76,1.3157894736842104,0.00034547914401628077
Langerhans cell,ADORA2B,76,0.0,0.0
Langerhans cell,ADORA3,76,0.0,0.0
Mueller cell,ADORA1,506,11.857707509881422,0.08728916198015213
Mueller cell,ADORA2A,506,0.0,0.0
Mueller cell,ADORA2B,506,6.719367588932807,0.044580865651369095
Mueller cell,ADORA3,506,0.9881422924901186,0.015168387442827225
Schwann cell,ADORA1,318,0.0,0.0
Schwann cell,ADORA2A,318,0.0,0.0
Schwann cell,ADORA2B,318,0.3144654088050315,0.0018766648136079311
Schwann cell,ADORA3,318,0.3144654088050315,0.004345552530139685
T cell,ADORA1,6290,0.14308426073131955,0.0012827335158362985
T cell,ADORA2A,6290,0.0794912559618442,0.0007072056760080159
T cell,ADORA2B,6290,0.4292527821939587,0.004303856752812862
T cell,ADORA3,6290,0.2543720190779014,0.0028960430063307285
acinar cell,ADORA1,1345,1.1895910780669146,0.002600806998088956
acinar cell,ADORA2A,1345,0.07434944237918216,5.4294714573188685e-06
acinar cell,ADORA2B,1345,0.29739776951672864,0.00037345930468291044
acinar cell,ADORA3,1345,0.22304832713754646,2.0416942788870074e-05
acinar cell of salivary gland,ADORA1,12237,2.8111465228405654,0.010145069099962711
acinar cell of salivary gland,ADORA2A,12237,0.008171937566396992,5.653752668877132e-05
acinar cell of salivary gland,ADORA2B,12237,0.8662253820380812,0.002830290701240301
acinar cell of salivary gland,ADORA3,12237,0.024515812699190977,0.00011591342627070844
"activated CD4-positive, alpha-beta T cell",ADORA1,572,0.17482517482517482,0.0014299615286290646
"activated CD4-positive, alpha-beta T cell",ADORA2A,572,0.0,0.0
"activated CD4-positive, alpha-beta T cell",ADORA2B,572,0.5244755244755245,0.0034079088363796473
"activated CD4-positive, alpha-beta T cell",ADORA3,572,0.0,0.0
"activated CD8-positive, alpha-beta T cell",ADORA1,1147,0.08718395815170009,0.0007822603220120072
"activated CD8-positive, alpha-beta T cell",ADORA2A,1147,0.0,0.0
"activated CD8-positive, alpha-beta T cell",ADORA2B,1147,0.26155187445510025,0.002468325197696686
"activated CD8-positive, alpha-beta T cell",ADORA3,1147,0.0,0.0
adventitial cell,ADORA1,1045,0.7655502392344498,0.0029685867484658957
adventitial cell,ADORA2A,1045,0.19138755980861244,7.934324457892217e-06
adventitial cell,ADORA2B,1045,0.6698564593301436,0.005423619877547026
adventitial cell,ADORA3,1045,0.3827751196172249,0.0013755779946222901
alveolar adventitial fibroblast,ADORA1,1113,1.6172506738544474,0.012275672517716885
alveolar adventitial fibroblast,ADORA2A,1113,0.0,0.0
alveolar adventitial fibroblast,ADORA2B,1113,0.9883198562443846,0.006762552075088024
alveolar adventitial fibroblast,ADORA3,1113,0.17969451931716085,0.0012061295565217733
basal cell,ADORA1,33526,0.14317246316291832,0.0006904685869812965
basal cell,ADORA2A,33526,0.03281035614150212,7.48267921153456e-05
basal cell,ADORA2B,33526,31.86780409234624,0.2187090516090393
basal cell,ADORA3,33526,0.05667243333532184,0.0001737137499731034
basal cell of prostate epithelium,ADORA1,3495,0.17167381974248927,0.0007504324312321842
basal cell of prostate epithelium,ADORA2A,3495,0.028612303290414882,0.00021121790632605553
basal cell of prostate epithelium,ADORA2B,3495,4.86409155937053,0.022954778745770454
basal cell of prostate epithelium,ADORA3,3495,0.14306151645207438,0.0012497848365455866
basophil,ADORA1,1669,0.7189934092270821,0.005299129523336887
basophil,ADORA2A,1669,0.0,0.0
basophil,ADORA2B,1669,3.834631515877771,0.03265233337879181
basophil,ADORA3,1669,11.863391252246855,0.1177842915058136
bladder urothelial cell,ADORA1,27241,0.07708968099555816,0.0003313378256279975
bladder urothelial cell,ADORA2A,27241,0.0073418743805293485,6.855893843749072e-06
bladder urothelial cell,ADORA2B,27241,31.063470504019676,0.15450681746006012
bladder urothelial cell,ADORA3,27241,0.11379905289820491,0.0003044751938432455
blood vessel smooth muscle cell,ADORA1,6642,0.22583559168925021,0.001678942353464663
blood vessel smooth muscle cell,ADORA2A,6642,0.015055706112616682,1.0969637287416845e-06
blood vessel smooth muscle cell,ADORA2B,6642,0.22583559168925021,0.0012053889222443104
blood vessel smooth muscle cell,ADORA3,6642,0.0,0.0
bronchial smooth muscle cell,ADORA1,220,0.9090909090909091,0.004878486506640911
bronchial smooth muscle cell,ADORA2A,220,0.0,0.0
bronchial smooth muscle cell,ADORA2B,220,0.9090909090909091,0.012896875850856304
bronchial smooth muscle cell,ADORA3,220,0.0,0.0
capillary endothelial cell,ADORA1,15298,0.08497842855275199,0.0004534651234280318
capillary endothelial cell,ADORA2A,15298,0.10458883514184861,0.00038360292091965675
capillary endothelial cell,ADORA2B,15298,0.3333769120146424,0.0023912242613732815
capillary endothelial cell,ADORA3,15298,0.07844162635638645,0.0005564638995565474
cardiac endothelial cell,ADORA1,10092,0.7827982560443916,0.007910951040685177
cardiac endothelial cell,ADORA2A,10092,0.04954419342053111,0.00019659311510622501
cardiac endothelial cell,ADORA2B,10092,0.3765358699960365,0.0026314861606806517
cardiac endothelial cell,ADORA3,10092,0.24772096710265556,0.002164492616429925
ciliated epithelial cell,ADORA1,320,0.0,0.0
ciliated epithelial cell,ADORA2A,320,0.3125,0.0009461070294491947
ciliated epithelial cell,ADORA2B,320,4.375,0.010890445671975613
ciliated epithelial cell,ADORA3,320,0.0,0.0
classical monocyte,ADORA1,18200,0.20879120879120883,0.001070515252649784
classical monocyte,ADORA2A,18200,0.21978021978021978,0.0014532564673572779
classical monocyte,ADORA2B,18200,8.307692307692308,0.051736656576395035
classical monocyte,ADORA3,18200,6.7967032967032965,0.037285078316926956
club cell,ADORA1,1747,0.11448196908986834,0.0005255746655166149
club cell,ADORA2A,1747,0.0,0.0
club cell,ADORA2B,1747,8.700629650829994,0.05001453682780266
club cell,ADORA3,1747,0.05724098454493417,7.176784129114822e-05
colon endothelial cell,ADORA1,348,0.0,0.0
colon endothelial cell,ADORA2A,348,0.28735632183908044,0.0009102424955926836
colon endothelial cell,ADORA2B,348,0.28735632183908044,0.0010143739636987448
colon endothelial cell,ADORA3,348,0.0,0.0
colon macrophage,ADORA1,328,3.048780487804878,0.015848003327846527
colon macrophage,ADORA2A,328,0.0,0.0
colon macrophage,ADORA2B,328,5.487804878048781,0.03376394510269165
colon macrophage,ADORA3,328,40.243902439024396,0.2897321283817291
common myeloid progenitor,ADORA1,456,0.8771929824561403,0.0013894494622945786
common myeloid progenitor,ADORA2A,456,0.21929824561403508,0.00032726352219469845
common myeloid progenitor,ADORA2B,456,31.140350877192986,0.09755972027778625
common myeloid progenitor,ADORA3,456,0.6578947368421052,0.000829101714771241
conjunctival epithelial cell,ADORA1,11087,0.1262740146117074,0.0007864089566282928
conjunctival epithelial cell,ADORA2A,11087,0.036078289889059256,0.00024028209736570716
conjunctival epithelial cell,ADORA2B,11087,18.868945611977992,0.11738232523202896
conjunctival epithelial cell,ADORA3,11087,0.07215657977811851,0.0005162168527022004
connective tissue cell,ADORA1,152,0.6578947368421052,0.0034746911842375994
connective tissue cell,ADORA2A,152,0.0,0.0
connective tissue cell,ADORA2B,152,0.0,0.0
connective tissue cell,ADORA3,152,0.0,0.0
corneal epithelial cell,ADORA1,4187,0.0,0.0
corneal epithelial cell,ADORA2A,4187,0.0,0.0
corneal epithelial cell,ADORA2B,4187,4.060186290900406,0.01582736149430275
corneal epithelial cell,ADORA3,4187,0.0,0.0
duct epithelial cell,ADORA1,3889,1.4399588583183338,0.005649307742714882
duct epithelial cell,ADORA2A,3889,0.05142710208279763,0.0001420842600055039
duct epithelial cell,ADORA2B,3889,3.059912573926459,0.009364333935081959
duct epithelial cell,ADORA3,3889,0.05142710208279763,0.00013266963651403785
endothelial cell,ADORA1,33703,0.34121591549713676,0.0019457791931927204
endothelial cell,ADORA2A,33703,0.1780256950419844,0.0005248005618341267
endothelial cell,ADORA2B,33703,0.6260570275643118,0.003948196303099394
endothelial cell,ADORA3,33703,0.32341334599293836,0.0021520780865103006
endothelial cell of arteriole,ADORA1,132,0.0,0.0
