group,gene,n_cells,pct_expressing,mean_expression
Bladder,ADORA1,66385,0.3268810725314453,0.0018605692312121391
Bladder,ADORA2A,66385,0.08285004142502071,0.00032073742477223277
Bladder,ADORA2B,66385,15.175114860284703,0.079586461186409
Bladder,ADORA3,66385,1.9025382239963848,0.015024011954665184
Blood,ADORA1,85233,0.11967195804441942,0.0008555850363336504
Blood,ADORA2A,85233,0.24051717057947036,0.0021087354980409145
Blood,ADORA2B,85233,1.892459493388711,0.010530035942792892
Blood,ADORA3,85233,1.619091197071557,0.009165345691144466
Bone_Marrow,ADORA1,27112,0.3245795219828858,0.0022535743191838264
Bone_Marrow,ADORA2A,27112,1.0179994098554146,0.0075180260464549065
Bone_Marrow,ADORA2B,27112,2.9912953673650042,0.013323778286576271
Bone_Marrow,ADORA3,27112,1.1729123635290646,0.006932949647307396
Ear,ADORA1,3055,2.7823240589198037,0.01793508045375347
Ear,ADORA2A,3055,0.0,0.0
Ear,ADORA2B,3055,5.466448445171849,0.03052666038274765
Ear,ADORA3,3055,3.6661211129296234,0.02246556058526039
Eye,ADORA1,34273,0.4930995244069676,0.0031315148808062077
Eye,ADORA2A,34273,0.06419047063285968,0.000266819290118292
Eye,ADORA2B,34273,7.218510197531584,0.044600557535886765
Eye,ADORA3,34273,1.0416362734514049,0.009683400392532349
Fat,ADORA1,94415,0.2425462055817402,0.0012416308745741844
Fat,ADORA2A,94415,0.06672668537838268,0.0004234947555232793
Fat,ADORA2B,94415,1.2243817190065138,0.007105891592800617
Fat,ADORA3,94415,4.200603717629614,0.03005874715745449
Heart,ADORA1,25832,3.236296066893775,0.015903078019618988
Heart,ADORA2A,25832,0.04645401052957572,0.000258805463090539
Heart,ADORA2B,25832,3.8324558686899968,0.02548900432884693
Heart,ADORA3,25832,1.2310312790337568,0.01129932701587677
Kidney,ADORA1,11376,1.3888888888888888,0.009640157222747803
Kidney,ADORA2A,11376,0.043952180028129395,0.0002127609623130411
Kidney,ADORA2B,11376,0.5537974683544303,0.004425148479640484
Kidney,ADORA3,11376,0.39556962025316456,0.0024838491808623075
Large_Intestine,ADORA1,30084,0.31578247573460977,0.0020560864359140396
Large_Intestine,ADORA2A,30084,0.11634091211275097,0.00042939031845889986
Large_Intestine,ADORA2B,30084,3.8093338651775026,0.027242055162787437
Large_Intestine,ADORA3,30084,0.7046935247972343,0.005672149360179901
Liver,ADORA1,22214,0.8373098046277122,0.00558747723698616
Liver,ADORA2A,22214,0.21157828396506706,0.0010575474007055163
Liver,ADORA2B,22214,3.0386242909876655,0.028106244280934334
Liver,ADORA3,22214,3.4752858557666335,0.027123361825942993
Lung,ADORA1,65847,1.5581575470408675,0.006338665261864662
Lung,ADORA2A,65847,0.06530289914498763,0.00015666999388486147
Lung,ADORA2B,65847,11.103011526721035,0.051910754293203354
Lung,ADORA3,65847,4.73977554026759,0.034247878938913345
Lymph_Node,ADORA1,129062,0.09530303265097395,0.0005796891055069864
Lymph_Node,ADORA2A,129062,0.6190823015294974,0.0054963016882538795
Lymph_Node,ADORA2B,129062,0.5369512327408532,0.00408356124535203
Lymph_Node,ADORA3,129062,0.49898498396119695,0.0032240641303360462
Mammary,ADORA1,30936,3.009438841479183,0.01708635874092579
