cell_type,gene,n_cells,pct_expressing,mean_expression
taste receptor cell,ADORA1,32,18.75,0.1804780662059784
salivary gland cell,ADORA1,848,7.311320754716981,0.027158083394169807
monocyte,ADORA1,139,3.597122302158273,0.01714949682354927
macrophage,ADORA1,570,2.280701754385965,0.014981841668486595
fibroblast,ADORA1,1531,2.155453951665578,0.019335590302944183
tongue muscle cell,ADORA1,202,1.4851485148514851,0.013228287920355797
regulatory T cell,ADORA1,92,1.0869565217391304,0.01044413447380066
myoepithelial cell,ADORA1,270,0.7407407407407408,0.004848906770348549
endothelial cell,ADORA1,1221,0.7371007371007371,0.0045760865323245525
T cell,ADORA1,194,0.5154639175257731,0.004742563236504793
mural cell,ADORA1,618,0.48543689320388345,0.004407932981848717
stratified squamous epithelial cell,ADORA1,12323,0.210987584192161,0.0008039225358515978
"CD4-positive, alpha-beta T cell",ADORA1,1587,0.1260239445494644,0.0010655662044882774
basal cell,ADORA1,16263,0.08608497817130911,0.000206259181140922
B cell,ADORA1,1250,0.0,0.0
"CD8-positive, alpha-beta T cell",ADORA1,1107,0.0,0.0
Schwann cell,ADORA1,35,0.0,0.0
endothelial cell of lymphatic vessel,ADORA1,97,0.0,0.0
mast cell,ADORA1,76,0.0,0.0
myeloid dendritic cell,ADORA1,22,0.0,0.0
neutrophil,ADORA1,154,0.0,0.0
plasma cell,ADORA1,115,0.0,0.0
"CD4-positive, alpha-beta T cell",ADORA2A,1587,0.315059861373661,0.0028881097678095102
macrophage,ADORA2A,570,0.17543859649122806,0.0007281998405233026
salivary gland cell,ADORA2A,848,0.1179245283018868,0.0005121765425428748
B cell,ADORA2A,1250,0.08,0.001091770944185555
basal cell,ADORA2A,16263,0.030744635061181823,0.00013347543426789343
stratified squamous epithelial cell,ADORA2A,12323,0.008114907084313883,6.595594186364906e-06
"CD8-positive, alpha-beta T cell",ADORA2A,1107,0.0,0.0
Schwann cell,ADORA2A,35,0.0,0.0
T cell,ADORA2A,194,0.0,0.0
endothelial cell,ADORA2A,1221,0.0,0.0
endothelial cell of lymphatic vessel,ADORA2A,97,0.0,0.0
fibroblast,ADORA2A,1531,0.0,0.0
mast cell,ADORA2A,76,0.0,0.0
monocyte,ADORA2A,139,0.0,0.0
mural cell,ADORA2A,618,0.0,0.0
myeloid dendritic cell,ADORA2A,22,0.0,0.0
myoepithelial cell,ADORA2A,270,0.0,0.0
neutrophil,ADORA2A,154,0.0,0.0
plasma cell,ADORA2A,115,0.0,0.0
regulatory T cell,ADORA2A,92,0.0,0.0
taste receptor cell,ADORA2A,32,0.0,0.0
tongue muscle cell,ADORA2A,202,0.0,0.0
basal cell,ADORA2B,16263,35.50390456865277,0.2155829668045044
stratified squamous epithelial cell,ADORA2B,12323,14.249776840055182,0.06463028490543365
monocyte,ADORA2B,139,10.79136690647482,0.05719694122672081
salivary gland cell,ADORA2B,848,6.839622641509433,0.026320680975914
taste receptor cell,ADORA2B,32,6.25,0.02833550050854683
macrophage,ADORA2B,570,5.964912280701754,0.039311643689870834
myeloid dendritic cell,ADORA2B,22,4.545454545454546,0.012741032056510448
myoepithelial cell,ADORA2B,270,2.9629629629629632,0.02225184440612793
regulatory T cell,ADORA2B,92,2.1739130434782608,0.021285461261868477
T cell,ADORA2B,194,2.0618556701030926,0.012122586369514465
mast cell,ADORA2B,76,1.3157894736842104,0.009379792027175426
"CD8-positive, alpha-beta T cell",ADORA2B,1107,1.2646793134598013,0.012487574480473995
tongue muscle cell,ADORA2B,202,0.9900990099009901,0.01147216372191906
"CD4-positive, alpha-beta T cell",ADORA2B,1587,0.7561436672967864,0.005738780368119478
endothelial cell,ADORA2B,1221,0.7371007371007371,0.0052541145123541355
fibroblast,ADORA2B,1531,0.6531678641410843,0.004935059230774641
mural cell,ADORA2B,618,0.6472491909385114,0.004716109950095415
B cell,ADORA2B,1250,0.64,0.008107713423669338
Schwann cell,ADORA2B,35,0.0,0.0
endothelial cell of lymphatic vessel,ADORA2B,97,0.0,0.0
neutrophil,ADORA2B,154,0.0,0.0
plasma cell,ADORA2B,115,0.0,0.0
myeloid dendritic cell,ADORA3,22,36.36363636363637,0.29638445377349854
macrophage,ADORA3,570,30.526315789473685,0.267363965511322
monocyte,ADORA3,139,16.546762589928058,0.11007805168628693
mast cell,ADORA3,76,6.578947368421052,0.07536624372005463
neutrophil,ADORA3,154,0.6493506493506493,0.010010890662670135
endothelial cell,ADORA3,1221,0.32760032760032765,0.0016039552865549922
salivary gland cell,ADORA3,848,0.2358490566037736,0.00035222197766415775
fibroblast,ADORA3,1531,0.13063357282821686,0.0007715557585470378
"CD8-positive, alpha-beta T cell",ADORA3,1107,0.09033423667570009,0.0011832453310489655
basal cell,ADORA3,16263,0.08608497817130911,0.00028667363221757114
B cell,ADORA3,1250,0.08,0.0011158029083162546
"CD4-positive, alpha-beta T cell",ADORA3,1587,0.0630119722747322,2.1817288597958395e-06
stratified squamous epithelial cell,ADORA3,12323,0.024344721252941653,0.00013034234871156514
Schwann cell,ADORA3,35,0.0,0.0
T cell,ADORA3,194,0.0,0.0
endothelial cell of lymphatic vessel,ADORA3,97,0.0,0.0
mural cell,ADORA3,618,0.0,0.0
myoepithelial cell,ADORA3,270,0.0,0.0
plasma cell,ADORA3,115,0.0,0.0
regulatory T cell,ADORA3,92,0.0,0.0
taste receptor cell,ADORA3,32,0.0,0.0
tongue muscle cell,ADORA3,202,0.0,0.0
