roothog_id,n_proteins,n_taxa,dist_from_global,intra_variance,intra_std,diameter,median_pairwise,coherence,n_proteins_full,n_taxa_full,mean_length
801468,2230,77,0.8456914,2.3420725,0.83296293,9.038471336614338,3.1938493191038564,2.7694175,2230,77,589.4686098654709
792940,504,21,0.7513089,2.3303561,0.8033818,8.026783376289844,3.1640400964275717,3.1017282,504,21,717.5873015873016
801484,300,23,2.2119515,1.0434173,0.5781184,6.68900976868115,1.322524145100021,0.471718,300,23,214.54333333333332
793104,208,27,2.7378683,1.4758518,0.47116625,6.536131540113361,2.0400049840185925,0.5390514,208,27,504.7548076923077
801531,168,21,1.6083345,1.4261931,0.60953397,6.213346034465951,1.8622204643197242,0.88675153,168,21,1005.8809523809524
990642,158,59,1.4508929,1.9687357,0.54448116,6.45769351951245,2.7151964928542425,1.3569132,158,59,418.0379746835443
802109,156,23,2.6500952,1.4769125,0.50024694,5.452689915400221,1.9931862400997007,0.55730546,156,23,507.37820512820514
793066,137,18,2.9620938,1.538574,0.5838211,7.284703084040642,2.0704943494463484,0.5194211,137,18,561.0948905109489
792933,136,25,2.4748046,1.7245303,0.5849197,6.338983843484565,2.224757460331948,0.6968349,136,25,297.75735294117646
1028112,123,21,2.1025586,1.0938436,1.281303,7.928170785525097,0.8717393790297235,0.52024406,123,21,440.0
1027819,121,23,2.4303784,1.0450741,0.46762684,4.166216607390191,1.445178192477594,0.4300047,121,23,184.41322314049586
1027301,120,33,2.0151093,1.2026561,0.6875987,5.614961598380493,1.4765900899885238,0.59681934,120,33,547.7
794303,116,10,2.8297153,1.5705811,0.5550081,7.172685150844271,2.1376492686074515,0.5550315,116,10,282.12068965517244
801946,111,10,3.0836062,1.6588062,0.72663754,6.505665675449782,2.1493185524621183,0.5379436,111,10,402.8738738738739
807520,111,24,2.134423,0.97812426,0.41424918,3.3727006816818093,1.2722916002363114,0.45826167,111,24,369.009009009009
136254,106,1,2.4576325,0.49700928,0.11716599,1.3768576704688373,0.6808652904196874,0.20223092,106,1,350.79245283018867
801563,104,15,2.4203663,1.8649619,0.67147774,6.45228443080066,2.414071406096342,0.7705288,104,15,530.7019230769231
802052,102,22,3.430545,1.19058,0.4873563,4.618272576535604,1.5071368987050824,0.34705272,102,22,199.2058823529412
