EntryID,taxonomyID,taxon_name,umap_x,umap_y,kmeans_cluster
Q9FGQ7,3702,A. thaliana,11.993054,10.374797,6
Q9XI90,3702,A. thaliana,11.620083,6.6944017,5
P0DN99,3702,A. thaliana,8.295889,6.81029,13
Q9SL95,3702,A. thaliana,11.198024,2.747258,19
Q9LXJ0,3702,A. thaliana,9.6182785,12.803623,6
Q9LYF8,3702,A. thaliana,6.1682687,4.778209,8
Q949S7,3702,A. thaliana,9.944782,13.387787,2
Q9ZWS6,3702,A. thaliana,12.429163,10.201657,11
Q9M2D8,3702,A. thaliana,10.071171,7.792204,15
Q9FF86,3702,A. thaliana,14.259536,13.694063,2
Q93Z08,3702,A. thaliana,6.393376,4.4737997,3
O50008,3702,A. thaliana,9.281266,13.891415,2
Q8VZP7,3702,A. thaliana,9.208686,9.88747,14
Q9SSM4,3702,A. thaliana,11.118975,10.649251,15
Q9LUK7,3702,A. thaliana,12.814326,7.298702,14
Q9LEU9,3702,A. thaliana,9.685067,12.187956,6
Q9SF36,3702,A. thaliana,10.20414,7.185926,4
Q9LNN3,3702,A. thaliana,6.672723,5.4058437,8
Q6NQE2,3702,A. thaliana,9.404082,14.5460825,3
F4JRS4,3702,A. thaliana,10.595374,9.869495,14
Q9M1C7,3702,A. thaliana,10.964358,11.968627,2
F4ISV6,3702,A. thaliana,9.41167,10.278304,14
Q8L7S6,3702,A. thaliana,6.225593,4.6956944,8
F4I0R0,3702,A. thaliana,6.402382,4.5303874,8
Q9C958,3702,A. thaliana,13.323708,9.621671,11
Q94C12,3702,A. thaliana,8.96101,10.603304,2
Q8GWP4,3702,A. thaliana,9.016785,11.387069,6
Q9LD18,3702,A. thaliana,11.124535,3.0463872,16
Q9STG5,3702,A. thaliana,12.745932,9.379029,6
A0A1P8B554,3702,A. thaliana,6.2248955,5.214931,8
Q84WK5,3702,A. thaliana,11.7989,11.709859,3
Q9LTF7,3702,A. thaliana,11.00272,7.103087,6
Q39160,3702,A. thaliana,11.650265,9.877638,14
Q9STK8,3702,A. thaliana,15.156465,14.119593,11
Q9S9U6,3702,A. thaliana,10.493534,13.814581,11
Q9M1P5,3702,A. thaliana,12.614733,12.575218,11
Q9ZV65,3702,A. thaliana,11.371942,10.339056,14
Q9SJQ1,3702,A. thaliana,13.37879,7.5719113,11
Q8RXH2,3702,A. thaliana,10.534452,10.881681,14
Q9FK23,3702,A. thaliana,9.854455,11.409293,14
Q8LPN5,3702,A. thaliana,11.803893,6.7927904,5
F4K2T3,3702,A. thaliana,13.564853,11.364766,14
P46416,3702,A. thaliana,10.647066,12.8623085,3
Q9LUB6,3702,A. thaliana,9.024618,9.775051,14
F4IPE3,3702,A. thaliana,10.785527,7.327499,5
Q9SK55,3702,A. thaliana,12.704356,7.4238625,14
Q9FVQ6,3702,A. thaliana,10.543645,14.137297,3
Q9FLH5,3702,A. thaliana,3.370504,7.500978,14
Q6NLQ7,3702,A. thaliana,8.746573,10.589858,14
Q9FK81,3702,A. thaliana,10.392759,13.836842,2
Q9ZUI9,3702,A. thaliana,10.344521,7.1972103,13
Q93Z13,3702,A. thaliana,11.118273,3.1797667,16
Q9SLG3,3702,A. thaliana,10.912092,2.9320958,19
Q9SU17,3702,A. thaliana,8.989779,9.43109,14
O81852,3702,A. thaliana,9.978763,14.072519,3
Q8LPT3,3702,A. thaliana,10.072799,7.425624,13
Q9FH18,3702,A. thaliana,10.122195,7.315912,13
Q1ECE0,3702,A. thaliana,10.561401,9.194588,15
O22870,3702,A. thaliana,9.071871,11.444764,6
Q8L866,3702,A. thaliana,7.0180864,5.2708826,14
F4K217,3702,A. thaliana,13.423716,7.5845957,8
Q8GYJ9,3702,A. thaliana,9.261625,11.736895,6
Q9C977,3702,A. thaliana,10.128873,11.425333,6
O81791,3702,A. thaliana,9.414567,7.7826815,13
Q9S7W5,3702,A. thaliana,11.471232,6.845907,5
O04351,3702,A. thaliana,9.386028,7.877426,13
Q94BR1,3702,A. thaliana,10.343303,10.671465,2
Q9LMI1,3702,A. thaliana,9.850011,11.9382515,2
Q93V88,3702,A. thaliana,10.129088,7.26785,13
Q9ZPY9,3702,A. thaliana,11.890687,10.427505,6
Q9SJG8,3702,A. thaliana,11.44148,6.7644334,5
Q9LIA2,3702,A. thaliana,10.786013,11.112623,2
Q9C776,3702,A. thaliana,10.367744,10.253635,14
O82264,3702,A. thaliana,10.044311,11.212418,14
O49196,3702,A. thaliana,9.248887,11.6588125,6
Q8LPS6,3702,A. thaliana,10.147898,11.382077,6
Q9C9V9,3702,A. thaliana,10.266866,10.895386,14
Q9SR43,3702,A. thaliana,8.218146,10.14174,7
Q9ZP06,3702,A. thaliana,9.954668,14.09316,2
Q0WT31,3702,A. thaliana,7.428346,4.931407,8
F4HXH4,3702,A. thaliana,10.532558,9.28658,6
O04291,3702,A. thaliana,9.503677,10.30737,14
F4K1Z0,3702,A. thaliana,10.658521,8.7589855,15
O81097,3702,A. thaliana,7.5241394,11.296239,14
O80475,3702,A. thaliana,10.744704,13.343559,3
F4J264,3702,A. thaliana,10.431882,11.590996,14
Q9LTJ5,3702,A. thaliana,10.94696,7.252216,5
Q9LUC5,3702,A. thaliana,15.235588,14.212179,3
Q8VXZ0,3702,A. thaliana,10.249003,12.539154,6
O49608,3702,A. thaliana,10.647452,7.2971606,13
Q84VQ3,3702,A. thaliana,13.37806,9.877716,11
Q9FI70,3702,A. thaliana,13.368241,7.6575937,11
F4I4E1,3702,A. thaliana,13.144516,7.5664682,6
Q6NQK9,3702,A. thaliana,8.912832,11.111713,14
Q9LF34,3702,A. thaliana,10.199925,7.079898,5
P52032,3702,A. thaliana,9.202384,11.69326,11
Q8GZM7,3702,A. thaliana,11.591284,6.8072877,5
Q9FIJ4,3702,A. thaliana,8.936532,11.136661,14
Q8RX77,3702,A. thaliana,10.917759,2.532406,19
Q9M1W4,3702,A. thaliana,9.8891115,14.734782,3
Q9SLE4,3702,A. thaliana,12.0183,12.958513,3
Q1PDG8,3702,A. thaliana,7.605557,6.468773,13
Q8GW29,3702,A. thaliana,8.933482,14.716003,3
Q9M841,3702,A. thaliana,10.039389,10.774085,14
Q9FGH3,3702,A. thaliana,10.648077,14.089831,3
O80632,3702,A. thaliana,10.646061,3.4416306,16
Q9SF09,3702,A. thaliana,11.069683,2.6026506,19
Q9M0V1,3702,A. thaliana,10.634558,12.2934265,2
Q9FI19,3702,A. thaliana,12.71137,7.401828,6
O24598,3702,A. thaliana,6.345471,5.198891,8
F4IMB5,3702,A. thaliana,8.177791,13.649553,14
Q6NQM0,3702,A. thaliana,9.555711,12.625763,15
Q9LZJ8,3702,A. thaliana,10.988474,7.2401943,5
Q1JPL7,3702,A. thaliana,6.619473,4.6903567,8
Q9LK28,3702,A. thaliana,8.679384,8.8404875,13
O64798,3702,A. thaliana,13.389116,7.6491537,6
A4GSN8,3702,A. thaliana,11.474076,6.4269996,5
Q9M0D2,3702,A. thaliana,6.436234,5.1768713,8
Q7XA87,3702,A. thaliana,13.981206,-0.43731377,19
A8MRD9,3702,A. thaliana,10.031888,7.5488963,13
O23722,3702,A. thaliana,9.959231,13.376553,2
P43288,3702,A. thaliana,13.519716,9.410552,6
Q84ME1,3702,A. thaliana,11.875584,9.511596,6
P29381,3702,A. thaliana,3.3985722,7.529803,15
Q9SZP6,3702,A. thaliana,10.06733,12.314847,2
F4K8Y4,3702,A. thaliana,7.7242923,8.850103,7
Q9SUN5,3702,A. thaliana,12.119421,7.4824595,9
Q9FM64,3702,A. thaliana,14.228869,13.6724205,6
Q9SXE1,3702,A. thaliana,10.419019,13.624981,3
Q9FLZ5,3702,A. thaliana,10.971549,12.031157,2
Q9LP46,3702,A. thaliana,10.149393,7.209896,13
Q9FT70,3702,A. thaliana,10.844282,9.566063,14
Q93YQ3,3702,A. thaliana,9.965924,13.657105,3
Q9LFN1,3702,A. thaliana,9.51194,7.930852,13
O64490,3702,A. thaliana,12.508463,11.8328495,11
O48848,3702,A. thaliana,10.717129,7.3697853,9
Q9M120,3702,A. thaliana,9.182629,11.582698,6
P42825,3702,A. thaliana,9.656255,11.890885,6
Q9M0Y5,3702,A. thaliana,10.847583,7.3411884,5
Q7XXN8,3702,A. thaliana,6.989455,9.114697,7
F4JUL8,3702,A. thaliana,7.0261335,9.40878,7
Q9S851,3702,A. thaliana,12.70836,7.3627377,5
Q9CAL3,3702,A. thaliana,13.374027,7.622283,6
Q9FKW8,3702,A. thaliana,9.693611,11.592341,0
Q9LG02,3702,A. thaliana,11.66628,9.244347,6
Q94AR8,3702,A. thaliana,9.659546,13.984993,3
Q6NLH0,3702,A. thaliana,12.281223,11.628164,11
Q9XFK7,3702,A. thaliana,9.962599,12.168025,2
O80396,3702,A. thaliana,13.187207,9.547219,6
Q8LPG9,3702,A. thaliana,10.3806925,7.804103,5
Q9LV37,3702,A. thaliana,13.070791,9.416388,6
Q9SAV3,3702,A. thaliana,10.009313,14.5247,3
Q9ZQB9,3702,A. thaliana,8.599214,10.100397,14
A0A178WAA1,3702,A. thaliana,11.564385,7.023979,5
P49677,3702,A. thaliana,12.775805,7.0992026,6
Q66WT5,3702,A. thaliana,7.6110997,8.992501,7
Q9C8J8,3702,A. thaliana,11.009677,3.0539904,3
Q8GXB3,3702,A. thaliana,11.833425,6.7643886,5
Q8VYT1,3702,A. thaliana,12.180657,12.094131,11
Q9ZQI2,3702,A. thaliana,11.074926,3.6318545,16
Q8LF28,3702,A. thaliana,14.309154,13.710991,2
Q39191,3702,A. thaliana,13.3790655,7.6047864,8
Q9LUJ9,3702,A. thaliana,8.37431,8.359373,13
P17597,3702,A. thaliana,10.027035,14.446456,11
Q38837,3702,A. thaliana,3.389643,7.5234814,13
O22958,3702,A. thaliana,8.300778,10.0925255,7
Q9T081,3702,A. thaliana,14.179764,13.670812,3
Q9LNE4,3702,A. thaliana,9.946191,14.533248,3
Q9M9B9,3702,A. thaliana,10.946527,7.3908663,5
F4HWE6,3702,A. thaliana,10.35285,10.047748,14
Q9LM88,3702,A. thaliana,10.001324,8.000495,5
Q39254,3702,A. thaliana,11.026249,2.8795369,19
P42813,3702,A. thaliana,7.0348425,6.747821,7
Q9ZQQ0,3702,A. thaliana,6.4070845,4.4842257,8
Q8H1N6,3702,A. thaliana,13.441605,7.673527,11
Q9FJR1,3702,A. thaliana,6.4025073,4.582323,8
Q8GYQ5,3702,A. thaliana,13.895506,9.70288,11
O65693,3702,A. thaliana,9.260734,11.691455,6
Q9M9B3,3702,A. thaliana,9.401786,7.8188376,13
Q8W4Q5,3702,A. thaliana,8.7699795,9.132392,14
O81153,3702,A. thaliana,5.9430394,17.23022,3
Q9C843,3702,A. thaliana,3.4217346,7.5527735,13
O64806,3702,A. thaliana,12.941815,3.8351457,2
Q9C968,3702,A. thaliana,12.1774845,10.469104,6
Q94K78,3702,A. thaliana,7.817538,9.093026,7
O22822,3702,A. thaliana,14.197198,13.678872,3
O80932,3702,A. thaliana,6.425797,5.2102547,8
O23413,3702,A. thaliana,10.773387,3.6087787,16
Q9FHQ6,3702,A. thaliana,10.315352,5.3148947,11
C0LGH8,3702,A. thaliana,13.418872,7.6098056,6
Q8W569,3702,A. thaliana,11.45279,6.827543,5
O82768,3702,A. thaliana,8.951923,11.103291,14
P24101,3702,A. thaliana,6.4479403,4.6768703,8
Q9LJR2,3702,A. thaliana,6.538291,5.304251,2
Q96243,3702,A. thaliana,11.429665,2.1290448,19
Q9SQY0,3702,A. thaliana,12.0919485,7.3009505,5
O80698,3702,A. thaliana,8.603933,8.748428,13
P51568,3702,A. thaliana,13.781132,9.665473,11
Q8VZ21,3702,A. thaliana,6.99015,5.2469363,14
Q9XGM1,3702,A. thaliana,8.768951,12.249327,15
Q9M277,3702,A. thaliana,8.829056,11.056703,15
B3H5J1,3702,A. thaliana,8.2940855,6.8287215,5
Q8S4F6,3702,A. thaliana,9.403323,11.920597,6
Q9LTC4,3702,A. thaliana,11.104566,7.0554147,5
Q6NLD5,3702,A. thaliana,11.081326,6.882421,13
Q9SQZ1,3702,A. thaliana,7.106592,10.246928,7
Q9SH93,3702,A. thaliana,10.993774,3.5289338,16
Q9SV30,3702,A. thaliana,11.11781,7.0041533,5
Q5KS41,3702,A. thaliana,10.667948,13.50146,3
F4IPB2,3702,A. thaliana,10.338603,8.926339,15
Q9MAQ0,3702,A. thaliana,10.120677,13.190798,3
Q56XQ0,3702,A. thaliana,9.283545,9.678181,14
Q9M3D1,3702,A. thaliana,9.997169,13.683525,3
A0A178WMH3,3702,A. thaliana,7.0465937,9.21945,7
Q9M817,3702,A. thaliana,10.918077,2.5033898,19
P36428,3702,A. thaliana,9.947171,13.461536,2
P60129,3702,A. thaliana,7.4871798,8.799875,7
Q9ZNV5,3702,A. thaliana,9.985882,12.176645,2
Q8LB65,3702,A. thaliana,8.91389,11.248398,14
A0A178V0E5,3702,A. thaliana,11.165136,6.9171057,13
Q9LQZ2,3702,A. thaliana,11.056458,6.9512854,5
Q9LXX5,3702,A. thaliana,8.901483,11.150887,14
Q8LE06,3702,A. thaliana,8.297356,6.802867,5
Q1G3G9,3702,A. thaliana,9.350764,8.765684,13
Q9SRX5,3702,A. thaliana,7.4486523,6.9683204,14
P82873,3702,A. thaliana,10.424879,10.178902,15
O03986,3702,A. thaliana,9.431624,10.9731,2
Q9FJB8,3702,A. thaliana,11.408736,6.845643,5
P11829,3702,A. thaliana,9.083686,11.558176,6
Q9LM84,3702,A. thaliana,12.399956,7.0228124,6
O80983,3702,A. thaliana,9.800281,12.077723,6
Q93ZV1,3702,A. thaliana,9.348703,11.883748,6
Q9ZT71,3702,A. thaliana,10.568647,10.858944,15
Q9LYR4,3702,A. thaliana,10.093856,13.98561,3
Q9SN51,3702,A. thaliana,14.08492,13.633485,11
Q940U6,3702,A. thaliana,8.863583,10.992511,13
Q93ZB7,3702,A. thaliana,10.7228985,8.427495,15
Q9SN27,3702,A. thaliana,9.4704275,8.174017,13
Q9LSY7,3702,A. thaliana,6.3862157,4.5895195,8
Q9FKZ2,3702,A. thaliana,13.422639,7.6672235,6
Q6NQ99,3702,A. thaliana,10.261828,7.058907,4
Q94CK4,3702,A. thaliana,11.632641,12.628545,3
Q67ZM4,3702,A. thaliana,6.9373136,9.652939,7
Q9FVT9,3702,A. thaliana,13.439974,7.696664,11
F4I1S8,3702,A. thaliana,13.857456,11.467355,6
P19172,3702,A. thaliana,6.089042,4.9730115,8
Q7Y217,3702,A. thaliana,10.043338,11.603371,8
Q8L5A7,3702,A. thaliana,14.155062,13.654753,3
O64635,3702,A. thaliana,15.157143,14.12619,11
Q9CA28,3702,A. thaliana,10.612687,14.155279,3
P49077,3702,A. thaliana,9.827945,12.855244,3
Q9FMD9,3702,A. thaliana,8.782481,13.411813,2
P34881,3702,A. thaliana,10.155128,9.206922,14
Q682T9,3702,A. thaliana,15.7417755,11.202039,11
Q9FJY5,3702,A. thaliana,9.6600275,8.719339,13
Q8RWZ7,3702,A. thaliana,11.11104,3.4345248,14
Q9FJZ7,3702,A. thaliana,9.79511,14.658909,3
Q9C525,3702,A. thaliana,6.2506866,4.4734306,3
Q9SRX7,3702,A. thaliana,11.303923,11.737464,2
Q84MC2,3702,A. thaliana,9.119474,14.75309,3
F4HQM3,3702,A. thaliana,6.6142416,4.6875224,8
Q9ZSI1,3702,A. thaliana,6.4268656,5.31966,8
Q9ZQH0,3702,A. thaliana,9.848819,14.034924,18
Q8LG21,3702,A. thaliana,10.43919,7.252857,13
F4ILF8,3702,A. thaliana,7.0707116,4.569605,8
O04492,3702,A. thaliana,9.7548065,6.902587,9
Q8H1D3,3702,A. thaliana,10.125053,10.461128,14
Q9LQV4,3702,A. thaliana,10.13575,7.333637,13
F4K6X0,3702,A. thaliana,8.915132,11.114329,14
F4IGM0,3702,A. thaliana,9.065165,11.440046,14
Q9LNN7,3702,A. thaliana,7.9082017,5.9730725,13
F4J2Z0,3702,A. thaliana,7.6479053,9.148062,7
Q8VZ08,3702,A. thaliana,6.3344483,4.8709707,8
Q9FFD9,3702,A. thaliana,10.641937,3.8316636,14
Q9SY07,3702,A. thaliana,10.109047,11.406366,6
Q8LBQ7,3702,A. thaliana,9.700349,7.6308885,13
Q8RWN3,3702,A. thaliana,10.810384,8.166377,6
Q93VK8,3702,A. thaliana,8.283701,6.818404,5
Q9M3B8,3702,A. thaliana,10.446559,8.075535,9
Q8VYK7,3702,A. thaliana,11.058109,11.22216,2
Q9MAH0,3702,A. thaliana,8.514491,13.84887,2
Q501F7,3702,A. thaliana,9.259819,14.774725,3
O04541,3702,A. thaliana,11.184372,11.183617,2
Q8VZI9,3702,A. thaliana,11.709775,8.868376,6
F4KFB3,3702,A. thaliana,10.285901,7.193012,13
Q0WSL5,3702,A. thaliana,10.624713,10.813999,14
Q9FDX9,3702,A. thaliana,8.68489,8.36178,13
Q9SZH0,3702,A. thaliana,11.269241,10.62002,15
Q9LSP5,3702,A. thaliana,10.538063,12.032498,6
Q96299,3702,A. thaliana,11.054258,11.023476,2
A8R7K9,3702,A. thaliana,10.872014,11.05557,2
Q9ZWA8,3702,A. thaliana,12.923534,7.012844,6
Q9SL48,3702,A. thaliana,10.889663,12.147373,2
Q9SRP6,3702,A. thaliana,7.301079,4.3162284,8
