roothog_id,n_proteins,n_taxa,taxa_list
801468,2230,77,"3055, 3218, 3635, 3659, 3702"
792940,504,21,"6239, 7227, 7955, 8355, 9031"
801484,300,23,"3055, 3702, 5518, 5691, 6239"
793104,208,27,"5062, 6239, 7227, 7955, 7998"
801531,168,21,"3635, 3702, 5664, 6239, 7227"
990642,158,59,"34, 435, 623, 1061, 1085"
802109,156,23,"3469, 3702, 3847, 3880, 4081"
793066,137,18,"5061, 6239, 7091, 7165, 7227"
792933,136,25,"5599, 6239, 7227, 7955, 7998"
1028112,123,21,"3635, 3702, 5691, 5759, 6239"
1027819,121,23,"3702, 5664, 6239, 7227, 7955"
1027301,120,33,"1587, 3702, 4577, 5702, 6239"
794303,116,10,"7227, 7955, 8030, 9606, 9823"
801946,111,10,"3702, 6239, 7165, 7227, 7955"
807520,111,24,"3702, 4787, 6239, 7227, 7955"
136254,106,1,36329
801563,104,15,"3702, 6239, 7227, 7955, 9606"
802052,102,22,"3635, 3702, 5759, 6239, 7227"
1027981,97,20,"3702, 5702, 6239, 7227, 7955"
1027835,94,29,"3055, 3635, 3702, 5664, 5702"
763064,88,2,"9606, 10090"
801582,81,28,"3055, 3702, 5061, 5823, 6239"
801918,81,18,"3635, 3702, 3847, 3885, 4097"
1027831,80,22,"3469, 3702, 4513, 4565, 4577"
792942,78,12,"6239, 7227, 7955, 9606, 9615"
793067,78,15,"6239, 7227, 7955, 9031, 9606"
801800,72,19,"3702, 4577, 6239, 7227, 7955"
802365,71,18,"3702, 5664, 5691, 5759, 6239"
801597,70,19,"3635, 3702, 4577, 7227, 8364"
793026,69,19,"5141, 6239, 7227, 7955, 8355"
1027603,66,20,"2271, 6239, 7227, 7955, 9031"
792948,65,16,"6239, 7091, 7227, 7955, 8030"
801521,62,16,"3702, 5664, 6239, 7227, 9606"
801549,61,15,"3635, 3702, 6239, 7227, 7955"
805347,61,15,"6239, 7227, 7955, 8022, 9031"
746845,60,11,"7955, 7998, 8030, 8128, 9031"
792971,60,13,"6239, 7227, 7955, 9606, 9913"
801852,59,14,"5476, 6239, 6622, 7227, 7955"
805156,59,14,"3702, 6239, 7227, 7955, 9031"
793002,56,8,"6239, 7955, 8355, 9031, 9103"
802070,56,20,"3635, 3702, 4577, 5759, 6239"
793048,56,11,"6239, 7227, 7955, 9606, 9913"
793167,55,12,"6239, 7227, 7955, 8030, 9031"
1028804,55,19,"3702, 5664, 5691, 6183, 6239"
802573,54,16,"1397, 3635, 3702, 5691, 6239"
802569,54,13,"3702, 4097, 6239, 7227, 9606"
792958,54,11,"6239, 7227, 7955, 9606, 9940"
802889,53,15,"3702, 5664, 6239, 7227, 7955"
802603,53,8,"3702, 44689, 227321, 237561, 284593"
793108,49,13,"6183, 6239, 7227, 7955, 8355"
1027309,48,35,"882, 1685, 3055, 3702, 5665"
1027400,48,30,"3055, 3702, 4577, 5061, 5702"
801785,47,15,"3702, 5037, 8355, 9606, 10090"
794261,47,9,"6239, 7227, 7955, 9606, 9913"
1027825,47,22,"882, 3702, 3988, 4081, 5702"
801650,47,13,"3702, 4577, 7227, 7955, 9606"
801610,46,17,"3702, 6239, 7227, 7955, 9031"
802864,46,20,"3702, 3988, 5082, 6239, 7227"
809042,44,14,"3702, 5911, 6239, 7091, 7227"
136325,44,1,36329
1027281,44,16,"3702, 6239, 7227, 9606, 10090"
803216,44,8,"6239, 7227, 7955, 9031, 9606"
803384,43,17,"3702, 6239, 7227, 9031, 9606"
801999,43,14,"3635, 3702, 6239, 7227, 9606"
802225,43,19,"3702, 3988, 4577, 5759, 6239"
801760,43,17,"3702, 4113, 6239, 7227, 7955"
792947,42,9,"6239, 7227, 9606, 10090, 10116"
802096,41,12,"3469, 3702, 4113, 5664, 7159"
801892,41,19,"3055, 3702, 4577, 5691, 6239"
801472,40,13,"3702, 5691, 6239, 7227, 7955"
801762,40,13,"3702, 7955, 9606, 10090, 10116"
801710,39,11,"3702, 6239, 7227, 9606, 10090"
789610,39,8,"6239, 7955, 9031, 9606, 10090"
793013,39,9,"6239, 7227, 7955, 7998, 9031"
801514,39,18,"3702, 5141, 5691, 6239, 7227"
801579,38,18,"3702, 3847, 4072, 4081, 4565"
792970,38,14,"6239, 7227, 7955, 7998, 9031"
1027386,38,20,"3635, 5661, 5702, 7227, 7955"
1027540,38,11,"3702, 6239, 7227, 7955, 9606"
778376,38,8,"6239, 7227, 7244, 7955, 8355"
804896,38,12,"3702, 6239, 7227, 9606, 9615"
805279,37,17,"3702, 4577, 5691, 6239, 6279"
403334,37,2,"284593, 559292"
802064,37,18,"3702, 5691, 6239, 7227, 7668"
801816,37,13,"7227, 7955, 9031, 9606, 9615"
731840,37,3,"9606, 10090, 10116"
793032,37,10,"6239, 7227, 7955, 9031, 9103"
802143,36,14,"3702, 6239, 7227, 7955, 8355"
801489,36,13,"3702, 6239, 7227, 8355, 9606"
